ticker,datum,kandidat,gruppe,punkte,position,rsi,erholung_begonnen,rsi_tief_rang,erholung_vol,zweig_a,einstieg,bezugstief,bezugstief_datum,atr,anker,ko_marke,korr_atr,korr_rang,luecken,kaufanteil,eigenes_ziel,rendite_eigen_pct
AXON,2026-09-25,1,"2+ P, Tief>=2, RSI<50",2,4,33.72,1.0,1.0,0.0,0.0,430.11,429.56,2026-09-25,21.5229,2.0,386.51,10.31694007445269,1.0,,83.0,665.0,539.0
SYK,2026-09-25,1,"2+ P, Tief>=2, RSI<50",2,2,32.14,1.0,1.0,0.0,1.0,272.36,268.69,2026-09-25,8.775,1.25,257.72,9.43247925499832,0.9850746268656716,,77.0,342.0,476.0
UNP,2026-09-25,1,"2+ P, Tief>=2, RSI<50",2,2,33.18,1.0,1.0,0.0,1.0,273.79,268.26,2026-09-21,4.9157,1.5,260.89,9.335371683283883,0.9701492537313433,,86.0,318.25,345.0
CVS,2026-09-25,0,2+ P,3,1,40.05,1.0,1.0,1.0,0.0,89.13,84.5,2026-09-24,2.4007,2.25,79.1,5.831596309108207,0.8227848101265823,,100.0,110.2,210.0
BAC,2026-09-25,0,2+ P,2,1,30.96,1.0,1.0,0.0,0.0,56.7,55.74,2026-09-23,1.3521,3.0,51.68,5.983099248889092,0.8620689655172413,,83.0,64.6,157.0
CM,2026-09-25,0,"2+ P, Tief>=2, RSI<50",2,3,45.81,1.0,0.0,1.0,0.0,113.6,110.42,2026-09-24,2.1171,4.0,101.95,2.8717965350080927,0.3883495145631068,,36.0,120.86,62.0
CSGP,2026-09-25,0,"2+ P, Tief>=2, RSI<50",2,2,36.68,1.0,1.0,0.0,0.0,28.09,27.28,2026-09-24,1.1471,,,5.701120121994307,0.734375,,46.0,34.2,
DASH,2026-09-25,0,"2+ P, Tief>=2, RSI<50",2,3,39.78,1.0,1.0,0.0,0.0,193.36,182.14,2026-09-24,7.1102,2.25,166.14,7.972756049144261,0.92,,70.0,247.0,197.0
DBK.DE,2026-09-25,0,"2+ P, Tief>=2, RSI<50",2,2,38.46,1.0,1.0,0.0,0.0,31.76,30.93,2026-09-24,0.965,0.75,30.21,5.093264392079663,0.7674418604651163,,50.0,32.78,66.0
DTG.DE,2026-09-25,0,2+ P,2,1,37.0,1.0,1.0,0.0,1.0,42.54,41.74,2026-09-25,0.8893,2.5,39.52,6.420882111154457,0.8095238095238095,,61.0,50.16,252.0
