ticker,merkmal,ziel,n_mit_bis2022,n_ohne_bis2022,q_mit_bis2022,q_ohne_bis2022,diff_bis2022,n_mit_ab2023,n_ohne_ab2023,q_mit_ab2023,q_ohne_ab2023,diff_ab2023
AAPL,reif,gut_a,118,133,28.0,27.8,0.2,138,134,23.2,35.8,-12.6
AAPL,reif,gut_b,118,133,26.3,30.1,-3.8,138,134,25.4,35.8,-10.4
AAPL,reif,haelt2,118,133,57.6,54.1,3.5,138,134,58.0,61.2,-3.2
AAPL,korr_tief_rang,gut_a,45,185,28.9,29.2,-0.3,30,242,23.3,30.2,-6.9
AAPL,korr_tief_rang,gut_b,45,185,26.7,29.7,-3.0,30,242,23.3,31.4,-8.1
AAPL,korr_tief_rang,haelt2,45,185,62.2,57.3,4.9,30,242,50.0,60.7,-10.7
AAPL,korr_lang_rang,gut_a,42,188,31.0,28.7,2.3,29,243,31.0,29.2,1.8
AAPL,korr_lang_rang,gut_b,42,188,28.6,29.3,-0.7,29,243,31.0,30.5,0.5
AAPL,korr_lang_rang,haelt2,42,188,59.5,58.0,1.5,29,243,65.5,58.8,6.7
AAPL,rsi_tief_rang,gut_a,87,143,42.5,21.0,21.5,42,230,33.3,28.7,4.6
AAPL,rsi_tief_rang,gut_b,87,143,40.2,22.4,17.8,42,230,35.7,29.6,6.1
AAPL,rsi_tief_rang,haelt2,87,143,73.6,49.0,24.6,42,230,57.1,60.0,-2.9
AAPL,rsi_unter_50,gut_a,93,158,30.1,26.6,3.5,99,173,23.2,32.9,-9.7
AAPL,rsi_unter_50,gut_b,93,158,28.0,28.5,-0.5,99,173,25.3,33.5,-8.2
AAPL,rsi_unter_50,haelt2,93,158,61.3,52.5,8.8,99,173,56.6,61.3,-4.7
AAPL,divergenz,gut_a,12,57,33.3,26.3,7.0,4,69,0.0,24.6,
AAPL,divergenz,gut_b,12,57,33.3,24.6,8.7,4,69,0.0,26.1,
AAPL,divergenz,haelt2,12,57,75.0,50.9,24.1,4,69,50.0,52.2,
AAPL,ausverkauf,gut_a,5,246,20.0,28.0,,11,261,45.5,28.7,16.8
AAPL,ausverkauf,gut_b,5,246,20.0,28.5,,11,261,54.5,29.5,25.0
AAPL,ausverkauf,haelt2,5,246,20.0,56.5,,11,261,72.7,59.0,13.7
AAPL,erschoepfung,gut_a,26,43,26.9,27.9,-1.0,18,55,33.3,20.0,13.3
AAPL,erschoepfung,gut_b,26,43,26.9,25.6,1.3,18,55,33.3,21.8,11.5
AAPL,erschoepfung,haelt2,26,43,61.5,51.2,10.3,18,55,55.6,50.9,4.7
AAPL,erholung_vol,gut_a,6,245,16.7,28.2,,9,263,55.6,28.5,
AAPL,erholung_vol,gut_b,6,245,16.7,28.6,,9,263,44.4,30.0,
AAPL,erholung_vol,haelt2,6,245,66.7,55.5,,9,263,66.7,59.3,
AAPL,zweig_a,gut_a,135,116,25.9,30.2,-4.3,137,135,25.5,33.3,-7.8
AAPL,zweig_a,gut_b,135,116,25.2,31.9,-6.7,137,135,29.2,31.9,-2.7
AAPL,zweig_a,haelt2,135,116,49.6,62.9,-13.3,137,135,56.9,62.2,-5.3
AAPL,zweig_b,gut_a,127,124,30.7,25.0,5.7,143,129,33.6,24.8,8.8
AAPL,zweig_b,gut_b,127,124,32.3,24.2,8.1,143,129,33.6,27.1,6.5
AAPL,zweig_b,haelt2,127,124,63.0,48.4,14.6,143,129,64.3,54.3,10.0
AAPL,hammer,gut_a,8,243,12.5,28.4,,13,259,0.0,30.9,-30.9
AAPL,hammer,gut_b,8,243,12.5,28.8,,13,259,0.0,32.0,-32.0
AAPL,hammer,haelt2,8,243,50.0,56.0,,13,259,38.5,60.6,-22.1
AAPL,doppelboden,gut_a,5,246,60.0,27.2,,12,260,0.0,30.8,-30.8
AAPL,doppelboden,gut_b,5,246,60.0,27.6,,12,260,0.0,31.9,-31.9
AAPL,doppelboden,haelt2,5,246,80.0,55.3,,12,260,41.7,60.4,-18.7
AAPL,schluss_ueber_vortageshoch,gut_a,92,159,32.6,25.2,7.4,91,181,40.7,23.8,16.9
AAPL,schluss_ueber_vortageshoch,gut_b,92,159,32.6,25.8,6.8,91,181,39.6,26.0,13.6
AAPL,schluss_ueber_vortageshoch,haelt2,92,159,62.0,52.2,9.8,91,181,72.5,53.0,19.5
AAPL,kein_neues_tief,gut_a,131,120,30.5,25.0,5.5,157,115,33.8,23.5,10.3
AAPL,kein_neues_tief,gut_b,131,120,32.1,24.2,7.9,157,115,35.7,23.5,12.2
AAPL,kein_neues_tief,haelt2,131,120,62.6,48.3,14.3,157,115,63.7,53.9,9.8
AAPL,ueber_ema200,gut_a,157,36,25.5,11.1,14.4,212,60,25.0,45.0,-20.0
AAPL,ueber_ema200,gut_b,157,36,25.5,11.1,14.4,212,60,26.9,43.3,-16.4
AAPL,ueber_ema200,haelt2,157,36,56.7,47.2,9.5,212,60,52.4,85.0,-32.6
AAPL,tief_ab_2,gut_a,102,149,36.3,22.1,14.2,119,153,25.2,32.7,-7.5
AAPL,tief_ab_2,gut_b,102,149,34.3,24.2,10.1,119,153,27.7,32.7,-5.0
AAPL,tief_ab_2,haelt2,102,149,65.7,49.0,16.7,119,153,62.2,57.5,4.7
ABBV,reif,gut_a,120,138,30.8,32.6,-1.8,116,125,25.9,22.4,3.5
ABBV,reif,gut_b,120,138,29.2,33.3,-4.1,116,125,26.7,28.8,-2.1
ABBV,reif,haelt2,120,138,53.3,63.8,-10.5,116,125,50.0,52.0,-2.0
ABBV,korr_tief_rang,gut_a,41,201,31.7,33.3,-1.6,43,198,25.6,23.7,1.9
ABBV,korr_tief_rang,gut_b,41,201,31.7,32.8,-1.1,43,198,25.6,28.3,-2.7
ABBV,korr_tief_rang,haelt2,41,201,65.9,60.7,5.2,43,198,53.5,50.5,3.0
ABBV,korr_lang_rang,gut_a,35,207,34.3,32.9,1.4,32,209,21.9,24.4,-2.5
ABBV,korr_lang_rang,gut_b,35,207,34.3,32.4,1.9,32,209,25.0,28.2,-3.2
ABBV,korr_lang_rang,haelt2,35,207,57.1,62.3,-5.2,32,209,50.0,51.2,-1.2
ABBV,rsi_tief_rang,gut_a,46,196,21.7,35.7,-14.0,52,189,30.8,22.2,8.6
ABBV,rsi_tief_rang,gut_b,46,196,23.9,34.7,-10.8,52,189,34.6,25.9,8.7
ABBV,rsi_tief_rang,haelt2,46,196,58.7,62.2,-3.5,52,189,78.8,43.4,35.4
ABBV,rsi_unter_50,gut_a,84,174,25.0,35.1,-10.1,94,147,26.6,22.4,4.2
ABBV,rsi_unter_50,gut_b,84,174,27.4,33.3,-5.9,94,147,29.8,26.5,3.3
ABBV,rsi_unter_50,haelt2,84,174,54.8,60.9,-6.1,94,147,62.8,43.5,19.3
ABBV,divergenz,gut_a,4,53,25.0,30.2,,7,55,0.0,29.1,
ABBV,divergenz,gut_b,4,53,0.0,26.4,,7,55,14.3,29.1,
ABBV,divergenz,haelt2,4,53,25.0,43.4,,7,55,100.0,45.5,
ABBV,ausverkauf,gut_a,14,244,14.3,32.8,-18.5,19,222,42.1,22.5,19.6
ABBV,ausverkauf,gut_b,14,244,21.4,32.0,-10.6,19,222,42.1,26.6,15.5
ABBV,ausverkauf,haelt2,14,244,85.7,57.4,28.3,19,222,94.7,47.3,47.4
ABBV,erschoepfung,gut_a,18,39,27.8,30.8,-3.0,17,45,17.6,28.9,-11.3
ABBV,erschoepfung,gut_b,18,39,27.8,23.1,4.7,17,45,17.6,31.1,-13.5
ABBV,erschoepfung,haelt2,18,39,38.9,43.6,-4.7,17,45,47.1,53.3,-6.2
ABBV,erholung_vol,gut_a,11,247,54.5,30.8,23.7,11,230,36.4,23.5,12.9
ABBV,erholung_vol,gut_b,11,247,54.5,30.4,24.1,11,230,36.4,27.4,9.0
ABBV,erholung_vol,haelt2,11,247,63.6,58.7,4.9,11,230,54.5,50.9,3.6
