ticker,kerzen,pivot_kontrolle,t_atr,t_serien,pruefttage,luecken_offen,korrekturen,korrekturen_je_jahr,tiefe_p25,tiefe_p50,tiefe_p75,tiefe_p90,dauer_p25,dauer_p50,dauer_p75,dauer_p90,mit_ergebnis,risiko_p33,chance_a_median,ratio_a_p67,chance_b_median,ratio_b_p67,gut_a_pct,gut_b_pct,haelt2_pct
AAPL,1759,1,2.0927808658021596,129,540,0,93,13.29,2.62,3.45,4.77,6.19,3.0,5.0,11.0,15.0,518,0.582,1.966,1.673,5.569,4.758,29.0,29.3,57.7
ABBV,1759,1,1.935729430714558,116,520,0,99,14.15,2.43,3.21,4.33,5.57,3.0,6.0,10.0,14.0,501,0.502,1.592,1.365,4.791,4.084,27.7,29.1,51.7
ABNB,1454,1,2.080112593028688,110,428,0,76,13.12,2.68,3.79,4.67,6.07,4.0,7.0,10.2,15.0,411,1.419,1.66,0.942,3.966,2.107,27.0,28.7,42.6
ABT,1759,1,2.1875028974469357,115,515,0,83,11.86,2.67,3.44,5.26,7.01,3.0,7.0,13.5,19.0,495,1.009,1.645,0.81,4.039,2.186,27.9,29.3,42.6
ACN,1759,1,1.9962952994326142,128,551,0,101,14.43,2.6,3.37,4.53,6.36,3.0,5.0,9.0,14.0,533,1.337,1.65,0.979,4.615,2.634,26.8,28.9,42.2
ADBE,1759,1,2.104752153745992,115,528,0,90,12.86,2.79,3.67,5.34,7.46,3.0,6.0,13.0,18.1,506,1.493,1.768,0.776,4.079,2.2,30.2,30.4,36.6
ADI,1759,1,2.437473678289843,134,555,0,71,10.15,3.07,3.93,4.56,5.98,4.5,8.0,14.0,20.0,527,0.774,1.834,1.513,4.28,3.281,29.6,29.6,52.8
ADP,1759,1,1.9894658748038994,118,518,0,100,14.29,2.5,3.14,4.41,5.64,3.0,6.0,10.0,15.1,498,0.819,1.4,0.749,4.698,3.189,29.1,28.7,47.0
ADS.DE,1781,1,2.6535956381812724,107,529,3,64,9.14,3.17,4.38,5.72,8.31,6.0,12.0,19.0,29.5,511,1.16,2.066,1.404,4.011,2.305,29.5,30.9,41.3
ADSK,1759,1,2.080416378634605,106,512,0,96,13.72,2.74,3.66,4.94,5.72,3.0,6.0,10.2,15.5,492,0.881,1.578,0.918,4.39,2.441,27.6,28.3,46.5
AEP,1759,1,2.040816649333497,81,490,0,86,12.29,2.69,3.52,4.87,6.19,4.0,7.0,12.8,19.0,474,1.002,1.644,0.922,3.933,2.6,27.6,29.1,45.6
AIR.DE,1781,1,2.2484301069147206,114,556,3,86,12.28,2.87,3.73,5.18,6.63,4.0,7.0,13.0,17.0,531,0.736,1.662,1.212,4.569,3.214,28.1,28.4,50.8
ALV.DE,1781,1,2.2082706974779227,114,508,3,81,11.57,2.8,3.7,5.31,6.39,4.0,7.0,13.0,18.0,492,1.193,1.64,0.88,5.089,2.692,28.3,28.9,43.7
AMAT,1759,1,2.4303918096540373,140,555,0,78,11.15,3.15,3.78,4.81,6.33,4.0,7.5,12.8,15.6,531,0.62,2.034,1.444,5.326,3.82,28.8,28.1,52.7
AMD,1759,1,2.48536247996535,115,528,0,73,10.43,3.08,3.85,5.04,6.88,4.0,9.0,13.0,20.6,507,0.621,2.197,1.774,5.506,6.142,28.2,28.6,52.9
AMGN,1759,1,2.209299496168511,103,520,0,77,11.0,2.85,3.65,5.3,7.53,4.0,9.0,14.0,21.2,501,0.886,1.666,1.004,4.462,3.262,27.1,28.7,49.7
AMT,1759,1,2.4452794150497392,104,509,0,64,9.15,3.13,3.94,6.21,7.57,5.8,12.0,19.0,25.7,485,2.005,1.754,0.653,3.413,1.205,26.0,27.2,33.4
AMZN,1759,1,2.1579596345875913,114,518,0,93,13.29,2.65,3.63,5.06,6.27,3.0,7.0,12.0,16.8,499,0.388,2.056,1.544,5.207,4.818,28.3,29.1,53.1
ANET,1759,1,2.3068600679225675,124,530,0,82,11.72,2.95,3.64,4.94,5.9,4.0,6.0,11.0,15.9,510,0.826,2.246,1.505,6.166,4.038,28.0,28.0,50.8
APH,1759,1,2.1996824395800774,140,550,0,89,12.72,2.75,3.57,4.57,5.46,4.0,6.0,11.0,15.0,526,0.536,1.796,1.426,5.736,4.903,29.7,29.5,54.8
APP,1369,1,2.2897402142257084,99,391,0,64,11.75,2.68,3.4,5.81,7.73,3.8,7.0,13.2,18.0,373,0.22,2.155,2.125,5.763,5.738,29.8,29.8,51.2
ARM,761,1,3.1624903601433894,41,217,0,24,7.92,3.4,4.45,6.83,8.11,6.5,9.5,17.5,23.2,196,0.601,3.688,3.954,6.845,8.456,31.6,30.1,55.1
ASML,1794,1,2.3401069229012252,139,568,0,83,11.86,2.93,3.47,5.07,6.34,3.0,7.0,13.0,16.8,544,0.729,2.022,1.409,5.559,4.713,29.4,29.4,48.2
AVGO,1759,1,2.6028368579280534,126,531,0,71,10.15,3.14,3.76,4.89,5.9,4.0,10.0,14.0,19.0,506,0.207,2.252,2.821,5.976,6.225,28.1,28.5,63.2
