ticker,zeitraum,puffer,punkte,faelle,rendite_mittel,rendite_median,ko_quote
AAPL,ab2023,1.0,0,77,18.6,-34.8,31.2
AAPL,ab2023,1.0,1,162,24.0,-5.2,19.1
AAPL,ab2023,1.0,2,30,49.0,-7.0,13.3
AAPL,ab2023,1.0,3,3,35.8,30.2,0.0
AAPL,bis2022,1.0,0,69,25.2,-28.0,30.4
AAPL,bis2022,1.0,1,123,33.7,-23.2,22.8
AAPL,bis2022,1.0,2,52,63.6,10.6,9.6
AAPL,bis2022,1.0,3,3,-24.4,-25.6,0.0
ABBV,ab2023,1.0,0,66,6.0,-50.9,39.4
ABBV,ab2023,1.0,1,127,2.9,-32.3,26.0
ABBV,ab2023,1.0,2,46,43.7,-11.6,19.6
ABBV,ab2023,1.0,3,2,-48.7,-48.7,50.0
ABBV,bis2022,1.0,0,85,18.4,-32.9,30.6
ABBV,bis2022,1.0,1,143,42.2,4.4,14.0
ABBV,bis2022,1.0,2,30,6.8,-47.4,16.7
ABBV,bis2022,1.0,3,2,30.9,30.9,0.0
ABNB,ab2023,1.0,0,84,29.1,-18.2,28.6
ABNB,ab2023,1.0,1,131,-9.7,-46.2,27.5
ABNB,ab2023,1.0,2,47,55.0,45.4,6.4
ABNB,ab2023,1.0,3,4,10.1,8.7,25.0
ABNB,bis2022,1.0,0,40,5.9,-28.9,35.0
ABNB,bis2022,1.0,1,66,-16.0,-36.4,18.2
ABNB,bis2022,1.0,2,33,16.1,-24.3,9.1
ABNB,bis2022,1.0,3,5,-35.6,-51.9,0.0
ABT,ab2023,1.0,0,79,1.5,-42.6,34.2
ABT,ab2023,1.0,1,122,4.9,-25.6,25.4
ABT,ab2023,1.0,2,33,-22.7,-53.0,33.3
ABT,ab2023,1.0,3,6,-21.3,-21.8,0.0
ABT,bis2022,1.0,0,74,-25.4,-60.3,43.2
ABT,bis2022,1.0,1,136,29.1,-21.6,19.1
ABT,bis2022,1.0,2,42,3.2,-14.7,19.0
ABT,bis2022,1.0,3,4,-22.1,-41.9,0.0
ACN,ab2023,1.0,0,81,0.8,-42.1,32.1
ACN,ab2023,1.0,1,135,-5.6,-37.8,24.4
ACN,ab2023,1.0,2,51,-20.4,-53.4,29.4
ACN,ab2023,1.0,3,5,53.0,4.1,0.0
ACN,bis2022,1.0,0,84,30.5,-5.2,34.5
ACN,bis2022,1.0,1,126,26.4,5.5,15.1
ACN,bis2022,1.0,2,48,51.9,39.8,10.4
ACN,bis2022,1.0,3,4,9.0,-4.7,25.0
ADBE,ab2023,1.0,0,76,-13.2,-100.0,52.6
ADBE,ab2023,1.0,1,119,-26.2,-70.9,42.0
ADBE,ab2023,1.0,2,64,1.3,-16.4,17.2
ADBE,ab2023,1.0,3,2,98.0,98.0,0.0
ADBE,bis2022,1.0,0,59,57.6,9.3,23.7
ADBE,bis2022,1.0,1,131,29.8,-9.4,13.7
ADBE,bis2022,1.0,2,51,11.1,-8.5,5.9
ADBE,bis2022,1.0,3,4,-37.7,-46.7,25.0
ADI,ab2023,1.0,0,89,11.1,-62.7,41.6
ADI,ab2023,1.0,1,144,-0.5,-42.8,28.5
ADI,ab2023,1.0,2,39,41.7,-19.1,12.8
ADI,ab2023,1.0,3,2,-9.4,-9.4,0.0
ADI,bis2022,1.0,0,81,12.8,-40.4,32.1
ADI,bis2022,1.0,1,126,9.3,-26.3,21.4
ADI,bis2022,1.0,2,44,18.8,3.7,18.2
ADI,bis2022,1.0,3,2,-18.4,-18.4,0.0
ADP,ab2023,1.0,0,76,-0.9,-45.7,28.9
ADP,ab2023,1.0,1,117,6.6,-25.2,17.1
ADP,ab2023,1.0,2,46,-32.2,-36.8,23.9
ADP,ab2023,1.0,3,3,-35.4,-25.9,33.3
ADP,bis2022,1.0,0,72,9.1,-41.9,36.1
ADP,bis2022,1.0,1,135,-0.7,-31.7,19.3
ADP,bis2022,1.0,2,47,7.3,-12.1,14.9
ADP,bis2022,1.0,3,1,-5.5,-5.5,0.0
ADS.DE,ab2023,1.0,0,87,14.4,-42.9,42.5
ADS.DE,ab2023,1.0,1,136,0.2,-30.8,25.7
ADS.DE,ab2023,1.0,2,37,-0.5,-24.0,21.6
ADS.DE,ab2023,1.0,3,5,-19.4,-66.6,20.0
ADS.DE,bis2022,1.0,0,74,-20.5,-100.0,56.8
ADS.DE,bis2022,1.0,1,139,-7.0,-56.8,40.3
ADS.DE,bis2022,1.0,2,27,-21.2,-48.3,29.6
ADS.DE,bis2022,1.0,3,5,-12.4,12.4,20.0
ADSK,ab2023,1.0,0,76,-20.5,-69.7,40.8
ADSK,ab2023,1.0,1,149,-9.5,-31.2,25.5
ADSK,ab2023,1.0,2,33,33.1,20.6,18.2
ADSK,ab2023,1.0,3,2,46.1,46.1,0.0
ADSK,bis2022,1.0,0,53,43.8,-20.1,22.6
ADSK,bis2022,1.0,1,118,8.0,-31.7,22.9
ADSK,bis2022,1.0,2,57,4.1,-11.1,15.8
ADSK,bis2022,1.0,3,4,-34.0,-32.5,0.0
AEP,ab2023,1.0,0,82,42.7,-32.9,30.5
AEP,ab2023,1.0,1,139,10.7,-27.1,19.4
AEP,ab2023,1.0,2,21,-15.9,-27.1,14.3
AEP,ab2023,1.0,3,2,87.1,87.1,0.0
AEP,bis2022,1.0,0,82,61.4,-12.8,24.4
AEP,bis2022,1.0,1,133,10.4,-18.5,13.5
AEP,bis2022,1.0,2,14,-3.2,-16.3,0.0
AEP,bis2022,1.0,3,1,6.4,6.4,0.0
AIR.DE,ab2023,1.0,0,92,11.2,-50.2,33.7
AIR.DE,ab2023,1.0,1,151,12.5,-23.3,23.8
AIR.DE,ab2023,1.0,2,45,34.8,14.4,13.3
AIR.DE,ab2023,1.0,3,3,-30.5,-49.0,33.3
AIR.DE,bis2022,1.0,0,81,-11.3,-33.2,33.3
AIR.DE,bis2022,1.0,1,125,-15.5,-40.9,25.6
AIR.DE,bis2022,1.0,2,27,-11.9,-14.9,18.5
AIR.DE,bis2022,1.0,3,7,40.7,7.9,0.0
ALV.DE,ab2023,1.0,0,72,1.4,-41.2,30.6
ALV.DE,ab2023,1.0,1,153,-0.2,-13.9,16.3
ALV.DE,ab2023,1.0,2,17,55.7,39.3,5.9
ALV.DE,ab2023,1.0,3,1,70.5,70.5,0.0
ALV.DE,bis2022,1.0,0,79,-20.3,-100.0,53.2
ALV.DE,bis2022,1.0,1,130,4.1,-44.5,30.0
ALV.DE,bis2022,1.0,2,37,8.0,-29.5,21.6
