ticker,boerse,fehlend,gefuellt,wochenkontrolle
ADS.DE,XETRA,,2026-09-21:stunden,
AIR.DE,XETRA,,2026-09-21:stunden,
ALV.DE,XETRA,,2026-09-21:stunden,
ASML,Euronext,,2026-09-21:stunden,
BAS.DE,XETRA,,2026-09-21:stunden,
BAYN.DE,XETRA,,2026-09-21:stunden,
BEI.DE,XETRA,,2026-09-21:stunden,
BMW.DE,XETRA,,2026-09-21:stunden,
BNR.DE,XETRA,,2026-09-21:stunden,
CBK.DE,XETRA,,2026-09-21:stunden,
CON.DE,XETRA,,2026-09-21:stunden,
DB1.DE,XETRA,,2026-09-21:stunden,
DBK.DE,XETRA,,2026-09-21:stunden,
DHL.DE,XETRA,,2026-09-21:stunden,
DTE.DE,XETRA,,2026-09-21:stunden,
DTG.DE,XETRA,,2026-09-21:stunden,
ENR.DE,XETRA,,2026-09-21:stunden,
EOAN.DE,XETRA,,2026-09-21:stunden,
FRE.DE,XETRA,,2026-09-21:stunden,
HEI.DE,XETRA,,2026-09-21:stunden,
HEN3.DE,XETRA,,2026-09-21:stunden,
HNR1.DE,XETRA,,2026-09-21:stunden,
IFX.DE,XETRA,,2026-09-21:stunden,
MBG.DE,XETRA,,2026-09-21:stunden,
MRK.DE,XETRA,,2026-09-21:stunden,
MTX.DE,XETRA,,2026-09-21:stunden,
MUV2.DE,XETRA,,2026-09-21:stunden,
P911.DE,XETRA,,2026-09-21:stunden,
PAH3.DE,XETRA,,2026-09-21:stunden,
QIA.DE,XETRA,,2026-09-21:stunden,
RHM.DE,XETRA,,2026-09-21:stunden,
RWE.DE,XETRA,,2026-09-21:stunden,
SAP.DE,XETRA,,2026-09-21:stunden,
SHL.DE,XETRA,,2026-09-21:stunden,
SIE.DE,XETRA,,2026-09-21:stunden,
SRT3.DE,XETRA,,2026-09-21:stunden,
SY1.DE,XETRA,,2026-09-21:stunden,
VNA.DE,XETRA,,2026-09-21:stunden,
VOW3.DE,XETRA,,2026-09-21:stunden,
ZAL.DE,XETRA,,2026-09-21:stunden,
