dimension,gruppe,faelle,anstieg_median_atr,haelt_0.5_atr_pct,haelt_1.0_atr_pct,haelt_1.5_atr_pct,haelt_2.0_atr_pct,haelt_2.5_atr_pct,haelt_3.0_atr_pct
position,1 (erstes),3838,16.834,27.5,34.1,41.1,47.3,53.5,58.4
position,2 bis y,1853,14.733,29.4,35.8,41.5,47.1,53.4,58.8
position,y+1,1406,16.661,30.2,36.8,44.9,51.4,57.0,62.4
position,ueber y+1,1865,14.611,33.7,40.6,46.5,52.8,57.6,62.6
abstand,"bis 0,4",557,14.145,13.8,21.2,29.1,34.3,41.3,47.4
abstand,"0,4 bis 0,8",1847,15.31,21.2,28.4,35.8,43.4,49.8,55.1
abstand,"0,8 bis 1,2",2474,16.373,26.8,33.4,40.2,47.5,53.6,58.4
abstand,"ueber 1,2",4084,15.953,37.2,43.5,49.6,54.6,59.9,64.9
rsi_rel,8+ unter Median,2577,15.95,36.2,43.2,50.1,56.3,61.5,66.7
rsi_rel,3 bis 8 unter,1204,15.716,29.2,36.5,43.6,50.5,57.3,62.5
rsi_rel,um den Median,1521,15.009,27.0,33.3,40.4,45.4,51.2,56.3
rsi_rel,ueber Median,3660,16.219,26.2,32.4,38.7,45.0,51.0,56.0
