ticker,position,faelle,zurueckfall_atr_min,zurueckfall_atr_p25,zurueckfall_atr_median,zurueckfall_atr_p75,zurueckfall_atr_p90,zurueckfall_atr_p95,zurueckfall_atr_max,n_21t,haelt_21t_pct,ruecksetzer_21t_median,ruecksetzer_21t_p75,ruecksetzer_21t_p90,n_42t,haelt_42t_pct,ruecksetzer_42t_median,ruecksetzer_42t_p75,ruecksetzer_42t_p90,n_63t,haelt_63t_pct,ruecksetzer_63t_median,ruecksetzer_63t_p75,ruecksetzer_63t_p90,n_84t,haelt_84t_pct,ruecksetzer_84t_median,ruecksetzer_84t_p75,ruecksetzer_84t_p90,n_126t,haelt_126t_pct,ruecksetzer_126t_median,ruecksetzer_126t_p75,ruecksetzer_126t_p90,n_189t,haelt_189t_pct,ruecksetzer_189t_median,ruecksetzer_189t_p75,ruecksetzer_189t_p90,n_252t,haelt_252t_pct,ruecksetzer_252t_median,ruecksetzer_252t_p75,ruecksetzer_252t_p90
AAPL,alle,183,0.6519322955029969,2.082834985386756,3.587690073773996,7.11497572312226,10.617728509893745,14.023302466324695,21.454569176561524,183,21.9,2.5,4.5,6.75,183,15.8,3.0,5.5,8.25,183,10.9,3.5,7.0,10.45,181,9.4,3.75,7.75,12.0,172,4.1,4.5,9.75,14.45,169,2.4,6.0,10.5,14.75,163,1.8,6.75,11.0,14.95
AAPL,Hoch 1,75,0.8765235947613907,2.0021433493394714,3.021489899592068,6.1561098626392425,9.375313972846739,11.14600538919902,18.45258138200977,75,17.3,2.25,4.25,6.25,75,12.0,2.5,5.0,6.65,75,6.7,3.0,6.12,9.35,75,5.3,3.0,6.88,10.8,71,2.8,4.0,8.0,12.0,69,1.4,4.75,9.75,12.9,67,1.5,5.0,10.0,13.35
AAPL,Hoch 2,40,0.8174147423443849,2.357709380975089,3.664369864367371,6.270134250727802,9.73892668696516,11.310709286552756,15.552258975302172,40,27.5,2.75,3.81,5.6,40,20.0,2.88,5.31,7.53,40,12.5,3.5,6.06,9.58,40,10.0,3.88,6.44,9.65,37,0.0,5.0,9.5,12.35,36,0.0,5.88,10.0,12.88,34,0.0,6.12,10.75,13.02
AAPL,Hoch 3,25,1.067392015662729,2.4941418611096675,3.533577503949354,5.080214334698454,8.608924763326998,15.768780668536206,19.38977033894433,25,28.0,2.25,4.0,5.75,25,16.0,3.5,5.0,7.9,25,12.0,3.5,5.0,8.5,25,12.0,3.75,6.75,8.5,23,4.3,5.0,9.12,14.35,23,0.0,6.75,11.0,15.8,21,0.0,7.0,11.75,16.0
AAPL,Hoch 4,15,0.6519322955029969,1.8402369366491864,4.342399941844824,8.349615416283687,12.300636886883906,14.462172170538878,19.06592706643911,15,20.0,2.0,4.5,8.05,15,20.0,3.0,8.25,9.4,15,20.0,4.25,8.25,12.15,14,21.4,3.62,8.62,15.03,14,14.3,6.25,10.44,15.63,14,7.1,9.38,12.75,15.63,14,7.1,9.38,12.75,15.63
AAPL,Hoch 5,10,1.5029289008757538,3.234594447264441,5.508125285621745,7.859579098184527,12.832828535152071,15.802668036091399,18.772507537030737,10,20.0,3.5,6.19,7.67,10,10.0,5.38,7.44,9.72,10,10.0,5.38,7.69,12.4,9,11.1,6.25,14.0,16.0,9,11.1,6.25,14.0,16.0,9,11.1,6.25,14.0,16.0,9,11.1,10.25,14.0,16.0
AAPL,Hoch 6,6,2.358952493678443,3.307062590987502,5.364029565976204,11.176162454359062,16.4569221983639,18.444603092663904,20.432283986963913,6,33.3,4.38,6.81,8.5,6,33.3,5.25,9.12,12.88,6,16.7,5.25,11.0,14.12,6,16.7,11.5,15.94,16.0,6,16.7,11.5,15.94,16.0,6,16.7,12.38,15.94,16.0,6,0.0,13.12,15.94,16.0
AAPL,Hoch 7,3,1.9516287111574422,2.7823783400836204,3.613127969009798,12.533848572785661,17.88628093505118,19.67042505580635,21.454569176561524,3,0.0,1.75,4.38,5.95,3,0.0,3.5,9.75,13.5,3,0.0,3.5,9.75,13.5,3,0.0,3.5,9.75,13.5,3,0.0,3.5,9.75,13.5,3,0.0,3.5,9.75,13.5,3,0.0,3.5,9.75,13.5
AAPL,Hoch 8,2,2.3576451336983246,3.7379812980092506,5.118317462320177,6.4986536266311035,7.326855325217659,7.602922558079843,7.878989790942029,2,0.0,5.0,6.38,7.2,2,0.0,5.0,6.38,7.2,2,0.0,5.0,6.38,7.2,2,0.0,5.0,6.38,7.2,2,0.0,5.0,6.38,7.2,2,0.0,5.0,6.38,7.2,2,0.0,5.0,6.38,7.2
AAPL,Hoch 9,2,1.313611463243404,3.195599477319592,5.07758749139578,6.959575505471968,8.088768313917681,8.465165916732918,8.841563519548156,2,50.0,5.0,6.88,8.0,2,50.0,5.0,6.88,8.0,2,50.0,5.0,6.88,8.0,2,0.0,5.0,6.88,8.0,2,0.0,5.75,7.25,8.15,2,0.0,5.75,7.25,8.15,2,0.0,5.88,7.31,8.18
AAPL,Hoch 10,1,2.0909329177128315,2.0909329177128315,2.0909329177128315,2.0909329177128315,2.0909329177128315,2.0909329177128315,2.0909329177128315,1,0.0,2.0,2.0,2.0,1,0.0,2.0,2.0,2.0,1,0.0,2.0,2.0,2.0,1,0.0,2.0,2.0,2.0,1,0.0,3.5,3.5,3.5,1,0.0,3.5,3.5,3.5,1,0.0,4.0,4.0,4.0
AAPL,Hoch 11,1,4.669526926044445,4.669526926044445,4.669526926044445,4.669526926044445,4.669526926044445,4.669526926044445,4.669526926044445,1,0.0,2.75,2.75,2.75,1,0.0,2.75,2.75,2.75,1,0.0,4.5,4.5,4.5,1,0.0,6.25,6.25,6.25,1,0.0,6.75,6.75,6.75,1,0.0,6.75,6.75,6.75,1,0.0,7.25,7.25,7.25
AAPL,Hoch 12,1,4.833621902989628,4.833621902989628,4.833621902989628,4.833621902989628,4.833621902989628,4.833621902989628,4.833621902989628,1,0.0,1.25,1.25,1.25,1,0.0,4.75,4.75,4.75,1,0.0,4.75,4.75,4.75,1,0.0,6.25,6.25,6.25,1,0.0,6.75,6.75,6.75,1,0.0,6.75,6.75,6.75,1,0.0,7.25,7.25,7.25
AAPL,Hoch 13,1,10.03148771795261,10.03148771795261,10.03148771795261,10.03148771795261,10.03148771795261,10.03148771795261,10.03148771795261,1,0.0,2.75,2.75,2.75,1,0.0,8.25,8.25,8.25,1,0.0,10.0,10.0,10.0,1,0.0,10.75,10.75,10.75,1,0.0,10.75,10.75,10.75,1,0.0,10.75,10.75,10.75,1,0.0,11.0,11.0,11.0
AAPL,Hoch 14,1,10.663613043292731,10.663613043292731,10.663613043292731,10.663613043292731,10.663613043292731,10.663613043292731,10.663613043292731,1,100.0,9.0,9.0,9.0,1,100.0,9.0,9.0,9.0,1,100.0,10.5,10.5,10.5,1,100.0,11.25,11.25,11.25,1,0.0,11.25,11.25,11.25,1,0.0,11.75,11.75,11.75,1,0.0,11.75,11.75,11.75
ABBV,alle,214,0.563042017372497,2.2096776850676894,4.281941816434548,6.859351612086123,10.408463295068191,12.605811291379215,19.935678692326185,214,27.1,3.0,4.44,6.25,214,17.8,3.5,5.75,8.5,214,12.1,4.25,6.75,10.25,212,6.1,4.75,7.56,10.73,206,2.9,5.25,8.0,11.5,200,0.5,5.25,8.31,11.52,196,0.5,5.25,8.31,11.62
ABBV,Hoch 1,86,0.563042017372497,2.489261090780575,4.440633807132329,6.342555538110664,9.975214311053534,11.404790910043975,17.649832627600897,86,29.1,3.0,4.75,6.38,86,18.6,3.88,5.75,8.75,86,12.8,4.25,6.19,9.88,86,4.7,4.75,6.62,10.0,82,2.4,5.12,7.19,10.95,79,0.0,5.0,7.5,11.1,78,0.0,5.0,7.62,11.15
ABBV,Hoch 2,49,0.6074625785959477,2.0666480760489714,4.282278046060284,6.157461238487669,9.707574546970065,11.469356546958553,19.935678692326185,49,32.7,3.25,4.25,5.6,49,20.4,4.0,5.25,8.3,49,12.2,4.25,6.0,9.65,49,6.1,4.75,7.0,9.65,47,4.3,5.0,7.5,10.65,45,0.0,5.0,7.5,10.85,44,0.0,4.88,7.5,10.95
ABBV,Hoch 3,29,1.1312702532858645,2.0685060422460926,3.1354196085087542,6.060843407775235,10.020482941646016,16.62688024112979,19.921823819848907,29,27.6,2.5,4.75,6.0,29,17.2,2.75,6.0,7.3,29,6.9,3.0,6.0,9.95,28,0.0,4.12,6.31,10.3,28,0.0,4.88,7.25,11.7,27,0.0,5.0,6.62,11.85,27,0.0,5.0,6.62,11.85
ABBV,Hoch 4,17,0.7730333085398862,2.006461655232489,3.335784722216785,5.382639558352926,11.135788243743287,12.382259094085793,16.121125020258827,17,5.9,2.25,3.25,4.0,17,0.0,3.0,3.75,6.9,17,0.0,3.25,5.25,10.95,16,0.0,3.75,6.38,11.0,16,0.0,4.0,10.0,11.88,16,0.0,4.75,10.0,11.88,16,0.0,4.75,10.0,11.88
ABBV,Hoch 5,10,0.7650530863088472,2.791834382937376,4.114768176563142,6.487795322774238,12.467006603538499,12.763321480545272,13.059636357552046,10,10.0,2.0,3.75,4.5,10,0.0,2.88,4.5,6.85,10,0.0,4.0,6.44,12.32,10,0.0,5.38,8.56,12.32,10,0.0,5.88,11.62,13.03,10,0.0,5.88,11.62,13.03,10,0.0,5.88,11.62,13.03
ABBV,Hoch 6,7,1.5480425183447826,2.5865052999723055,4.557753600134919,6.479869095810628,9.185667233137773,10.228345393735868,11.27102355433397,7,28.6,2.0,3.62,7.35,7,28.6,2.5,5.38,9.15,7,28.6,4.5,6.38,9.15,7,28.6,6.25,9.5,12.25,7,0.0,6.25,11.38,12.4,7,0.0,6.25,11.38,12.4,7,0.0,6.25,11.38,12.4
ABBV,Hoch 7,4,1.5983932334284459,2.004527393014889,4.14413051257032,6.742667102270111,7.812427844281824,8.169014758285726,8.525601672289632,4,0.0,1.88,2.0,2.0,4,0.0,3.62,5.69,6.48,4,0.0,4.0,6.62,7.75,4,0.0,4.62,7.56,8.12,4,0.0,5.5,7.56,8.12,4,0.0,6.62,7.56,8.12,4,0.0,6.62,7.56,8.12
ABBV,Hoch 8,4,2.3770310794305782,3.346821292637619,6.262622215435779,9.249094035090245,9.958175777355823,10.194536358111016,10.430896938866209,4,0.0,2.75,4.81,7.18,4,0.0,5.38,7.62,8.3,4,0.0,6.12,9.12,9.8,4,0.0,7.0,9.12,9.8,4,0.0,8.12,9.19,9.97,4,0.0,8.12,9.19,9.97,4,0.0,8.12,9.19,9.97
ABBV,Hoch 9,4,3.234321172553662,5.879390594904065,7.938395109980636,9.896334606357618,11.3014592261086,11.769834099358926,12.238208972609254,4,50.0,4.25,6.44,9.03,4,50.0,5.75,8.31,9.78,4,50.0,7.88,9.75,11.1,4,50.0,9.0,9.75,11.1,4,25.0,9.0,9.81,11.28,4,25.0,9.0,9.81,11.28,3,33.3,9.0,10.62,11.6
ABBV,Hoch 10,3,6.655460418238539,6.758644733607968,6.861829048977397,8.001774923928659,8.685742448899415,8.913731623889667,9.14172079887992,3,66.7,6.75,6.88,6.95,3,66.7,6.75,7.25,7.55,3,66.7,6.75,7.88,8.55,3,66.7,8.75,8.88,8.95,3,33.3,8.75,8.88,8.95,3,0.0,9.0,9.88,10.4,2,0.0,8.88,8.94,8.97
ABBV,Hoch 11,1,7.389668166465265,7.389668166465265,7.389668166465265,7.389668166465265,7.389668166465265,7.389668166465265,7.389668166465265,1,100.0,4.25,4.25,4.25,1,100.0,5.5,5.5,5.5,1,100.0,7.25,7.25,7.25,1,0.0,9.75,9.75,9.75,1,0.0,9.75,9.75,9.75,1,0.0,9.75,9.75,9.75,1,0.0,9.75,9.75,9.75
ABNB,alle,164,0.8184085146511862,2.6810628120486895,4.6595628447819255,6.786846548400443,9.637897002361607,12.130750583455637,16.233966429800926,164,31.1,2.88,4.75,6.25,164,23.2,3.75,5.75,8.0,164,18.3,4.5,6.75,9.5,164,15.2,5.0,8.0,10.25,159,13.2,6.25,9.25,12.0,150,12.0,7.25,10.19,12.75,147,11.6,8.25,11.12,14.0
ABNB,Hoch 1,81,0.8184085146511862,2.4752404827951087,4.623244774589558,5.857674506905934,8.401469905307772,9.4564877393007,12.253753880724348,81,27.2,2.75,4.5,5.75,81,17.3,3.5,5.0,6.25,81,11.1,4.5,5.75,8.25,81,9.9,4.75,6.5,9.25,80,8.8,5.38,8.31,11.25,74,9.5,6.38,8.75,11.25,71,9.9,7.25,10.25,13.25
ABNB,Hoch 2,36,1.2446553714563877,2.292544556609481,4.147055933795263,7.352544211436097,9.56851935890763,10.35109705358,13.468490954880517,36,22.2,2.75,4.25,5.62,36,13.9,3.38,6.0,8.0,36,11.1,4.12,7.12,9.38,36,2.8,4.75,8.12,9.88,34,2.9,6.12,9.5,11.47,31,3.2,8.0,10.25,12.0,31,3.2,8.5,10.25,14.0
ABNB,Hoch 3,23,1.3650552076927729,2.9734419800295626,4.254032966632841,7.705701605353167,10.831764254442664,11.991028068080315,12.973292528687686,23,39.1,3.0,5.0,6.6,23,39.1,4.25,6.38,9.0,23,30.4,4.25,7.62,10.7,23,26.1,4.75,8.12,11.2,21,19.0,6.5,9.5,12.0,21,19.0,8.75,11.5,12.25,21,19.0,9.5,12.0,15.25
ABNB,Hoch 4,13,1.3776126045493438,3.2309692852884613,5.18739308671787,6.656382970552067,12.031731108102349,13.835241485917155,14.859428822422023,13,30.8,3.25,4.5,5.65,13,23.1,3.5,5.75,9.7,13,23.1,5.0,6.5,11.9,13,23.1,5.75,7.25,12.0,13,23.1,6.75,9.0,13.4,13,23.1,8.0,13.5,13.95,13,23.1,8.0,13.5,14.75
ABNB,Hoch 5,8,1.404979096820012,5.699597863514756,6.908918973136201,9.074624232733957,13.213768173216508,14.00213108080737,14.790493988398234,8,62.5,4.75,6.56,9.0,8,50.0,5.75,7.75,11.42,8,50.0,6.75,8.94,13.17,8,50.0,7.12,9.44,13.53,8,37.5,8.25,10.25,15.12,8,25.0,8.38,10.56,16.0,8,12.5,8.38,10.56,16.0
ABNB,Hoch 6,3,8.589045190101974,9.309632783224693,10.030220376347412,13.132093403074169,14.993217219110223,15.613591824455574,16.233966429800926,3,100.0,7.5,11.75,14.3,3,100.0,7.5,11.75,14.3,3,100.0,10.0,13.0,14.8,3,100.0,10.0,13.0,14.8,3,100.0,11.5,13.75,15.1,3,33.3,13.75,14.88,15.55,3,33.3,13.75,14.88,15.55
ABT,alle,168,0.6662974589114515,3.1198141290657277,5.195396045607138,7.694121045195037,9.792556042301172,11.843592881439246,23.754292546224185,168,34.5,3.0,5.0,6.75,168,25.6,3.88,6.75,8.58,168,19.0,5.12,7.56,9.58,166,14.5,6.0,8.25,11.0,160,10.6,6.75,10.25,13.77,154,8.4,7.12,11.44,15.18,147,6.1,8.25,11.62,16.0
ABT,Hoch 1,78,0.8057571420968733,3.720841376271635,5.52579742541088,7.234918341166196,9.284077501594549,10.284121252266763,14.109944290435168,78,34.6,3.38,4.75,6.4,78,23.1,4.0,6.25,8.25,78,19.2,5.38,7.0,9.25,78,11.5,5.75,7.5,9.25,72,6.9,6.38,8.25,12.22,68,5.9,6.75,10.06,12.73,64,4.7,7.25,10.25,13.8
ABT,Hoch 2,36,0.6662974589114515,3.191280727686436,4.8769871051273785,7.925734288316624,11.247172614573259,13.190239875526922,23.754292546224185,36,33.3,2.12,4.12,6.75,36,27.8,3.25,7.19,8.5,36,19.4,4.75,7.81,11.12,35,20.0,6.25,8.25,12.05,35,17.1,7.25,11.12,13.9,34,14.7,7.62,12.75,15.47,32,9.4,8.5,13.81,16.0
