ticker,name,boerse,branche,kurs,atr14,bezugstief,bezugstief_datum,bezugstief_bestaetigt,position,fortsetzungskette,rsi_heute,rsi_min,rsi_max,rsi_schwelle,rsi_schwelle_faelle,rsi_schwelle_anteil_serien,kaufanteil_pct,banken,kursziel,eigenes_ziel,korrektur_atr,korrektur_tage,korrektur_ueblich_atr,long_anteil_tr,luecken,anker_atr,anker_rendite_eigen_pct,anker_rendite_analyst_pct,filter_ergebnis,filter_variante,marke_9von10_atr,marke_9von10_ko,marke_9von10_abstand_pct,marke_9von10_einsatz,marke_9von10_haelt_position_pct,marke_9von10_haelt_position_n,marke_9von10_haelt_alle_pct,marke_9von10_haelt_alle_n,marke_9von10_rendite_eigen_pct,marke_9von10_rendite_analyst_pct,marke_19von20_atr,marke_19von20_ko,marke_19von20_abstand_pct,marke_19von20_einsatz,marke_19von20_haelt_position_pct,marke_19von20_haelt_position_n,marke_19von20_haelt_alle_pct,marke_19von20_haelt_alle_n,marke_19von20_rendite_eigen_pct,marke_19von20_rendite_analyst_pct,p1.25_abstand_pct,p1.25_einsatz,p1.25_haelt63_alle_n,p1.25_haelt63_alle_pct,p1.25_haelt63_position_n,p1.25_haelt63_position_pct,p1.25_ist_anker,p1.25_ko,p1.25_rendite_analyst_pct,p1.25_rendite_eigen_pct,p1.25_reserve_atr,p1.5_abstand_pct,p1.5_einsatz,p1.5_haelt63_alle_n,p1.5_haelt63_alle_pct,p1.5_haelt63_position_n,p1.5_haelt63_position_pct,p1.5_ist_anker,p1.5_ko,p1.5_rendite_analyst_pct,p1.5_rendite_eigen_pct,p1.5_reserve_atr,p1.75_abstand_pct,p1.75_einsatz,p1.75_haelt63_alle_n,p1.75_haelt63_alle_pct,p1.75_haelt63_position_n,p1.75_haelt63_position_pct,p1.75_ist_anker,p1.75_ko,p1.75_rendite_analyst_pct,p1.75_rendite_eigen_pct,p1.75_reserve_atr,p2_abstand_pct,p2_einsatz,p2_haelt63_alle_n,p2_haelt63_alle_pct,p2_haelt63_position_n,p2_haelt63_position_pct,p2_ist_anker,p2_ko,p2_rendite_analyst_pct,p2_rendite_eigen_pct,p2_reserve_atr,p2.25_abstand_pct,p2.25_einsatz,p2.25_haelt63_alle_n,p2.25_haelt63_alle_pct,p2.25_haelt63_position_n,p2.25_haelt63_position_pct,p2.25_ist_anker,p2.25_ko,p2.25_rendite_analyst_pct,p2.25_rendite_eigen_pct,p2.25_reserve_atr,p2.5_abstand_pct,p2.5_einsatz,p2.5_haelt63_alle_n,p2.5_haelt63_alle_pct,p2.5_haelt63_position_n,p2.5_haelt63_position_pct,p2.5_ist_anker,p2.5_ko,p2.5_rendite_analyst_pct,p2.5_rendite_eigen_pct,p2.5_reserve_atr,p2.75_abstand_pct,p2.75_einsatz,p2.75_haelt63_alle_n,p2.75_haelt63_alle_pct,p2.75_haelt63_position_n,p2.75_haelt63_position_pct,p2.75_ist_anker,p2.75_ko,p2.75_rendite_analyst_pct,p2.75_rendite_eigen_pct,p2.75_reserve_atr,p3_abstand_pct,p3_einsatz,p3_haelt63_alle_n,p3_haelt63_alle_pct,p3_haelt63_position_n,p3_haelt63_position_pct,p3_ist_anker,p3_ko,p3_rendite_analyst_pct,p3_rendite_eigen_pct,p3_reserve_atr,p3.25_abstand_pct,p3.25_einsatz,p3.25_haelt63_alle_n,p3.25_haelt63_alle_pct,p3.25_haelt63_position_n,p3.25_haelt63_position_pct,p3.25_ist_anker,p3.25_ko,p3.25_rendite_analyst_pct,p3.25_rendite_eigen_pct,p3.25_reserve_atr,p3.5_abstand_pct,p3.5_einsatz,p3.5_haelt63_alle_n,p3.5_haelt63_alle_pct,p3.5_haelt63_position_n,p3.5_haelt63_position_pct,p3.5_ist_anker,p3.5_ko,p3.5_rendite_analyst_pct,p3.5_rendite_eigen_pct,p3.5_reserve_atr,p3.75_abstand_pct,p3.75_einsatz,p3.75_haelt63_alle_n,p3.75_haelt63_alle_pct,p3.75_haelt63_position_n,p3.75_haelt63_position_pct,p3.75_ist_anker,p3.75_ko,p3.75_rendite_analyst_pct,p3.75_rendite_eigen_pct,p3.75_reserve_atr,p4_abstand_pct,p4_einsatz,p4_haelt63_alle_n,p4_haelt63_alle_pct,p4_haelt63_position_n,p4_haelt63_position_pct,p4_ist_anker,p4_ko,p4_rendite_analyst_pct,p4_rendite_eigen_pct,p4_reserve_atr
IFX.DE,INFINEON TECHNOLOGIES AG,DAX,Technology,55.86,2.4986,53.25,2026-09-15,0,2.0,Tief1→2: 41/120 (34 %) · »Tief2→3: 17/41 (41 %)« · Tief3→4: 10/17 (24 % kum. ab Tief2) · Tief4→5: 4/10 (10 % kum. ab Tief2) · Tief5→6: 2/4 (5 % kum. ab Tief2),45.47,26.57,66.16,47.46,41,34.2,79.0,24,90.5,84.914,3.02,6.0,1.93,nicht erfasst - bitte Screenshot,"Quote 94 % (99/105), Median 0 Tag. 6 offen — abwärts: 22 Tage alt (über Kurs), binnen 13 Tagen zu 75 %. aufwärts: 104 Tage alt (unter Kurs), binnen 6 Tagen zu 0 %; 111 Tage alt (unter Kurs), binnen 6 Tagen zu 0 %; 115 Tage alt (unter Kurs), binnen 6 Tagen zu 0 %; 357 Tage alt (unter Kurs), binnen 6 Tagen zu 0 %; 364 Tage alt (unter Kurs), binnen 6 Tagen ohne Fälle.",3.25,270.7621767959406,322.8196394373023,drin,Hauptregel,8.058,33.1162812,40.715572502685276,452.9,90.2439024390244,41,90.3061224489796,196,127.74516012746344,152.30578738952755,14.457,17.127739799999993,69.3380955961332,772.85,95.1219512195122,41,95.40816326530613,196,75.01240529206193,89.43449161275643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.736573576799145,162.5,196,48.46938775510204,41,43.90243902439025,0,47.62815,420.8045579061814,352.9461785625345,5.81,15.854815610454704,175.0,196,51.02040816326531,41,46.34146341463415,0,47.0035,391.1251623101678,328.05284254502357,5.56,16.973057644110277,187.5,196,54.08163265306123,41,53.65853658536586,0,46.37885,365.35652320657306,306.43961966639074,5.31,18.091299677765846,200.0,196,58.673469387755105,41,58.536585365853654,0,45.7542,342.77345682677264,287.4982683211621,5.06,19.20954171142141,212.5,196,61.224489795918366,41,63.41463414634146,1,45.12955,322.8196394373023,270.7621767959406,4.81,20.32778374507698,225.0,196,61.73469387755102,41,63.41463414634146,0,44.5049,305.061161944853,255.86740759658656,4.56,21.44602577873254,237.5,196,65.81632653061224,41,70.73170731707317,0,43.880250000000004,289.1546150796136,242.52592917214474,4.31,22.56426781238811,250.0,196,66.83673469387756,41,73.17073170731707,0,43.2556,274.82466440290693,230.5068071467107,4.06
AMAT,"Applied Materials, Inc.",NASDAQ,Technology,444.57,17.7593,411.51,2026-09-16,0,5.0,Tief1→2: 53/141 (38 %) · Tief2→3: 16/53 (30 %) · Tief3→4: 8/16 (50 %) · »Tief4→5: 4/8 (50 %)«,43.79,30.8,42.19,35.48,4,2.8,91.0,23,650.0,605.543,18.48,54.0,2.34,nicht erfasst - bitte Screenshot,"Quote 92 % (108/118), Median 0 Tag. 11 offen — abwärts: 4 Tage alt (über Kurs), binnen 7 Tagen zu 50 %; 55 Tage alt (über Kurs), binnen 7 Tagen ohne Fälle. aufwärts: 113 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 154 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 177 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 178 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 249 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 251 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 253 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 353 Tage alt (unter Kurs), binnen 5 Tagen ohne Fälle; 354 Tage alt (unter Kurs), binnen 5 Tagen ohne Fälle.",3.25,177.32654128532087,226.30000917075202,drin,Hauptregel,6.701,292.5049307,34.20497768630362,385.04999999999995,100.0,4,90.13452914798206,223,105.85797299866815,135.09348395765997,9.285,246.61489949999998,44.52731864498279,514.25,100.0,4,95.06726457399103,223,81.31793502335142,103.7760580460517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.424505702139143,162.5,223,53.81165919282511,4,25.0,0,371.551575,281.33994947165746,220.4553165861905,4.45,17.423184200463375,175.0,223,59.19282511210763,4,25.0,0,367.11175,265.2138410046702,207.81905090806978,4.2,18.421862698787596,187.5,223,61.88340807174888,4,25.0,0,362.671925,250.83617655237927,196.55284938015942,3.95,19.420541197111817,200.0,223,64.57399103139014,4,25.0,0,358.2321,237.93722108135594,186.4453501880403,3.7,20.419219695436034,212.5,223,68.60986547085201,4,75.0,1,353.792275,226.30000917075202,177.32654128532087,3.45,21.41789819376027,225.0,223,70.4035874439462,4,75.0,0,349.35245,215.74804224641358,169.05812006295056,3.2,22.416576692084487,237.5,223,73.54260089686099,4,75.0,0,344.912625,206.13627441019796,161.52642993054954,2.95,23.415255190408708,250.0,223,76.68161434977578,4,100.0,0,340.4728,197.344405036831,154.6372044589096,2.7
ASML,ASML Holding N.V. - New York Re,NASDAQ,Technology,1446.0,51.7143,1365.4,2026-09-15,0,2.0,Tief1→2: 46/135 (34 %) · »Tief2→3: 16/46 (35 %)« · Tief3→4: 7/16 (15 % kum. ab Tief2) · Tief4→5: 4/7 (9 % kum. ab Tief2),46.64,26.85,65.09,52.5,46,34.1,100.0,5,2194.4,2049.8,3.4,13.0,1.97,nicht erfasst - bitte Screenshot,"Quote 93 % (114/123), Median 0 Tag. 10 offen — abwärts: 3 Tage alt (über Kurs), binnen 8 Tagen zu 73 %. aufwärts: 96 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 115 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 180 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 252 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 254 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 257 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 263 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 284 Tage alt (unter Kurs), binnen 5 Tagen zu 0 %; 359 Tage alt (unter Kurs), binnen 5 Tagen ohne Fälle.",3.75,219.94063460595424,272.6127375606097,drin,Hauptregel,8.575,921.9498775000002,36.24136393499307,478.74999999999994,91.30434782608695,46,90.0,210,115.21798661539296,142.8107671132164,12.174,735.8301118,49.11271702627939,658.6999999999999,95.65217391304348,46,95.23809523809523,210,85.02190955045906,105.38323469288432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.409012793914235,187.5,210,59.523809523809526,46,45.65217391304348,0,1223.1856750000002,335.88504688825583,270.98796273534055,5.82,16.303105117565696,200.0,210,61.904761904761905,46,45.65217391304348,0,1210.2571,317.4644920377242,256.12648355475403,5.57,17.197197441217142,212.5,210,65.23809523809524,46,50.0,0,1197.3285250000001,300.9593279647376,242.81031831254487,5.32,18.091289764868606,225.0,210,67.61904761904762,46,52.17391304347826,0,1184.39995,286.0855722313509,230.81035343838815,5.07,18.98538208852005,237.5,210,73.80952380952381,46,65.21739130434783,1,1171.471375,272.6127375606097,219.94063460595424,4.82,19.879474412171497,250.0,210,75.23809523809524,46,67.3913043478261,0,1158.5428000000002,260.35180193781906,210.04866115720898,4.57
BA,Boeing Company (The),DOW,Industrials,198.2,5.3543,195.47,2026-09-18,0,3.0,Tief1→2: 1/1 (100 %) · »Tief2→3: 1/1 (100 %)«,33.48,29.79,29.79,29.79,1,100.0,100.0,6,278.5,258.68,8.52,31.0,1.87,nicht erfasst - bitte Screenshot,"Quote 99 % (68/69), Median 0 Tag. 1 offen — aufwärts: 353 Tage alt (unter Kurs), binnen 9 Tagen ohne Fälle.",,,,raus - 60/60 nie erreicht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,"BlackRock, Inc.",SP100,Financial Services,1069.78,25.5624,1017.46,2026-09-16,0,2.0,Tief1→2: 43/129 (33 %) · »Tief2→3: 17/43 (40 %)« · Tief3→4: 11/17 (26 % kum. ab Tief2) · Tief4→5: 6/11 (14 % kum. ab Tief2) · Tief5→6: 2/6 (5 % kum. ab Tief2),42.42,22.26,61.99,50.17,43,33.3,100.0,8,1310.0,1203.022,6.64,13.0,2.28,nicht erfasst - bitte Screenshot,"Quote 99 % (78/79), Median 0 Tag. 1 offen — aufwärts: 353 Tage alt (unter Kurs), binnen 9 Tagen ohne Fälle.",3.75,89.91962423825237,162.1147396054772,raus - Rendite 90 %,,8.331,804.4996456,24.797655069266575,466.54999999999995,88.37209302325581,43,90.43062200956938,209,50.226862935765126,90.55325658898474,10.709,743.7122584000001,30.479887603058557,585.4499999999999,95.34883720930233,43,95.21531100478468,209,40.86328790029563,73.6718078339339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.461851969563831,187.5,209,55.50239234449761,43,51.162790697674424,0,947.1634,195.91148343698987,108.66554773171006,5.58,12.059227130811934,200.0,209,55.980861244019145,43,53.48837209302325,0,940.7728000000001,186.20666133363116,103.28260748237312,5.33,12.656602292060045,212.5,209,58.3732057416268,43,55.81395348837209,0,934.3822,177.4179491838125,98.40780278556963,5.08,13.25397745330815,225.0,209,63.1578947368421,43,58.139534883720934,0,927.9916000000001,169.4214759458462,93.97242651726097,4.83,13.851352614556262,237.5,209,63.63636363636363,43,60.46511627906976,1,921.601,162.1147396054772,89.91962423825237,4.58,14.448727775804365,250.0,209,64.5933014354067,43,60.46511627906976,0,915.2104,155.41218971906517,86.20194397863489,4.33
COST,Costco Wholesale Corporation,NASDAQ,Consumer Defensive,895.31,12.5052,888.04,2026-09-17,0,3.0,Tief1→2: 34/121 (28 %) · Tief2→3: 15/34 (44 %) · »Tief3→4: 7/15 (47 %)« · Tief4→5: 3/7 (20 % kum. ab Tief3),35.95,30.83,61.49,40.42,15,12.4,75.0,8,1100.0,1010.469,7.25,20.0,2.38,nicht erfasst - bitte Screenshot,"Quote 98 % (52/53), Median 0 Tag. 2 offen — abwärts: 15 Tage alt (über Kurs), binnen 9 Tagen zu 33 %; 82 Tage alt (über Kurs), binnen 9 Tagen ohne Fälle.",2.25,325.24635167920223,578.1109225090167,drin,Hauptregel,7.338,796.2768424,11.06132597647742,416.9,93.33333333333333,15,90.05524861878453,181,116.28327601663801,206.6883506095539,8.222,785.2222456,12.296048787570786,461.09999999999997,93.33333333333333,15,95.02762430939227,181,104.60654831923806,185.93348653135945,2.557940824965648,112.5,181,49.171270718232044,15,60.0,0,872.4085,893.7842499399627,502.84479182586466,6.09,2.907127140320108,125.0,181,51.38121546961326,15,60.0,0,869.2822,786.4283573717348,442.44615372793817,5.84,3.256313455674568,137.5,181,54.14364640883977,15,60.0,0,866.1559,702.0967891308607,395.00104616503415,5.59,3.6054997710290277,150.0,181,57.4585635359116,15,60.0,0,863.0296,634.0999491951777,356.7458891463556,5.34,3.9546860863834876,162.5,181,60.22099447513812,15,60.0,1,859.9033,578.1109225090167,325.24635167920223,5.09,4.303872401737947,175.0,181,61.87845303867403,15,60.0,0,856.7769999999999,531.2070173617418,298.85812161004867,4.84,4.653058717092407,187.5,181,63.53591160220995,15,60.0,0,853.6506999999999,491.3428694193131,276.4304729076101,4.59,5.002245032446854,200.0,181,66.29834254143645,15,60.0,0,850.5244,457.04422850201934,257.13398949662457,4.34,5.351431347801315,212.5,181,69.06077348066299,15,66.66666666666666,0,847.3981,427.2216296995116,240.3557362575899,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,GE Aerospace,SP100,Industrials,314.27,8.1977,306.8,2026-09-15,0,2.0,Tief1→2: 35/107 (33 %) · »Tief2→3: 13/35 (37 %)« · Tief3→4: 8/13 (23 % kum. ab Tief2) · Tief4→5: 4/8 (11 % kum. ab Tief2) · Tief5→6: 2/4 (6 % kum. ab Tief2) · Tief6→7: 1/2 (3 % kum. ab Tief2),34.19,20.79,63.85,53.05,35,32.7,100.0,9,400.0,368.573,8.39,19.0,2.32,nicht erfasst - bitte Screenshot,"Quote 96 % (66/69), Median 0 Tag. 4 offen — abwärts: 4 Tage alt (über Kurs), binnen 13 Tagen zu 80 %. aufwärts: 346 Tage alt (unter Kurs), binnen 17 Tagen ohne Fälle; 353 Tage alt (unter Kurs), binnen 17 Tagen ohne Fälle; 354 Tage alt (unter Kurs), binnen 17 Tagen ohne Fälle.",2.25,209.54415088660681,330.81450482494165,drin,Hauptregel,6.168,256.2365864,18.46610035956342,358.40000000000003,94.28571428571428,35,90.05847953216374,171,93.57195558801324,147.725240825744,9.033,232.75017590000002,25.939422821141044,501.65,94.28571428571428,35,95.32163742690058,171,66.61324481439848,105.1646037592469,5.637548922900676,112.5,171,53.216374269005854,35,54.285714285714285,0,296.55287500000003,483.8821197005735,306.5000670255481,4.92,6.289671301746905,125.0,171,57.30994152046783,35,57.14285714285714,0,294.50345,433.71250926438876,274.72168891384695,4.67,6.941793680593114,137.5,171,61.40350877192983,35,57.14285714285714,0,292.454025,392.9689138349311,248.91392660653509,4.42,7.593916059439325,150.0,171,65.49707602339181,35,57.14285714285714,0,290.4046,359.2229755210478,227.53861238445648,4.17,8.246038438285536,162.5,171,70.76023391812866,35,68.57142857142857,1,288.35517500000003,330.81450482494165,209.54415088660681,3.92,8.898160817131764,175.0,171,71.9298245614035,35,71.42857142857143,0,286.30575,306.56999561940705,194.18722118419055,3.67,9.550283195977974,187.5,171,73.68421052631578,35,74.28571428571429,0,284.256325,285.6364640451397,180.9275272021838,3.42,10.202405574824185,200.0,171,76.0233918128655,35,77.14285714285715,0,282.2069,267.3790120106918,169.36291250690064,3.17,10.854527953670395,212.5,171,76.0233918128655,35,77.14285714285715,0,280.15747500000003,251.31531600196743,159.18786428152148,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIN,Linde plc,NASDAQ,Basic Materials,460.4,7.1724,454.19,2026-09-18,0,6.0,Tief1→2: 43/132 (33 %) · Tief2→3: 16/43 (37 %) · Tief3→4: 7/16 (44 %) · Tief4→5: 2/7 (29 %) · »Tief5→6: 2/2 (100 %)«,32.4,23.94,37.57,34.16,2,1.5,100.0,6,550.0,503.96,13.11,52.0,2.19,nicht erfasst - bitte Screenshot,"Quote 95 % (54/57), Median 0 Tag. 4 offen — abwärts: 8 Tage alt (über Kurs), binnen 3 Tagen zu 33 %; 34 Tage alt (über Kurs), binnen 3 Tagen zu 0 %. aufwärts: 191 Tage alt (unter Kurs), binnen 4 Tagen ohne Fälle; 192 Tage alt (unter Kurs), binnen 4 Tagen ohne Fälle.",2.75,167.96418614873855,345.4910716007111,drin,Hauptregel,9.698,384.63206479999997,16.456979843614253,534.9000000000001,100.0,2,90.14778325123153,203,57.4913383676318,118.2558291492151,13.059,360.5256284,21.692956472632485,702.9499999999999,100.0,2,95.07389162561576,203,43.61479256606409,89.71270463543027,,,,,,,,,,,,,,,,,,,,,,,4.075086880973059,137.5,203,48.275862068965516,2,50.0,0,441.6383,477.5686638204438,232.17512272342105,7.95,4.464552562988706,150.0,203,49.75369458128079,2,50.0,0,439.8452,435.90791445307195,211.92130305330141,7.7,4.85401824500434,162.5,203,55.172413793103445,2,50.0,0,438.0521,400.93252609864953,194.9176432684952,7.45,5.243483927019975,175.0,203,58.128078817733986,2,50.0,0,436.259,371.15281057122803,180.43991549645858,7.2,5.632949609035622,187.5,203,61.57635467980296,2,100.0,1,434.4659,345.4910716007111,167.96418614873855,6.95,6.0224152910512565,200.0,203,62.5615763546798,2,100.0,0,432.6728,323.14838858593754,157.10205141521695,6.7,6.411880973066891,212.5,203,64.03940886699507,2,100.0,0,430.8797,303.51995067800846,147.55947602158534,6.45,6.801346655082538,225.0,203,66.50246305418719,2,100.0,0,429.0866,286.1394802225246,139.10977409032554,6.2,7.190812337098172,237.5,203,68.4729064039409,2,100.0,0,427.2935,270.64171688339167,131.57537039554174,5.95,,,,,,,,,,,
MA,Mastercard Incorporated,SP100,Financial Services,565.24,8.2943,561.9,2026-09-18,0,3.0,Tief1→2: 35/114 (31 %) · Tief2→3: 14/35 (40 %) · »Tief3→4: 8/14 (57 %)« · Tief4→5: 4/8 (29 % kum. ab Tief3),44.27,22.86,49.05,35.05,14,12.3,100.0,14,668.0,611.476,4.74,17.0,2.3,nicht erfasst - bitte Screenshot,"Quote 97 % (65/67), Median 0 Tag. 2 offen — aufwärts: 37 Tage alt (unter Kurs), binnen 4 Tagen ohne Fälle; 38 Tage alt (unter Kurs), binnen 4 Tagen ohne Fälle.",3.0,163.8244120908908,364.1014920507817,drin,Hauptregel,6.128,511.0725296,9.58309220861935,356.4,100.0,14,90.3409090909091,176,85.35750268301246,189.7079543149572,9.723,481.2545211,14.858375008845806,536.1500000000001,100.0,14,95.45454545454545,176,55.05237405986855,122.3544847822496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.525688203241114,150.0,176,48.86363636363637,14,64.28571428571429,0,545.3113999999999,515.6408377909116,232.0082695221933,4.13,3.8925367985280728,162.5,176,53.40909090909091,14,78.57142857142857,0,543.2378249999999,467.04473535002614,210.14286087625348,3.88,4.259385393815031,175.0,176,55.68181818181818,14,78.57142857142857,0,541.1642499999999,426.8195175643527,192.0438615619444,3.63,4.626233989101991,187.5,176,58.52272727272727,14,78.57142857142857,0,539.0906749999999,392.973814811662,176.81527152230444,3.38,4.993082584388929,200.0,176,61.93181818181818,14,85.71428571428571,1,537.0171,364.1014920507817,163.8244120908908,3.13,5.359931179675888,212.5,176,65.9090909090909,14,85.71428571428571,0,534.943525,339.18137341060316,152.61181375060963,2.88,5.7267797749628455,225.0,176,68.18181818181817,14,85.71428571428571,0,532.86995,317.4539427649942,142.835738591692,2.63,6.093628370249805,237.5,176,71.5909090909091,14,85.71428571428571,0,530.796375,298.34258153722203,134.23674192248927,2.38,6.460476965536764,250.0,176,73.86363636363636,14,85.71428571428571,0,528.7228,281.4016408706034,126.6143077782524,2.13
SHW,Sherwin-Williams Company (The),DOW,Basic Materials,320.73,7.2493,314.375,2026-09-18,0,3.0,Tief1→2: 37/102 (36 %) · Tief2→3: 22/37 (59 %) · »Tief3→4: 7/22 (32 %)« · Tief4→5: 2/7 (9 % kum. ab Tief3) · Tief5→6: 2/2 (9 % kum. ab Tief3) · Tief6→7: 2/2 (9 % kum. ab Tief3),36.49,24.59,44.27,39.51,22,21.6,78.0,9,395.5,363.427,7.97,29.0,2.31,nicht erfasst - bitte Screenshot,"Quote 99 % (76/77), Median 0 Tag. 2 offen — abwärts: 13 Tage alt (über Kurs), binnen 5 Tagen zu 50 %. aufwärts: 74 Tage alt (unter Kurs), binnen 13 Tagen ohne Fälle.",3.25,142.7266550727931,249.93962104580504,drin,Zusatzvariante,7.706,258.51189420000003,19.39890431203816,435.3,90.9090909090909,22,90.3409090909091,176,68.62471856222922,120.17402175557712,13.285,218.0680495,32.0088393664453,714.25,100.0,22,95.45454545454545,176,41.58989751514608,72.83126770516597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0669800143422865,162.5,176,47.72727272727273,22,54.54545454545454,0,298.064075,329.87844087545477,188.375281397075,5.46,7.632042527983039,175.0,176,52.84090909090909,22,59.09090909090909,0,296.25175,305.4548425643172,174.42831901790362,5.21,8.197105041623793,187.5,176,55.68181818181818,22,72.72727272727273,0,294.439425,284.3984964193442,162.40420759150388,4.96,8.762167555264563,200.0,176,57.95454545454546,22,72.72727272727273,0,292.6271,266.0579513146326,151.93093951158048,4.71,9.327230068905317,212.5,176,60.79545454545454,22,72.72727272727273,1,290.814775,249.93962104580504,142.7266550727931,4.46,9.892292582546068,225.0,176,63.63636363636363,22,77.27272727272727,0,289.00245,235.66269693058547,134.57389555764624,4.21,10.457355096186822,237.5,176,64.77272727272727,22,81.81818181818183,0,287.190125,222.9286781778405,127.30220372019873,3.96,11.022417609827592,250.0,176,68.75,22,81.81818181818183,0,285.3778,211.50027438179205,120.77607617064838,3.71
