ticker,index,vix_korr_500,korr_125,beta_125,beta_250,beta_abwaerts,einbruch_faktor,einbruch_faelle
AAPL,S&P 500,-0.58,0.24,0.52,0.7,0.64,1.04,67
ABBV,S&P 500,-0.19,-0.16,-0.31,-0.08,0.01,0.41,67
ABNB,S&P 500,-0.5,0.33,1.01,1.12,1.1,1.49,43
ABT,S&P 500,-0.18,-0.07,-0.15,0.03,0.26,0.61,67
ACN,S&P 500,-0.26,-0.07,-0.28,0.29,0.67,1.22,67
ADBE,S&P 500,-0.29,0.03,0.1,0.38,0.06,1.06,67
ADI,S&P 500,-0.61,0.58,1.86,1.66,1.95,0.91,67
ADP,S&P 500,-0.28,-0.19,-0.44,-0.01,0.06,0.94,67
ADS.DE,DAX,,0.32,0.72,0.79,0.93,1.17,70
ADSK,S&P 500,-0.36,0.03,0.1,0.51,0.51,1.06,67
AEP,S&P 500,-0.05,-0.04,-0.06,-0.02,0.13,0.45,67
AIR.DE,DAX,,0.69,1.36,1.2,1.08,1.4,70
ALV.DE,DAX,,0.58,0.68,0.73,0.75,1.03,70
AMAT,S&P 500,-0.49,0.56,3.0,2.67,2.38,1.34,67
AMD,S&P 500,-0.5,0.62,3.51,3.19,3.15,1.12,67
AMGN,S&P 500,-0.27,0.19,0.45,0.54,0.5,0.48,67
AMT,S&P 500,-0.05,-0.05,-0.11,-0.05,0.06,0.74,67
AMZN,S&P 500,-0.58,0.51,1.4,1.44,1.59,1.32,67
ANET,S&P 500,-0.46,0.44,1.94,2.01,2.57,1.26,67
APH,S&P 500,-0.5,0.47,1.62,1.76,1.68,0.97,67
APP,S&P 500,-0.36,0.31,1.63,2.18,2.02,2.77,43
ARM,S&P 500,-0.49,0.61,4.5,3.42,2.14,2.46,8
ASML,S&P 500,-0.23,0.48,1.68,1.56,1.22,1.12,65
AVGO,S&P 500,-0.49,0.56,2.09,2.15,2.11,1.17,67
AXON,S&P 500,-0.29,0.29,1.56,1.55,0.9,1.09,67
AXP,S&P 500,-0.65,0.44,0.83,0.97,0.75,1.33,67
AZN,S&P 500,-0.26,0.02,0.05,0.29,0.39,0.67,67
BA,S&P 500,-0.46,0.57,1.53,1.21,0.45,2.16,67
BABA,S&P 500,-0.3,0.36,1.17,1.31,1.43,0.63,67
BAC,S&P 500,-0.57,0.34,0.55,0.72,0.68,1.35,67
BAS.DE,DAX,,-0.0,-0.0,0.24,0.81,1.28,70
BAYN.DE,DAX,,0.33,0.78,0.79,0.42,1.14,70
BBVA,S&P 500,-0.44,0.64,1.6,1.5,1.22,1.0,67
BEI.DE,DAX,,0.22,0.33,0.57,1.69,0.48,70
BHP,S&P 500,-0.48,0.64,1.84,1.58,1.61,1.3,67
BIIB,S&P 500,-0.26,0.01,0.03,0.36,0.29,0.51,67
BKNG,S&P 500,-0.43,0.23,0.7,0.9,0.92,1.23,67
BKR,S&P 500,-0.46,0.23,0.6,0.71,1.28,1.6,67
BLK,S&P 500,-0.64,0.56,1.17,1.22,1.35,1.37,67
BMO,S&P 500,-0.54,0.55,0.81,0.93,0.72,1.14,67
BMW.DE,DAX,,0.48,0.91,0.79,0.99,1.1,70
BMY,S&P 500,-0.17,0.1,0.2,0.27,-0.05,0.42,67
BNR.DE,DAX,,0.05,0.07,0.26,0.66,1.08,70
BNS,S&P 500,-0.42,0.47,0.77,0.68,0.43,1.28,67
BNY,S&P 500,-0.57,0.38,0.62,0.75,0.76,1.0,67
BP,S&P 500,-0.26,-0.34,-0.81,-0.35,0.32,0.95,67
BRK-B,S&P 500,-0.4,-0.03,-0.04,0.02,0.05,0.85,67
BTI,S&P 500,-0.09,-0.07,-0.15,0.15,0.29,0.57,67
C,S&P 500,-0.62,0.57,1.21,1.32,1.04,1.48,67
CAT,S&P 500,-0.52,0.58,1.92,1.71,1.69,0.95,67
CB,S&P 500,-0.15,-0.35,-0.55,-0.34,-0.33,0.59,67
CBK.DE,DAX,,0.65,1.27,1.36,1.17,1.4,70
CCEP,S&P 500,-0.23,0.06,0.11,0.15,0.2,0.56,67
CDNS,S&P 500,-0.49,0.5,1.7,1.65,1.73,0.96,67
CDW,S&P 500,-0.39,0.11,0.5,0.77,1.07,1.21,67
CEG,S&P 500,-0.39,0.27,0.9,1.33,1.52,0.67,40
CHTR,S&P 500,-0.22,-0.01,-0.04,0.26,0.45,1.11,67
CL,S&P 500,-0.04,-0.03,-0.06,-0.13,-0.43,0.5,67
CM,S&P 500,-0.44,0.45,0.78,0.78,0.62,1.05,67
CMCSA,S&P 500,-0.26,0.02,0.07,0.14,0.22,0.95,67
CNQ,S&P 500,-0.26,-0.34,-0.88,-0.36,0.66,0.96,67
COF,S&P 500,-0.62,0.54,1.2,1.33,1.26,1.48,67
CON.DE,DAX,,0.64,1.28,0.99,0.94,1.28,70
COP,S&P 500,-0.28,-0.46,-1.16,-0.52,0.32,0.79,67
COST,S&P 500,-0.28,-0.14,-0.23,-0.1,-0.19,0.86,67
CPRT,S&P 500,-0.28,-0.06,-0.16,0.16,0.57,1.2,67
CRM,S&P 500,-0.3,0.02,0.08,0.47,0.14,1.18,67
CRWD,S&P 500,-0.41,0.29,1.39,1.51,1.61,1.44,67
CSCO,S&P 500,-0.46,0.36,1.08,1.03,1.2,1.09,67
CSGP,S&P 500,-0.28,-0.1,-0.33,0.29,0.36,0.65,67
CSX,S&P 500,-0.4,0.11,0.2,0.43,0.45,1.2,67
CTAS,S&P 500,-0.33,-0.06,-0.11,0.2,0.72,0.93,67
CTSH,S&P 500,-0.32,-0.08,-0.3,0.27,0.48,1.22,67
CVS,S&P 500,-0.1,0.03,0.06,0.15,0.16,0.6,67
CVX,S&P 500,-0.25,-0.49,-0.99,-0.49,0.15,0.79,67
DASH,S&P 500,-0.44,0.31,1.07,1.41,1.87,2.38,43
DB1.DE,DAX,,0.1,0.12,0.14,-0.0,0.41,70
DBK.DE,DAX,,0.77,1.51,1.47,1.19,1.52,70
DDOG,S&P 500,-0.29,0.14,0.77,1.22,1.16,1.64,67
DE,S&P 500,-0.34,0.2,0.52,0.44,1.02,0.95,67
DELL,S&P 500,-0.42,0.38,2.49,2.24,2.08,1.32,67
DHL.DE,DAX,,0.62,1.03,0.87,0.72,1.05,70
DHR,S&P 500,-0.41,0.05,0.14,0.44,0.67,0.8,67
DIS,S&P 500,-0.47,0.29,0.6,0.66,0.85,1.46,67
DTE.DE,DAX,,0.31,0.57,0.43,0.5,0.69,70
DTG.DE,DAX,,0.64,1.09,1.02,1.23,1.66,40
DUK,S&P 500,-0.01,-0.19,-0.26,-0.27,-0.27,0.5,67
DXCM,S&P 500,-0.36,0.15,0.47,0.69,0.71,0.91,67
EMR,S&P 500,-0.61,0.63,1.59,1.56,1.67,1.31,67
ENB,S&P 500,-0.17,-0.11,-0.16,-0.11,0.14,0.93,67
ENR.DE,DAX,,0.63,1.97,1.92,1.82,1.03,44
