datum,^GSPC,^NDX,^DJI,^GDAXI
2019-01-02,2510.03,6360.87,23346.24,10580.19
2019-01-03,2447.89,6147.13,22686.22,10416.66
2019-01-04,2531.94,6422.67,23433.16,10767.69
2019-01-07,2549.69,6488.25,23531.35,10747.81
2019-01-08,2574.41,6551.85,23787.45,10803.98
2019-01-09,2584.96,6600.69,23879.12,10893.32
2019-01-10,2596.64,6620.94,24001.92,10921.59
2019-01-11,2596.26,6601.40,23995.95,10887.46
2019-01-14,2582.61,6541.04,23909.84,10855.91
2019-01-15,2610.30,6669.64,24065.59,10891.79
2019-01-16,2616.10,6668.56,24207.16,10931.24
2019-01-17,2635.96,6718.45,24370.10,10918.62
2019-01-18,2670.71,6784.61,24706.35,11205.54
2019-01-21,,,,11136.20
2019-01-22,2632.90,6646.81,24404.48,11090.11
2019-01-23,2638.70,6658.76,24575.62,11071.54
2019-01-24,2642.33,6702.55,24553.24,11130.18
2019-01-25,2664.76,6787.37,24737.20,11281.79
2019-01-28,2643.85,6697.09,24528.22,11210.31
2019-01-29,2640.00,6632.79,24579.96,11218.83
2019-01-30,2681.05,6807.91,25014.86,11181.66
2019-01-31,2704.10,6906.84,24999.67,11173.10
2019-02-01,2706.53,6875.52,25063.89,11180.66
2019-02-04,2724.87,6959.96,25239.37,11176.58
2019-02-05,2737.70,7023.52,25411.52,11367.98
2019-02-06,2731.61,6997.62,25390.30,11324.72
2019-02-07,2706.05,6904.98,25169.53,11022.02
2019-02-08,2707.88,6913.13,25106.33,10906.78
2019-02-11,2709.80,6909.18,25053.11,11014.59
2019-02-12,2744.73,7014.67,25425.76,11126.08
2019-02-13,2753.03,7015.88,25543.27,11167.22
2019-02-14,2745.73,7022.42,25439.39,11089.79
2019-02-15,2775.60,7055.18,25883.25,11299.80
2019-02-18,,,,11299.20
2019-02-19,2779.76,7066.61,25891.32,11309.21
2019-02-20,2784.70,7062.34,25954.44,11401.97
2019-02-21,2774.88,7035.16,25850.63,11423.28
2019-02-22,2792.67,7090.63,26031.81,11457.70
2019-02-25,2796.11,7115.43,26091.95,11505.39
2019-02-26,2793.90,7123.22,26057.98,11540.79
2019-02-27,2792.38,7117.00,25985.16,11487.33
2019-02-28,2784.49,7097.53,25916.00,11515.64
2019-03-01,2803.69,7151.57,26026.32,11601.68
2019-03-04,2792.81,7150.83,25819.65,11592.66
2019-03-05,2789.65,7156.79,25806.63,11620.74
2019-03-06,2771.45,7112.47,25673.46,11587.63
2019-03-07,2748.93,7026.88,25473.23,11517.80
2019-03-08,2743.07,7015.69,25450.24,11457.84
2019-03-11,2783.30,7164.02,25650.88,11543.48
2019-03-12,2791.52,7201.28,25554.66,11524.17
2019-03-13,2810.92,7256.98,25702.89,11572.41
2019-03-14,2808.48,7243.01,25709.94,11587.47
2019-03-15,2822.48,7306.99,25848.87,11685.69
2019-03-18,2832.94,7326.28,25914.10,11657.06
2019-03-19,2832.57,7349.28,25887.38,11788.41
2019-03-20,2824.23,7380.75,25745.67,11603.89
2019-03-21,2854.88,7493.27,25962.51,11549.96
2019-03-22,2800.71,7326.06,25502.32,11364.17
2019-03-25,2798.36,7316.96,25516.83,11346.65
2019-03-26,2818.46,7351.15,25657.73,11419.48
2019-03-27,2805.37,7308.19,25625.59,11419.04
2019-03-28,2815.44,7320.47,25717.46,11428.16
2019-03-29,2834.40,7378.77,25928.68,11526.04
2019-04-01,2867.19,7478.42,26258.42,11681.99
2019-04-02,2867.24,7499.64,26179.13,11754.79
2019-04-03,2873.40,7544.97,26218.13,11954.40
2019-04-04,2879.39,7540.57,26384.63,11988.01
2019-04-05,2892.74,7578.84,26424.99,12009.75
2019-04-08,2895.77,7599.74,26341.02,11963.40
2019-04-09,2878.20,7568.49,26150.58,11850.57
2019-04-10,2888.21,7611.49,26157.16,11905.91
2019-04-11,2888.32,7594.89,26143.05,11935.20
2019-04-12,2907.41,7628.15,26412.30,11999.93
2019-04-15,2905.58,7629.12,26384.77,12020.28
2019-04-16,2907.06,7654.73,26452.66,12101.32
2019-04-17,2900.45,7680.72,26449.54,12153.07
2019-04-18,2905.03,7689.72,26559.54,12222.39
2019-04-22,2907.97,7713.49,26511.05,
2019-04-23,2933.68,7810.71,26656.39,12235.51
2019-04-24,2927.25,7784.41,26597.05,12313.16
2019-04-25,2926.17,7816.92,26462.08,12282.60
2019-04-26,2939.88,7826.68,26543.33,12315.18
2019-04-29,2943.03,7839.04,26554.39,12328.02
2019-04-30,2945.83,7781.46,26592.91,12344.08
2019-05-01,2923.73,7751.85,26430.14,
2019-05-02,2917.52,7724.06,26307.79,12345.42
2019-05-03,2945.64,7845.73,26504.95,12412.75
2019-05-06,2932.47,7794.09,26438.48,12286.88
2019-05-07,2884.05,7640.15,25965.09,12092.74
2019-05-08,2879.42,7617.55,25967.33,12179.93
2019-05-09,2870.72,7582.75,25828.36,11973.92
2019-05-10,2881.40,7586.53,25942.37,12059.83
2019-05-13,2811.87,7324.13,25324.99,11876.65
2019-05-14,2834.41,7401.88,25532.05,11991.62
2019-05-15,2850.96,7503.25,25648.02,12099.57
2019-05-16,2876.32,7580.14,25862.68,12310.37
2019-05-17,2859.53,7503.68,25764.00,12238.94
2019-05-20,2840.23,7376.70,25679.90,12041.29
2019-05-21,2864.36,7451.02,25877.33,12143.47
2019-05-22,2856.27,7420.66,25776.61,12168.74
2019-05-23,2822.24,7307.93,25490.47,11952.41
2019-05-24,2826.06,7300.96,25585.69,12011.04
2019-05-27,,,,12071.18
2019-05-28,2802.39,7278.38,25347.77,12027.05
2019-05-29,2783.02,7216.86,25126.41,11837.81
2019-05-30,2788.86,7245.40,25169.88,11902.08
