ticker,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-16,2026-03-17,2026-03-18,2026-03-19,2026-03-20,2026-03-23,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-25,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-19,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-03,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-17,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-17,2026-08-18,2026-08-19,2026-08-20,2026-08-21,2026-08-24,2026-08-25,2026-08-26,2026-08-27
AAPL,266.18,272.14,274.23,272.95,264.18,264.72,263.75,262.52,260.29,257.46,259.88,260.83,260.81,255.76,250.12,252.82,254.23,249.94,248.96,247.99,251.49,251.64,252.62,252.89,248.8,246.63,253.79,255.63,255.92,258.86,253.5,258.9,260.49,260.48,259.2,258.83,266.43,263.4,270.23,273.05,266.17,273.17,273.43,271.06,267.61,270.71,270.17,271.35,280.14,276.83,284.18,287.51,287.44,293.32,292.68,294.8,298.87,298.21,300.23,297.84,298.97,302.25,304.99,308.82,,308.33,310.85,312.51,312.06,306.31,315.2,310.26,311.23,307.34,301.54,290.55,291.58,295.63,291.13,296.42,299.24,295.95,298.01,,297.01,294.3,293.08,275.15,283.78,281.74,289.36,294.38,308.63,,312.66,310.66,313.39,316.22,315.32,317.31,314.86,327.5,333.26,333.74,326.59,327.74,325.89,321.66,333.02,336.91,340.08,338.19,333.43,308.91,303.42,309.38,311.0,312.41,313.33,308.26,304.91,302.25,305.26,305.93,305.59,310.03,316.83,311.3,309.35,310.34,309.9,313.45,314.58
ABNB,122.96,125.66,132.02,136.97,135.11,133.26,133.04,135.54,135.85,133.23,134.03,132.44,133.39,127.7,126.3,128.32,131.95,131.13,130.79,128.52,132.59,130.0,131.81,131.06,122.87,123.1,126.28,125.19,124.95,126.81,124.97,131.4,129.16,128.96,130.32,133.85,137.51,137.81,141.55,143.59,142.65,144.18,141.87,142.82,141.06,139.04,140.28,140.36,141.66,138.86,139.73,139.88,140.46,141.49,137.05,135.48,132.97,133.67,132.85,134.3,131.16,135.55,134.25,132.35,,132.68,132.1,134.5,133.31,137.87,134.35,133.59,133.72,133.54,134.43,131.35,129.1,130.87,132.28,138.96,141.2,140.54,142.41,,139.19,138.85,144.4,141.88,145.56,147.17,143.1,147.31,148.93,,147.65,148.8,142.95,146.89,148.62,146.33,146.54,148.38,147.8,145.98,144.94,144.1,140.05,137.57,141.1,146.86,153.11,153.01,152.08,151.52,150.64,149.92,152.49,151.64,178.07,184.7,184.98,180.095,185.13,184.06,179.29,183.25,186.39,185.0,187.3,190.21,190.5,188.07,184.4
ADBE,246.68,255.17,257.81,259.04,262.41,260.88,270.99,273.12,281.74,283.62,282.44,275.13,273.71,269.78,249.32,251.86,254.2,246.0,245.99,248.15,247.64,238.87,237.25,240.88,234.84,241.13,243.08,241.37,242.92,244.36,240.14,239.31,229.94,225.35,240.11,235.72,244.66,248.16,244.45,248.63,247.18,255.94,238.98,245.44,239.31,243.2,243.57,246.1,250.71,253.96,255.62,250.17,256.51,253.04,246.15,240.83,236.07,237.01,247.6,255.64,254.99,253.37,244.1,244.76,,240.49,238.24,241.44,259.21,274.03,262.11,256.24,258.42,251.44,244.99,237.88,233.38,218.8,204.02,206.36,207.32,196.28,195.16,,194.9,197.43,196.57,193.41,202.73,206.43,205.02,210.98,219.72,,218.07,221.54,220.94,222.65,223.64,230.61,220.78,224.56,235.31,237.25,234.74,227.16,218.36,212.17,225.11,237.75,249.18,263.43,247.9,250.41,251.34,257.49,259.32,260.24,265.21,272.96,263.71,258.75,270.49,264.02,254.04,263.14,272.47,272.22,275.3,276.27,273.92,273.47,289.15
ADI,355.15,356.09,360.8,354.35,355.79,352.41,338.99,341.51,329.72,315.81,319.71,318.81,319.22,307.27,306.07,310.92,313.66,308.59,310.44,309.43,312.19,321.83,322.03,313.42,307.44,303.1,318.14,320.58,318.34,327.36,327.41,346.21,351.36,350.14,350.01,348.6,347.94,353.8,371.45,381.05,375.27,381.42,403.88,399.57,392.59,383.26,389.31,402.26,397.69,397.02,404.77,415.63,408.52,416.52,422.73,419.65,432.39,426.79,417.49,418.58,414.31,398.05,384.21,397.07,,419.94,416.88,419.01,413.85,402.69,423.2,437.67,428.76,401.39,403.89,404.62,392.67,412.13,417.79,427.58,416.0,414.45,434.46,,445.48,407.26,413.16,417.93,386.91,391.78,397.17,388.98,377.16,,388.83,379.03,385.4,393.64,395.65,386.01,392.75,390.96,380.53,375.36,372.46,382.81,386.73,380.2,371.86,371.89,365.83,353.37,366.67,367.41,361.88,380.29,377.69,377.31,389.93,383.93,385.3,384.43,381.17,389.39,390.28,376.63,373.26,370.24,373.09,371.17,373.66,371.8,374.52
ADP,205.73,205.68,214.25,218.36,214.36,214.97,216.27,217.16,222.7,226.24,223.04,217.37,213.0,207.45,208.52,209.11,209.73,208.28,210.66,208.69,209.71,204.89,202.11,204.51,201.25,205.47,203.18,201.28,204.01,204.34,203.61,200.78,196.02,188.79,195.38,195.08,196.92,200.39,200.47,202.39,202.87,201.69,198.53,196.53,197.23,199.17,215.06,211.94,214.21,211.32,210.6,207.2,214.09,213.0,211.67,213.81,208.63,208.37,214.48,222.94,220.44,220.69,220.08,225.31,,218.35,217.65,219.86,221.84,233.74,231.18,227.75,231.31,231.95,229.08,231.17,231.1,225.77,226.21,223.22,222.0,218.76,218.41,,214.6,220.5,219.86,216.31,223.55,224.97,223.95,235.73,242.27,,239.49,245.6,241.37,241.28,241.92,251.05,246.44,247.47,256.56,255.27,255.24,246.22,243.12,242.88,250.09,254.98,264.17,273.37,263.87,266.46,269.78,270.62,270.09,273.51,271.32,273.68,271.09,269.33,276.23,272.96,266.06,269.31,277.22,279.21,280.81,283.01,282.78,281.39,284.68
ADS.DE,158.6,160.2,158.5,162.5,158.2,151.35,147.1,141.8,145.1,142.7,139.7,141.85,140.05,141.2,138.9,141.05,140.6,138.05,133.25,133.5,133.25,132.15,132.65,134.1,132.05,133.65,136.65,136.9,134.9,,130.85,137.55,137.0,137.8,136.0,137.9,140.0,141.85,146.4,144.85,145.05,141.55,138.1,136.25,137.8,137.8,149.3,147.4,,141.25,142.65,148.25,152.0,146.85,141.7,142.0,144.0,146.8,145.7,147.3,146.75,148.2,150.0,154.5,157.85,157.2,165.65,167.15,166.6,165.0,166.85,161.6,160.55,161.45,164.55,167.35,172.1,173.3,176.35,176.35,174.2,173.1,177.95,174.9,174.5,171.1,176.0,177.9,181.7,180.9,179.4,181.0,183.7,185.3,185.4,187.9,179.15,181.55,181.85,183.6,180.6,182.9,182.95,181.1,181.5,179.4,179.25,176.5,173.6,179.65,181.1,182.25,161.25,159.4,164.8,160.65,163.0,164.8,164.05,167.35,162.2,158.5,159.25,157.55,152.6,154.7,155.9,151.0,154.45,155.25,152.6,150.7,
ADSK,218.64,220.91,224.81,233.45,245.87,246.94,253.4,257.89,264.12,260.99,260.75,253.85,251.83,249.89,251.17,249.78,252.92,248.48,247.65,247.99,247.44,239.39,235.42,239.83,229.84,235.68,239.4,237.87,238.08,237.72,234.96,240.65,225.13,218.45,227.14,228.59,239.32,243.16,242.02,245.31,245.48,247.57,231.98,237.44,235.03,234.85,235.87,237.0,244.35,247.54,249.43,243.08,251.04,244.5,236.07,234.87,231.03,233.86,236.62,243.49,244.16,243.63,240.19,240.99,,238.23,237.0,240.95,231.31,248.16,236.66,229.6,233.64,229.96,225.04,224.08,221.28,205.57,198.43,198.6,201.38,193.07,193.82,,187.72,188.78,192.61,189.73,196.26,195.24,194.42,199.76,207.48,,207.54,212.38,206.04,208.58,208.45,212.22,205.92,208.98,217.06,218.35,217.8,211.15,203.5,205.26,209.75,225.91,237.38,245.25,234.97,234.2,234.71,237.21,240.03,242.47,249.08,256.07,251.59,249.51,257.96,251.66,241.64,246.79,251.29,251.02,253.83,254.42,251.21,254.77,270.58
AEP,132.03,132.39,132.46,132.1,133.82,133.29,131.92,133.52,132.04,131.87,131.86,132.31,131.26,132.22,133.61,134.15,133.62,130.97,128.72,125.66,127.92,128.8,128.3,128.85,130.1,131.12,131.08,131.67,132.68,132.36,132.92,134.71,137.15,136.3,134.46,135.46,134.39,134.56,133.66,133.28,131.89,131.62,135.08,134.73,135.07,135.59,134.44,137.11,136.91,134.66,137.04,132.56,131.76,130.16,130.7,131.94,127.95,128.6,125.15,127.68,128.92,128.87,129.61,131.59,,130.9,129.57,127.76,126.67,123.79,127.11,126.31,127.79,129.14,126.77,127.76,128.53,128.48,129.23,129.31,129.75,128.27,127.69,,130.3,133.74,134.96,137.0,138.69,137.97,136.81,135.05,138.51,,135.98,137.53,135.9,133.85,135.43,135.63,134.94,132.5,133.13,132.14,131.05,130.48,133.07,134.92,135.54,133.59,133.02,129.4,127.78,127.85,128.32,128.35,126.47,125.26,125.73,122.84,123.58,124.65,125.38,125.6,126.53,126.35,126.27,125.7,120.94,121.98,122.77,123.36,122.71
AIR.DE,183.2,182.92,184.52,186.74,184.28,180.32,175.32,177.24,175.98,175.46,175.34,177.86,176.8,171.92,168.26,170.0,170.34,170.2,164.02,160.92,166.42,164.56,168.48,163.34,160.52,159.2,160.78,167.9,165.08,,162.58,175.42,170.86,169.42,170.38,172.84,171.6,171.68,179.44,176.32,170.44,165.78,168.12,165.96,165.56,166.04,174.56,174.84,,175.96,177.8,188.54,183.54,179.78,175.7,172.72,173.2,172.68,167.64,170.46,168.96,173.44,166.0,169.66,174.4,172.32,173.8,177.76,179.62,173.22,172.6,169.32,177.02,179.0,176.92,175.68,174.74,175.32,179.26,183.76,185.32,187.02,191.78,189.48,189.64,193.32,195.04,195.16,191.92,191.62,194.44,198.26,204.0,206.15,209.45,203.9,197.28,196.48,197.12,195.18,195.86,195.38,195.64,194.28,191.7,194.54,208.3,204.3,205.8,208.95,212.05,209.8,203.95,202.25,208.0,214.2,215.05,212.5,213.7,214.55,212.4,213.55,213.0,215.4,214.3,209.8,208.0,204.9,203.65,202.85,204.6,206.1,
ALV.DE,378.8,378.5,381.5,384.7,382.2,370.4,355.4,359.0,353.2,347.6,344.2,354.4,351.9,350.5,354.1,359.5,362.1,358.6,353.2,347.6,349.7,349.5,353.8,350.9,350.9,357.3,359.3,367.7,367.9,,367.2,378.1,378.3,377.3,378.9,384.0,386.1,385.9,390.0,389.3,394.8,389.8,390.1,388.0,388.2,391.9,384.9,389.0,,377.3,382.9,392.5,388.7,369.1,371.7,368.2,372.3,380.3,374.5,381.4,382.6,385.7,385.9,385.6,391.0,388.9,389.4,380.9,381.6,374.9,376.7,368.6,371.3,372.8,374.1,377.9,381.5,383.3,386.4,394.7,399.0,400.2,400.0,400.4,406.6,405.2,404.5,407.1,407.9,408.8,414.1,414.1,418.4,419.8,420.2,422.8,418.5,422.7,421.6,421.0,421.0,416.4,419.6,422.9,422.8,422.8,426.1,424.4,427.1,430.4,432.4,428.2,431.5,432.5,432.9,434.7,436.6,440.7,433.5,437.7,435.7,438.9,437.8,442.7,438.6,442.0,438.0,438.3,440.8,445.4,450.0,451.7,
