ticker,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-16,2026-03-17,2026-03-18,2026-03-19,2026-03-20,2026-03-23,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-17,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-17,2026-08-18,2026-08-19,2026-08-20,2026-08-21,2026-08-24,2026-08-25,2026-08-26,2026-08-27,2026-08-28,2026-08-31,2026-09-01,2026-09-02,2026-09-03,2026-09-04
AAPL,263.48,264.65,260.79,258.63,255.69,257.65,261.09,258.66,255.48,252.11,252.96,252.63,249.4,247.98,253.97,250.35,254.1,252.12,253.9,250.07,247.91,254.08,254.2,256.51,256.16,258.45,259.0,259.98,259.73,259.25,258.16,266.8,266.96,270.33,271.5,267.82,275.05,272.76,266.09,272.34,267.55,270.5,278.86,279.66,276.93,281.92,289.27,290.01,291.98,292.56,293.5,299.82,297.9,300.24,296.97,298.18,301.06,306.12,309.56,308.33,310.68,311.78,309.63,307.46,314.18,313.23,312.86,308.74,300.28,290.74,293.72,296.03,294.12,295.25,300.85,298.11,297.31,297.54,295.36,287.4,275.0,286.73,281.17,293.44,294.12,307.36,315.29,311.91,310.51,314.72,317.02,313.76,317.62,328.01,331.98,333.51,323.13,327.87,321.73,321.79,334.54,340.03,339.73,333.1,304.81,309.58,302.73,309.36,314.34,311.45,306.83,307.75,305.1,304.21,306.0,306.21,307.58,310.14,317.46,312.05,311.47,310.79,310.3,310.55,316.85,319.6,316.98,326.87,324.87,328.31
ABBV,233.36,233.56,233.42,230.36,229.97,227.66,226.05,225.12,226.89,221.09,222.04,218.5,208.37,206.27,207.36,203.04,206.86,207.19,211.42,212.26,215.06,218.37,213.99,207.04,206.23,206.26,209.48,213.55,206.43,204.8,208.99,207.78,209.66,207.94,204.01,205.17,201.05,198.93,198.0,198.67,192.0,209.0,211.0,205.71,208.97,206.11,204.92,201.92,202.01,204.59,206.86,209.5,213.1,210.37,209.9,213.36,210.95,217.0,215.92,213.12,215.9,219.02,215.26,211.01,214.8,222.5,227.37,226.75,224.8,226.93,226.01,227.5,226.0,223.31,222.4,221.37,221.94,232.97,236.35,233.66,245.26,253.05,255.0,250.75,252.3,259.92,257.21,253.25,251.2,251.01,248.37,245.99,243.32,244.75,257.0,253.1,253.7,257.81,253.98,258.54,259.0,262.83,264.21,258.38,252.54,251.45,246.74,247.0,249.04,243.62,245.65,248.14,245.98,252.94,250.6,249.49,253.93,261.51,265.69,260.7,263.99,264.5,264.6,260.81,258.67,254.17,260.99,262.7,264.0,257.96
ABNB,131.88,133.24,135.73,133.89,131.43,132.805,132.87,132.45,127.23,127.28,129.6,131.2,129.95,130.03,130.29,132.2,130.89,131.89,129.22,123.9,125.07,126.39,122.8,124.3,126.4,130.99,130.45,128.87,127.2,130.5,134.51,138.87,139.905,141.0,143.88,146.475,143.99,140.17,140.97,140.93,136.25,142.0,141.32,142.71,139.0,141.605,140.5,138.125,141.745,137.58,134.69,133.0,132.905,133.5,133.07,131.4,134.665,134.755,132.37,132.54,131.36,134.5,133.31,136.24,133.22,136.01,134.02,133.69,134.58,130.22,128.37,132.33,134.42,139.64,140.69,141.39,140.98,139.31,139.06,144.5,142.35,146.15,147.29,145.0,146.5,149.12,149.45,147.15,141.26,147.02,148.89,145.17,147.18,149.705,146.79,146.8,144.78,144.1,137.58,138.24,143.5,148.83,152.01,151.5,150.84,153.34,149.75,153.913,152.14,164.7,178.69,179.485,181.398,180.9,185.0,184.06,180.49,185.0,183.45,187.14,189.0,190.13,190.3,187.86,184.67,188.22,182.53,183.28,184.255,183.15
ABT,113.0,113.66,111.95,110.72,109.42,112.28,110.0,109.78,109.39,108.81,110.1,109.5,108.73,107.04,107.07,104.09,105.45,104.39,104.9,104.76,102.54,102.84,102.02,102.51,101.83,103.13,103.0,102.71,100.13,100.4,100.77,97.13,95.62,96.5,95.6,92.62,91.61,92.15,91.62,93.84,93.65,91.48,91.0,89.18,87.31,87.55,86.32,87.16,84.44,83.42,83.4,84.18,85.89,84.86,88.36,88.2,88.6,87.92,86.83,86.65,85.64,86.65,85.78,87.25,87.2,89.32,91.75,90.54,90.73,91.32,89.26,89.62,88.26,89.36,90.36,88.64,88.15,88.95,91.19,90.6,93.86,94.54,93.29,92.25,93.41,95.0,97.27,95.11,94.77,94.97,93.95,90.5,87.99,95.29,101.0,100.7,100.52,100.45,101.23,101.5,104.09,106.09,106.97,106.01,104.46,107.85,105.77,106.71,107.19,107.03,107.41,108.62,108.05,112.47,111.49,110.04,112.45,113.23,114.0,114.02,116.28,115.83,115.4,112.75,111.6,111.54,112.25,109.32,110.91,108.11
ACN,203.0,211.8,209.8,215.21,212.84,208.61,203.45,201.0,197.34,197.49,200.25,198.75,187.0,203.5,203.63,197.57,195.49,191.47,195.0,195.0,200.0,197.14,197.62,200.96,198.98,200.94,190.75,185.83,180.98,192.72,193.01,196.24,195.86,197.23,195.15,193.13,181.0,178.75,178.0,178.6,176.57,178.32,181.3,179.98,180.43,179.5,176.08,178.03,180.49,174.0,167.52,162.0,167.47,167.75,180.0,175.0,176.82,179.01,178.0,177.0,178.14,178.63,193.44,190.69,183.16,183.68,180.91,176.95,173.46,170.1,167.1,168.44,167.6,165.63,164.9,126.5,125.0,124.79,126.49,128.35,126.25,130.58,123.26,126.2,133.14,135.96,140.4,139.75,130.94,141.37,139.1,130.48,137.01,138.93,145.0,142.84,141.33,140.82,139.0,142.5,150.2,156.95,165.0,166.73,160.82,170.37,160.64,172.25,160.21,171.13,174.46,176.83,176.03,181.68,180.04,173.0,172.86,172.35,182.21,180.98,184.64,183.78,182.35,184.1,189.34,188.32,187.32,186.31,190.0,192.0
ADBE,260.05,271.51,275.4,280.28,281.32,281.82,277.93,273.35,249.0,248.25,252.99,252.46,246.96,242.8,248.95,245.91,241.2,234.92,239.79,236.78,241.67,241.96,242.46,242.84,244.17,244.3,235.6,229.9,227.14,241.99,241.17,253.05,254.08,249.49,247.0,254.8,244.88,239.77,240.77,242.13,240.97,240.1,252.0,249.99,254.0,252.02,254.77,252.9,250.53,247.0,238.54,236.24,241.76,247.31,263.33,250.28,246.45,245.89,242.57,237.76,239.57,245.23,270.0,267.98,259.39,263.02,259.28,249.06,242.98,233.02,229.92,202.4,206.88,205.38,204.02,193.6,193.39,197.96,195.89,193.0,195.48,206.67,204.1,209.43,215.55,216.1,221.16,221.39,214.12,226.5,226.75,221.16,223.16,228.71,235.26,235.67,222.85,229.66,222.18,216.5,230.39,242.85,249.99,251.5,244.73,258.25,248.67,260.07,252.23,262.82,263.06,270.48,258.45,261.61,273.22,259.9,259.83,262.19,272.73,272.37,275.0,270.76,265.19,279.16,288.22,287.65,288.26,283.5,285.48,274.47
ADI,339.15,344.04,336.75,319.48,310.24,318.72,319.29,313.9,309.88,311.67,312.2,313.33,303.37,311.15,315.48,311.25,325.0,319.1,310.87,314.03,309.37,318.2,310.27,320.0,323.79,345.81,346.0,353.0,348.69,352.43,347.0,346.97,359.67,373.02,383.0,380.81,397.9,404.07,398.29,389.8,392.0,393.39,397.06,402.26,396.75,404.71,413.91,418.0,412.21,417.85,427.84,430.97,415.18,426.9,409.16,390.0,396.64,389.14,406.25,433.5,417.14,423.45,404.25,409.5,424.9,427.78,419.49,414.95,411.95,399.56,401.94,411.95,429.17,426.59,421.64,426.23,437.75,426.86,407.22,424.25,405.43,388.16,392.92,390.89,390.81,387.91,376.33,374.25,395.6,387.5,389.83,398.28,397.35,380.01,369.5,382.1,387.91,376.83,376.15,374.64,372.78,366.44,361.71,364.85,374.16,363.0,372.39,379.49,375.25,386.73,392.84,389.98,396.22,387.44,381.98,391.54,381.36,378.55,376.92,374.72,372.72,376.24,374.87,374.5,374.14,364.88,356.33,355.64,350.42,359.84
ADP,214.62,216.84,217.49,220.85,224.57,221.96,217.88,212.7,205.76,208.45,210.19,207.36,210.74,211.27,209.58,209.33,206.26,202.03,203.48,203.19,206.91,203.35,201.25,203.49,203.89,204.51,199.78,195.99,188.26,195.69,196.06,197.85,201.65,200.47,202.24,203.18,200.11,196.96,195.85,199.69,207.78,212.65,215.02,213.12,210.03,208.41,206.05,212.69,211.26,213.78,211.47,208.63,210.1,215.3,222.94,218.22,219.03,220.32,221.84,218.63,215.6,218.09,223.96,229.5,228.87,234.36,233.08,231.07,226.61,230.81,228.6,224.18,224.36,224.69,220.16,218.34,216.04,220.79,221.3,219.48,218.22,226.55,223.26,228.93,236.34,243.38,244.04,245.19,237.42,243.59,244.33,244.96,246.74,252.23,257.98,254.31,250.73,249.25,242.99,244.56,251.18,259.37,264.88,265.44,260.14,270.8,264.41,274.97,271.16,272.78,268.93,270.67,269.2,271.01,276.87,269.54,270.91,269.98,277.5,279.7,280.9,280.07,280.89,279.8,285.0,285.59,286.67,283.0,282.91,280.47
ADS.DE,,146.05,140.2,145.5,140.95,142.25,140.0,139.0,139.2,139.2,140.45,140.7,135.8,134.45,130.9,133.85,133.95,131.65,133.8,131.55,134.2,142.25,134.7,,136.0,138.65,137.05,137.95,136.25,136.55,137.35,140.55,142.0,143.3,145.2,144.45,140.9,136.0,136.6,138.05,148.4,147.75,,148.4,141.05,144.8,149.9,149.0,145.15,141.05,141.15,144.9,144.7,144.15,147.8,145.0,148.8,154.8,157.55,159.0,166.45,170.0,167.4,166.75,165.7,162.2,160.7,159.35,164.35,170.0,171.5,175.85,180.0,175.5,173.85,171.0,173.15,173.15,172.0,176.95,178.65,180.75,178.0,179.0,182.5,185.95,186.6,186.25,180.25,182.05,180.45,180.5,180.8,182.1,181.0,180.75,180.45,178.5,178.0,171.0,176.7,180.3,180.65,157.25,159.0,161.0,163.0,161.25,163.35,164.8,164.0,166.3,161.4,160.35,159.0,157.25,151.4,154.55,155.9,152.4,154.25,155.55,152.8,150.25,151.9,154.0,151.0,148.15,149.55,148.35
ADSK,246.1,253.3,258.55,261.54,260.77,260.58,255.45,250.71,249.52,252.09,250.59,250.28,248.98,245.95,248.29,245.28,241.24,234.66,237.63,232.26,234.92,238.86,239.72,236.84,236.33,241.15,237.51,221.54,218.01,227.89,234.79,244.51,249.4,241.48,245.23,247.29,240.36,232.58,235.91,237.97,233.84,233.9,241.88,244.19,247.2,245.38,246.56,247.65,241.83,238.03,229.4,229.88,234.88,236.1,249.03,239.75,241.99,240.51,238.08,235.0,236.32,225.56,237.01,241.62,235.01,236.48,235.08,228.01,223.47,220.5,219.26,206.6,199.92,197.82,196.58,194.55,190.0,193.27,188.98,189.07,191.65,202.46,193.25,200.0,200.97,204.66,215.99,211.1,200.47,212.0,210.32,201.96,207.91,212.22,217.05,215.07,214.51,211.95,205.55,208.75,213.51,231.49,242.17,238.09,230.44,239.6,231.19,238.43,237.36,245.0,246.52,251.51,245.71,250.0,260.0,248.2,245.31,243.89,252.47,251.02,253.58,251.42,245.27,261.47,261.16,257.71,253.48,246.7,246.01,232.08
