ticker,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-16,2026-03-17,2026-03-18,2026-03-19,2026-03-20,2026-03-23,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-17,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-17,2026-08-18,2026-08-19,2026-08-20,2026-08-21,2026-08-24,2026-08-25,2026-08-26,2026-08-27,2026-08-28,2026-08-31,2026-09-01,2026-09-02,2026-09-03,2026-09-04,2026-09-07
AAPL,260.13,261.42,257.25,254.37,253.68,256.95,259.55,254.18,249.52,249.88,252.18,249.0,247.3,246.0,250.28,249.55,251.6,250.77,248.07,245.51,247.1,253.33,250.65,256.46,245.7,256.53,256.07,259.02,256.66,257.19,257.81,261.27,266.72,270.29,265.4,266.87,271.65,269.65,265.07,268.66,267.04,268.14,278.37,274.86,276.5,281.07,285.78,290.0,290.23,292.56,293.5,295.38,296.52,294.91,296.35,298.08,300.4,305.84,307.67,308.3,309.57,309.53,305.02,306.69,308.85,309.65,307.15,301.17,287.78,287.38,289.59,289.62,291.7,293.97,294.36,295.62,296.76,294.18,292.94,273.75,274.21,279.85,280.7,289.2,293.68,307.0,310.15,307.05,308.16,312.17,315.78,311.91,317.32,326.79,329.0,323.68,322.22,323.34,319.35,321.62,334.02,335.6,337.35,329.59,300.0,302.56,301.32,305.67,309.23,310.74,304.61,302.79,300.57,302.05,304.3,302.94,305.74,309.6,310.65,307.01,309.97,308.21,308.8,309.4,315.45,312.8,314.73,323.53,324.11,317.86,
ABBV,230.24,232.08,228.0,226.8,223.23,226.16,225.3,223.57,219.44,220.32,219.76,207.6,204.3,203.06,203.22,201.8,205.86,205.76,209.12,210.78,214.85,213.75,207.71,205.3,201.66,204.56,208.74,207.75,203.01,204.06,205.55,206.52,207.82,202.84,200.92,199.81,200.41,197.14,196.23,196.44,190.75,208.17,205.57,204.87,205.83,203.56,202.03,200.02,202.01,203.51,204.3,208.35,209.02,207.68,208.73,211.5,209.5,215.7,211.91,211.36,215.9,214.9,211.51,208.99,213.73,219.84,226.0,221.17,221.72,224.12,224.04,224.32,220.0,219.15,218.83,215.37,221.94,231.3,232.85,233.66,244.66,249.2,250.1,247.56,250.51,253.6,254.27,250.7,247.99,245.05,244.61,243.19,243.07,243.5,254.29,252.68,252.6,252.25,253.1,256.77,256.78,261.45,262.76,253.51,247.0,244.44,242.39,243.76,241.2,241.95,244.03,247.18,245.52,249.35,247.68,248.31,252.41,259.55,260.48,260.1,262.07,263.03,260.31,257.25,255.08,252.33,257.79,257.7,257.14,255.58,
ABNB,129.46,133.155,134.52,130.975,128.365,130.075,131.52,126.115,125.62,126.91,129.55,130.99,128.76,127.7,129.98,128.42,129.89,130.38,122.46,122.835,123.165,122.87,121.51,124.28,123.41,130.49,126.8,124.835,125.36,130.47,134.1,136.91,139.2,140.338,142.18,142.75,139.81,138.66,140.0,138.24,135.95,138.64,140.82,138.5,138.226,138.95,138.64,137.25,136.905,134.3,131.95,132.61,131.225,132.35,130.01,128.2,130.15,131.73,132.265,131.93,129.696,132.77,132.075,131.84,131.91,133.19,132.635,133.3,130.615,128.39,127.23,128.825,134.304,138.71,139.5,140.14,137.91,138.56,138.75,141.45,141.75,145.708,142.37,143.92,146.5,147.23,148.075,141.24,141.25,147.02,143.79,144.17,147.09,147.12,145.11,144.33,143.01,139.69,135.72,138.16,143.0,148.09,151.5,149.58,149.61,150.02,148.65,150.86,148.75,163.45,177.43,178.45,179.26,179.6,183.66,178.84,180.08,183.58,183.252,184.31,188.53,189.03,187.9,184.05,184.67,181.84,180.75,180.16,183.68,181.16,
ABT,112.63,112.03,110.52,108.34,108.94,109.8,108.96,108.07,107.7,108.53,109.92,107.75,107.14,105.4,104.1,102.41,104.25,104.0,103.68,101.82,100.88,102.21,101.55,101.85,101.45,101.31,101.92,99.34,99.05,100.4,100.63,93.92,94.87,95.49,92.66,91.59,90.72,91.05,90.88,93.27,91.33,90.29,89.14,87.3,86.16,86.15,86.25,84.08,81.97,83.09,82.69,84.05,84.13,84.4,87.41,87.1,86.83,87.05,85.81,84.96,85.14,85.28,85.6,85.89,86.72,89.2,90.96,90.23,90.13,88.69,88.76,87.07,87.73,88.83,87.87,87.76,87.21,88.73,90.3,90.28,93.21,92.67,90.61,91.77,91.91,92.99,95.74,94.3,93.91,93.47,91.64,88.62,87.64,94.99,99.47,100.03,99.34,99.84,100.07,101.5,103.38,105.97,106.97,104.48,102.89,106.43,104.92,104.2,105.56,106.01,107.36,107.92,107.5,110.46,110.79,109.35,111.75,112.91,113.99,113.45,115.82,115.04,114.01,111.29,111.11,109.54,108.68,109.0,108.04,107.36,
ACN,203.0,208.61,209.3,212.0,205.83,199.74,197.66,195.48,195.07,195.64,198.07,194.26,187.0,198.49,198.72,190.65,188.67,190.96,190.27,194.21,195.93,192.0,195.29,195.34,196.51,193.53,182.38,177.5,180.37,189.51,191.51,191.29,195.81,193.98,193.78,188.19,174.87,173.84,176.63,176.99,175.57,173.65,177.01,177.76,173.56,173.52,175.63,172.52,172.22,169.76,155.82,160.5,164.93,165.87,176.17,170.28,173.13,177.17,173.84,176.04,175.33,175.44,188.99,183.41,176.37,177.59,176.33,174.37,170.33,167.85,163.58,164.65,165.05,165.03,155.91,125.6,118.15,124.42,125.8,125.68,125.71,124.44,121.78,126.05,132.94,133.5,140.39,137.16,129.5,134.85,136.1,129.96,135.93,135.5,139.72,140.0,140.31,138.9,135.96,140.71,149.58,156.95,163.86,159.96,159.2,165.44,160.4,167.44,157.76,170.57,172.55,175.55,173.82,177.0,173.91,169.75,170.43,172.35,181.17,180.02,183.43,182.33,180.79,183.51,188.67,186.76,186.99,185.44,189.09,186.02,
ADBE,260.05,270.34,275.4,276.05,277.9,268.37,269.25,269.2,247.16,244.55,252.14,245.18,244.27,241.0,246.22,237.38,233.79,234.28,233.16,236.73,239.51,235.0,237.72,240.23,238.72,237.99,227.7,224.13,226.5,233.0,239.2,245.78,243.5,245.34,245.1,251.9,233.52,238.42,239.11,241.16,238.67,236.28,244.1,247.34,248.49,248.28,252.88,246.1,244.69,240.4,232.84,231.74,240.26,245.24,251.81,246.21,242.11,242.71,238.57,237.28,236.66,244.66,262.3,260.05,252.34,258.33,249.05,244.25,233.33,231.74,218.09,196.9,205.72,203.84,195.02,190.12,191.2,195.35,195.1,191.8,195.29,204.34,201.31,207.06,213.74,212.9,220.29,216.93,213.09,222.82,225.0,218.0,222.91,222.04,232.36,227.5,222.3,218.0,210.88,216.15,229.79,241.69,248.54,242.42,241.23,251.17,245.46,255.56,250.84,261.29,262.14,262.68,255.1,255.85,261.67,251.2,258.19,261.67,269.66,269.92,273.25,269.28,265.04,278.37,286.52,286.26,285.48,279.43,283.84,263.93,
ADI,335.08,339.29,325.33,314.31,307.22,317.08,316.35,304.26,303.51,309.11,310.72,307.88,300.91,305.95,311.71,311.1,320.62,312.39,306.18,300.56,306.5,317.21,309.79,318.75,321.0,341.98,345.49,349.01,344.0,347.05,341.32,346.44,357.82,369.7,373.34,378.25,395.8,398.26,386.74,382.45,386.53,391.18,393.41,391.88,393.19,404.4,405.91,413.52,411.48,406.77,426.0,424.07,414.55,414.07,407.19,383.85,381.22,387.01,406.25,407.78,407.26,408.17,399.91,409.0,418.22,420.59,401.26,401.59,383.32,392.41,397.01,406.4,424.9,415.7,414.06,426.23,436.39,403.21,404.0,412.35,382.82,385.01,391.78,387.84,372.64,385.96,371.09,374.25,388.33,385.93,382.95,392.0,383.28,377.65,366.72,372.03,377.69,376.0,373.39,366.84,361.67,363.15,352.73,361.21,362.86,353.11,368.91,374.64,373.0,385.0,383.83,384.71,383.61,380.51,380.12,389.75,370.23,369.73,369.64,371.46,362.35,367.29,370.74,368.03,359.54,361.93,348.66,352.03,348.0,358.99,
ADP,213.5,214.62,217.25,219.29,220.38,212.5,211.42,207.28,205.53,207.59,208.88,207.36,209.0,208.56,208.01,204.03,198.59,201.92,199.19,202.5,202.35,197.08,199.16,202.02,202.83,199.38,194.54,188.16,188.26,194.14,194.53,197.85,198.33,200.46,201.82,200.62,195.11,194.9,195.7,197.6,205.06,210.3,209.12,210.63,206.74,205.7,206.05,208.62,209.98,211.13,204.56,207.07,210.1,215.13,220.33,215.34,216.62,220.18,218.28,216.72,215.6,218.01,223.95,225.21,225.0,230.07,231.18,228.77,225.38,228.42,225.59,221.84,222.33,220.22,216.79,215.3,213.8,217.89,218.41,216.04,217.65,223.03,222.1,228.28,236.0,237.42,244.04,240.76,235.19,240.21,243.78,243.29,245.47,251.93,251.45,251.01,246.02,241.65,240.4,243.57,251.18,258.18,261.5,256.9,258.99,268.29,263.36,266.73,269.2,270.14,268.01,269.49,265.9,268.73,271.43,265.82,269.14,269.91,276.93,277.0,280.9,279.31,280.87,279.17,285.0,284.93,282.93,278.08,281.4,276.45,
ADS.DE,,,139.75,141.85,136.2,137.5,139.0,137.8,137.45,136.2,138.9,136.95,131.4,131.8,129.95,131.5,132.3,131.2,131.85,130.5,133.6,135.75,132.55,,130.45,136.3,134.95,137.35,135.25,136.0,136.55,140.25,141.55,142.8,144.5,140.7,137.8,134.95,136.6,136.75,145.4,145.75,,141.15,140.6,143.1,149.25,146.85,140.75,139.9,139.75,143.35,142.8,143.0,146.1,144.2,147.8,151.5,155.1,159.0,166.15,166.6,163.2,165.4,161.6,160.05,160.7,158.45,164.1,167.5,171.45,175.45,175.35,173.2,172.8,169.5,170.75,171.1,170.75,176.75,176.45,179.1,176.75,175.5,181.8,185.05,185.95,178.75,178.75,179.95,180.3,179.5,179.0,179.3,180.3,180.4,178.8,176.45,175.15,166.65,175.8,179.05,179.25,147.05,157.55,161.0,159.75,160.2,163.3,162.95,163.7,161.0,158.05,157.05,156.9,151.85,150.7,153.95,148.5,151.5,154.25,151.9,150.7,149.9,151.5,151.4,147.6,148.1,146.85,147.2,147.35
ADSK,244.45,252.5,256.9,257.73,256.5,252.09,249.76,249.24,248.54,249.3,250.59,248.25,246.08,241.5,244.73,237.28,232.41,234.32,229.24,231.05,234.89,232.18,234.09,234.67,232.91,239.03,217.18,214.1,216.42,225.08,232.2,240.42,241.27,241.25,243.5,245.0,227.0,231.18,234.68,232.22,231.14,231.15,238.42,242.76,244.9,240.0,246.56,241.93,234.28,233.83,225.28,227.48,234.21,234.65,243.01,233.2,234.64,238.46,234.37,235.0,233.5,217.0,237.01,235.7,228.26,231.59,229.24,224.23,220.69,218.0,204.8,194.47,195.96,197.82,192.3,190.86,185.5,187.24,188.0,189.0,191.55,194.89,192.26,198.49,200.71,202.25,210.7,205.99,198.01,207.19,209.81,201.96,207.29,208.32,214.7,212.0,210.88,202.15,202.37,204.48,212.19,229.4,238.32,231.76,227.99,233.84,229.7,235.43,235.26,245.0,246.52,249.89,245.46,242.86,251.29,241.33,245.0,243.89,250.19,246.51,252.32,248.9,245.08,260.29,253.16,257.4,247.35,241.05,235.88,216.2,
