ticker,2026-03-06,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-16,2026-03-17,2026-03-18,2026-03-19,2026-03-20,2026-03-23,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-25,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-06-01,2026-06-02,2026-06-03,2026-06-04,2026-06-05,2026-06-08,2026-06-09,2026-06-10,2026-06-11,2026-06-12,2026-06-15,2026-06-16,2026-06-17,2026-06-18,2026-06-19,2026-06-22,2026-06-23,2026-06-24,2026-06-25,2026-06-26,2026-06-29,2026-06-30,2026-07-01,2026-07-02,2026-07-03,2026-07-06,2026-07-07,2026-07-08,2026-07-09,2026-07-10,2026-07-13,2026-07-14,2026-07-15,2026-07-16,2026-07-17,2026-07-20,2026-07-21,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-17,2026-08-18,2026-08-19,2026-08-20,2026-08-21,2026-08-24,2026-08-25,2026-08-26,2026-08-27,2026-08-28,2026-08-31,2026-09-01,2026-09-02,2026-09-03,2026-09-04,2026-09-08,2026-09-09,2026-09-10
AAPL,41120000,38218500,30590800,26218900,40794000,36930000,32074200,32361600,35757900,34864100,88331100,40546100,45152300,28476700,41796700,47900000,39446200,49598100,40059400,31289400,29329900,62148000,41032800,28121600,31291500,36234700,48370700,49913500,43323100,61436200,36590200,50209800,43249200,33399600,38157100,41466800,40018900,30047900,91848200,79915400,46668400,49311700,58336100,45224300,52692800,42247300,45748100,52684300,35324900,54862800,34483000,42243600,38229800,42965100,43670200,,48000500,50430900,48220400,70026800,48849900,44534700,50836700,44869100,65310500,77949100,70108800,52793300,42572500,38742100,45732600,39874400,42745100,85962200,,44879900,52010900,53081900,107013700,261775500,66427000,65100200,50164200,75352800,,53590000,42490000,41323500,48124500,34132300,43257800,36336800,60957600,62970600,63407100,53468000,41338900,38755900,40840800,47489400,49604300,51859000,56090800,74817800,132489100,75052000,68001000,49438800,46139900,34437200,44812500,37476700,41657800,40349300,28229400,38169300,53424500,50505600,40959200,46876800,34673600,25869800,34024500,32419200,38649400,41242700,53167400,33776400,37225800,39606900,35477100,65640000,69925100
ABBV,6139600,7915800,6466800,5299200,7607000,5676100,3991800,4405700,8597000,7006800,27982400,7419900,6990500,6000100,4576300,5654000,7491200,8311700,5702800,5151100,4929100,8801600,5477500,4477800,4633200,7532500,6199400,5952100,5075400,8986600,5774300,7772100,7646200,7461100,7605800,7467600,6313100,10406300,10319200,6343100,4579300,4490500,7290000,6681100,4915400,4931700,7044100,5705700,5006500,5385000,5069000,7220300,5129000,3813800,5406100,,4706700,4640100,5189300,7618500,4858400,5861800,5667500,6782000,6248900,4915600,4257500,4147300,4569000,4086500,5261900,5945500,5624200,9646100,,9912800,7365600,7311000,10278100,52635100,9760500,6999700,6988000,7113400,,8580200,8238300,7578700,5526000,5780700,4156400,5246800,6389000,6555500,6872400,4332400,4819300,4953200,4622700,4195000,5404400,7058400,5562300,6403400,7258200,7435600,8028800,5193700,4570200,4930700,4209500,4485200,3780500,4370400,4195000,4648600,5010200,5536000,5228900,5157200,3883600,3671000,3305100,4761900,3224400,4315000,3866100,4225200,2878400,4728800,5570300,3866400,4396100
ABNB,4600300,3920500,3631400,2171600,4474200,3000900,3049300,2812000,3071600,3541500,7047900,3568400,3167200,2732100,3353200,4207200,3022700,3644200,2925900,3094700,2527600,2735300,3796800,3653700,3572700,3256600,3113300,3562400,2692600,4056800,2768700,3310400,4081800,3189300,2705500,2251600,4225600,3486600,2857300,2527900,3160400,3118000,4379800,7248300,7842900,5172800,4419900,3440900,2656200,2800400,3739500,3795700,6548500,4173600,3097300,,3331100,3094400,3933400,4206300,4354300,3499400,3607600,3719700,4044900,3278000,3492400,3684200,3955200,2615700,4695200,3672500,3438000,7413200,,4255300,3428900,4050600,3032300,6089000,5071700,3232000,3301000,3496200,,2574600,2283500,2969100,3467900,2635800,4396400,3085100,3728500,3113300,5483500,3030800,2343600,2635600,3482600,2414600,2902200,6844100,3851700,3055600,2461500,3597500,3580600,4079600,6041100,15915000,9985900,8025700,5987400,5139900,3766200,3942400,4346600,4868000,5596800,4245300,5597400,4504500,3369500,4792500,4829400,7598300,4305900,3412100,4976200,3405400,7042700,4893900,3954400
ABT,11100400,13560800,8746100,8002200,10839800,8828900,7442200,9452200,8241400,10466000,81271300,8227800,11794300,6377000,6212300,10915000,10476700,12442100,7452500,5453400,7125800,13311000,9379300,6198700,11944800,11199500,11689900,12657200,27791200,17559900,9412700,17164300,11984000,13008000,12802000,15203900,11550800,9010500,19655500,12860900,14722500,17193400,12456300,13272900,10913500,16460500,16392500,11826700,11018400,13208600,12347000,11693500,7834400,8524200,9516400,,10249200,10813900,10151700,21143600,10561100,10283600,10448100,14153200,11933700,13308700,14109600,11853100,15088900,13758700,10950100,12740700,13053000,41964800,,11458200,12201500,13201600,16707400,16465100,10314400,10021100,13935800,10643900,,15257000,10262200,10102300,8357800,6913100,11756200,12473900,16415300,32755800,19913800,14390600,11656500,10257500,9959500,10366700,11619300,12665500,12157300,8149900,9610100,7409600,8157100,9313000,9801200,6606600,5603200,6744400,6613700,5523400,5575400,11462000,9781600,7403300,5784800,9931500,5916600,7503200,6957100,8351700,7545100,10691200,7229100,8458800,5297500,7029300,11397200,6470800,7844700
ACN,6495300,7849100,5163000,5132300,7049600,4223300,7832700,5729500,8070100,10613700,44335900,4827900,5113700,4371200,4916500,4890100,4636500,6907300,4810200,5518700,5501600,3803000,4952200,6064900,7261000,6681800,4629600,4433600,4849400,4501400,4626800,4203000,4081800,7387200,4568800,4411700,4426600,5171900,6033700,3708700,6087200,5134500,6813000,6330000,5696000,4624400,5451900,13901900,8723100,4996700,5367600,7191600,4239100,3514600,3450300,,3822100,5272300,4105400,10778700,7179500,5282800,4955500,4395400,3745700,3795700,4426900,3320600,5257500,4040100,6026500,4422600,7563200,41744300,,27630900,23534700,13775200,20977600,14148700,17088300,10984400,14977700,13837800,,6974800,8702700,6861700,7003100,7632600,5377400,6876400,10189100,9515800,10575100,8070300,4771000,4768300,10362500,6570600,7771400,10614800,10917200,8643800,9389200,6741900,5792900,5395900,5206000,3678000,3974700,3900000,5626900,9336300,6291000,5041100,5995600,5660500,4383300,4837600,7346300,4071800,4376500,4930200,4840700,4194000,3409500,2876300,5420300,5103400,6099500,3981100,3961100
ADBE,4802300,4728400,4591600,4862400,10895000,17406400,11679200,6456200,7305600,4459800,10467300,4080500,6268300,5441600,4715300,4429400,4410200,4575900,3746700,3588800,2757700,3331000,4040100,6802400,5889200,6115800,6307500,4749600,5229500,6194200,5250000,5779700,7111000,9617000,6492900,5067700,4641700,2664500,5129100,5068500,5536900,3952500,4452100,4479900,3667500,3225800,3234000,3870200,4991700,6421200,5591800,5854400,4789600,4131000,3779300,,3211800,3402000,3386500,10808900,8535300,5821800,4871300,5161900,4909200,4728000,6747400,5176900,17786900,25030700,9676900,7214600,10731500,15852500,,8282600,6910500,6947400,6957500,9172100,7527300,6269500,5863800,7903100,,4800200,8615000,4508400,4552900,3206800,4624000,5823400,4771400,5787300,7269900,5123700,5060600,4361300,4363200,4719900,5541200,8098700,9881800,6869000,5589500,4293800,4203000,4285500,4700600,4752600,4052600,4675200,4191700,5201600,2876300,3871100,4774100,5541800,2631400,4343100,3593200,3137600,3630300,6521600,3649300,5207600,4449300,3855000,3538800,6637100,5484900,4165500,10261000
ADI,4536700,5945400,4351500,2575600,4826800,2792700,3254900,2699700,3555200,3289100,7029300,3495300,3404200,2460900,3923800,3282100,3914600,4285900,3145000,2386700,2353700,2344400,4522200,2927400,2505100,2485100,2320400,2440900,2198800,5248200,4003700,3296900,2517700,4449600,4512300,2763800,3846500,3097800,3746100,1986900,1914100,3343100,3893600,3938200,3754400,3796800,4848600,3486300,2811400,3709600,4228500,6190400,10353000,5303500,6107800,,6628900,4095400,5055600,5507900,4335600,4954100,5700700,3376700,7242600,5140200,5415600,3868600,4846300,2997500,4530800,4350900,3603500,11869000,,4289100,7559600,4648300,6440800,12478800,5169300,6480700,5750900,6144100,,4447300,4813800,2609500,3106100,2325800,3483500,3139500,3099900,4096300,3674800,2942700,4224500,3176100,3904100,4080600,5193300,5046600,5473900,6365800,3515300,3743100,5082700,2853300,3581300,2837500,2800400,2360900,2764300,2864300,2115600,3122800,5779100,6308300,3498600,5456800,4755000,3739900,2178700,3894100,3350500,2754200,3571600,3338400,3778100,3559800,3138000,2358700,2971200
ADP,3798800,4331900,3204900,2604700,4174200,3135300,3394800,2702800,3243700,3286700,19083800,3822600,3099800,2854700,3123600,3569400,3647200,3444800,3077700,2868100,1675400,2259600,2835200,2996300,3202600,3142300,2409100,3781200,2725200,2894700,2062000,3041200,2038400,4208000,3414900,2638600,3644100,4441600,4253600,2621700,2986700,2113900,2237600,3462500,2804100,2260100,4018000,3251500,2818300,2921800,3256700,3575800,2846700,2248900,2282600,,2374400,2061600,1784700,3377700,3970100,3550500,2728900,2319000,2980400,1620100,2088900,2155100,2747600,2189800,2314700,2615400,2743800,6501700,,2998900,2550800,2695200,2286300,8663700,2023900,3583800,2988400,2492600,,1998200,1735700,1688700,2272500,1243000,2573400,2191100,1872800,2661700,2675800,2776100,2842500,2011300,2009400,1763700,1723800,3686100,4623600,2895200,2494600,3103700,2586300,1931800,2747900,2119300,1703300,2105700,2159900,1911800,1457400,2289400,3344200,2355000,1685000,2609500,2449100,2248300,1221900,1766400,1761300,1569200,1782000,1829200,2346500,2209200,1814100,1757300,1661100
ADS.DE,,891300,984891,619021,879119,704459,644458,843742,785210,1228813,2153204,991410,598367,663789,532712,428896,501577,664260,890315,0,,755852,997989,543768,660157,459207,637277,468228,449603,829473,435602,408292,535616,528187,537629,463801,428538,1526535,841505,,758398,619715,728372,1011877,560555,740552,700360,569482,392119,457343,717278,611299,468371,592165,738267,414561,390133,1196927,818569,1645971,596130,606438,553769,442622,459153,565860,630172,809716,650956,814476,648533,351974,478326,952981,1261231,564821,635447,596012,764670,612529,687102,734648,652108,913345,276571,531236,568179,887057,404829,483370,438711,607444,460978,597150,421978,424344,480304,604052,749120,1050280,583881,397125,653745,5867119,1975943,1393471,900931,870867,548905,485552,570382,780949,943919,618722,508653,747268,608217,319113,749671,497602,321758,686805,468019,471876,424484,502475,512467,580681,551989,514419,504603,562989,1238398
ADSK,2021000,1803400,1857600,1959000,1653500,1442800,1353400,1254700,1811000,2148400,4418400,2658100,2224400,1685100,1468200,2233100,1653500,1947000,1800300,1990700,1189800,1319000,1990500,3604900,2504900,2836300,1813700,1759600,1516700,2550900,1260400,1441100,1518100,2428600,1386100,1689400,1705600,1237600,1769600,2342500,1621500,2207000,2073300,2026600,1747800,1926700,1491200,1742200,1747800,1528500,1807400,1980000,1711200,1992700,2455200,,2097800,1643500,4143300,7642000,3590500,2354400,2413900,1923400,2684600,2090900,1867500,1741000,4272200,5631600,3306900,2928200,3141600,9213100,,4670200,3327000,2651800,2459500,7756100,2588400,2282700,2360300,2930800,,1670800,2380600,2050900,2025100,1232900,1330600,1594700,2020100,2513800,3303400,1909600,2093700,1793900,1838500,2888300,2599000,3885000,2431300,2687500,1949000,1920200,2114000,1485700,1359800,1820900,1679500,1938000,1415100,2261000,1395300,1542000,1645600,1558300,1482600,1795300,1408200,1790200,1737100,3963200,3437900,1823300,1814300,1529900,2377900,3956100,2975400,2321700,2246200
