ticker,tag,grund
ASML,2026-09-11,Ersatzkerze aus marktdaten.csv
ADS.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
AIR.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
ALV.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
BAS.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
BAYN.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
BEI.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
BMW.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
BNR.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
CBK.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
CON.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
DTG.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
DBK.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
DB1.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
DHL.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
DTE.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
EOAN.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
FRE.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
HNR1.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
HEI.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
HEN3.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
IFX.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
MBG.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
MRK.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
MTX.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
MUV2.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
P911.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
PAH3.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
QIA.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
RHM.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
RWE.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
SAP.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
SRT3.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
SIE.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
ENR.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
SHL.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
SY1.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
VOW3.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
VNA.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
ZAL.DE,2026-09-11,Ersatzkerze aus marktdaten.csv
