ticker,klasse_lauf_atr,faelle,lauf_atr_median,lauf_tage_median,anteil_niedrigster,anteil_hoechster,korrektur_atr_niedrigster,korrektur_atr_hoechster,korrektur_tage_median,ganz_zurueck_pct,anteil_p10,korrektur_atr_p10,anteil_p25,korrektur_atr_p25,anteil_p50,korrektur_atr_p50,anteil_p75,korrektur_atr_p75,anteil_p90,korrektur_atr_p90,anteil_p95,korrektur_atr_p95,anteil_p99,korrektur_atr_p99
AAPL,1.0,108,1.52,2.0,33.8,680.1,0.58,9.12,2.0,57.4,61.1,0.99,84.5,1.19,119.3,1.67,175.7,2.56,293.0,4.49,339.4,5.18,406.2,8.43
AAPL,2.0,55,2.41,3.0,19.1,341.9,0.5,6.59,2.0,36.4,34.6,0.9,50.8,1.29,78.7,2.09,131.2,3.06,199.8,4.52,248.4,5.38,303.8,6.57
AAPL,3.0,48,3.49,5.0,17.8,210.8,0.68,7.37,2.0,12.5,34.4,1.08,43.7,1.46,50.8,1.82,65.6,2.26,111.3,3.93,142.1,4.79,194.8,6.59
AAPL,4.0,28,4.44,6.0,12.2,187.4,0.57,7.09,2.0,21.4,24.6,1.03,35.1,1.49,53.3,2.3,89.4,3.15,119.3,5.2,144.1,5.83,178.2,6.83
AAPL,5.0,12,5.37,6.5,13.4,82.0,0.65,3.61,1.5,0.0,14.7,0.83,25.9,1.51,36.1,1.91,56.0,2.93,79.3,3.41,81.4,3.5,81.9,3.59
AAPL,6.0,2,6.37,8.5,20.4,40.6,1.52,2.3,1.0,0.0,22.4,1.6,25.4,1.71,30.5,1.91,35.5,2.11,38.6,2.23,39.6,2.26,40.4,2.3
AAPL,7.0,1,7.15,9.0,20.1,20.1,1.22,1.22,1.0,0.0,20.1,1.22,20.1,1.22,20.1,1.22,20.1,1.22,20.1,1.22,20.1,1.22,20.1,1.22
AAPL,8.0,1,8.2,7.0,24.1,24.1,1.49,1.49,3.0,0.0,24.1,1.49,24.1,1.49,24.1,1.49,24.1,1.49,24.1,1.49,24.1,1.49,24.1,1.49
AAPL,9.0,2,9.42,5.5,33.5,48.5,1.88,2.96,6.0,0.0,35.0,1.99,37.2,2.15,41.0,2.42,44.8,2.69,47.0,2.85,47.8,2.9,48.4,2.95
ABBV,1.0,131,1.47,2.0,28.1,513.5,0.54,5.88,2.0,61.1,62.3,0.94,80.3,1.25,113.8,1.71,169.8,2.51,235.8,3.73,297.1,4.45,490.9,5.81
ABBV,2.0,84,2.45,3.0,22.6,542.8,0.51,10.64,2.0,28.6,34.7,0.92,47.4,1.18,68.3,1.73,109.7,2.52,182.3,4.39,224.6,5.13,463.5,8.97
ABBV,3.0,30,3.32,4.5,22.6,244.4,0.91,9.54,2.0,13.3,32.1,1.13,40.9,1.25,54.6,1.86,74.1,2.45,101.7,3.23,151.3,5.03,227.1,8.62
ABBV,4.0,12,4.28,4.5,22.1,110.5,1.04,4.47,1.5,8.3,26.3,1.19,37.6,1.43,46.8,1.82,57.3,2.24,86.1,3.49,98.1,3.98,108.0,4.38
ABBV,5.0,7,5.18,7.0,20.6,43.5,1.07,1.91,1.0,0.0,25.3,1.16,29.8,1.33,33.3,1.46,39.6,1.74,42.9,1.85,43.2,1.88,43.4,1.9
ABBV,6.0,6,6.66,7.5,22.3,137.7,1.16,6.83,1.0,16.7,26.8,1.33,31.6,1.53,32.9,1.66,38.8,2.04,89.1,4.49,113.4,5.66,132.8,6.6
ABBV,7.0,3,7.15,4.0,20.8,63.4,1.27,3.74,3.0,0.0,25.5,1.48,32.6,1.8,44.5,2.33,54.0,3.04,59.6,3.46,61.5,3.6,63.0,3.71
ABBV,8.0,1,8.96,10.0,28.6,28.6,2.07,2.07,2.0,0.0,28.6,2.07,28.6,2.07,28.6,2.07,28.6,2.07,28.6,2.07,28.6,2.07,28.6,2.07
ABBV,10.0,1,10.89,4.0,31.4,31.4,2.07,2.07,2.0,0.0,31.4,2.07,31.4,2.07,31.4,2.07,31.4,2.07,31.4,2.07,31.4,2.07,31.4,2.07
ABBV,11.0,1,11.0,8.0,30.2,30.2,2.24,2.24,5.0,0.0,30.2,2.24,30.2,2.24,30.2,2.24,30.2,2.24,30.2,2.24,30.2,2.24,30.2,2.24
ABNB,1.0,96,1.46,2.0,33.3,422.9,0.54,6.48,2.0,63.5,62.0,0.94,85.3,1.28,120.2,1.75,172.6,2.62,248.8,3.46,302.4,4.34,416.1,4.89
