ticker,name,art,wunschticker,rueckfall,anbieter,kursquelle,kurswaehrung,datum,kurs,open,high,low,atr14,rsi14,ema50,ema200,hammer,hoeheres_hoch,kein_neues_tief,umkehrkerze,rote_kerze,hoch60,vol_druck5,tiefs_anzahl,tiefs_abstand,tiefs_serie,tiefs_serie_start,tiefs_serie_tief,tiefs_serie_vorheriges_hoch,tiefs_serie_vorheriges_hoch_start,korr_hoch,korr_ist_atr,korr_ist_tage,tief1,tief1_datum,tief1_best,tief1_volrel,tief2,tief2_datum,tief2_best,tief2_volrel,tief3,tief3_datum,tief3_best,tief3_volrel,ruecksetzer_hoch_datum,ruecksetzer_tag,ruecksetzer_atr,ruecksetzer_vol_rel,ruecksetzer_kerze,ruecksetzer_achtung,vortagestief_verletzt,rueckgang_3tage_pct,rueckgang_3tage_schwelle,rueckgang_3tage_achtung,stand_gehalten,stand_zurueck
AAPL,AAPL,Aktie,AAPL,0,Yahoo,AAPL,,2026-09-04,319.97,328.31,328.93,317.86,7.4314,53.89,312.5196,286.6522,0,0,0,1,1,344.57,0.79,10,6.2,1,2026-07-31,300.0,,,344.57,3.59,27,317.86,2026-09-04,0,1.0,312.8,2026-08-31,1,0.96,307.01,2026-08-21,1,0.88,2026-09-03,0,1.74,1.0,rot,0,1,-1.59,-3.31,0,0,0
ABNB,ABNB,Aktie,ABNB,0,Yahoo,ABNB,,2026-09-04,181.94,183.15,184.51,181.16,4.8579,56.33,167.2104,145.0287,0,0,0,1,1,193.453,0.55,11,5.7,2,2026-08-27,180.16,2,2026-08-27,193.453,2.53,9,181.16,2026-09-04,0,0.59,180.16,2026-09-02,1,0.58,184.05,2026-08-27,1,0.89,2026-09-03,0,1.28,0.59,rot,0,1,-0.33,-4.26,0,0,0
ADBE,ADBE,Aktie,ADBE,0,Yahoo,ADBE,,2026-09-04,266.51,274.47,275.91,263.93,10.48,48.86,258.0939,271.8454,0,0,0,1,1,294.53,0.59,15,4.0,1,2026-09-02,279.43,1,2026-09-02,294.53,2.92,3,263.93,2026-09-04,0,1.57,279.43,2026-09-02,1,0.9,265.04,2026-08-26,1,0.78,,,,,,0,1,-6.84,-5.27,1,0,0
ADI,ADI,Aktie,ADI,0,Yahoo,ADI,,2026-09-04,362.25,359.84,364.99,358.99,10.99,42.77,376.9666,348.8421,0,1,1,0,0,445.91,3.76,12,5.5,3,2026-08-24,348.0,3,2026-08-24,396.95,4.45,13,348.0,2026-09-03,1,1.06,348.66,2026-09-01,1,0.99,362.35,2026-08-24,1,1.18,,,,,,0,0,2.18,-4.18,0,0,0
ADP,ADP,Aktie,ADP,0,Yahoo,ADP,,2026-09-04,277.62,280.47,280.67,276.45,5.4936,53.87,263.7101,248.8903,0,0,0,1,1,288.0,0.32,12,5.4,1,2026-09-02,278.08,1,2026-09-02,287.86,2.08,5,276.45,2026-09-04,0,1.09,278.08,2026-09-02,1,0.89,279.31,2026-08-25,1,0.89,2026-09-03,0,2.04,1.09,rot,1,1,-2.07,-3.13,0,0,0
ADSK,ADSK,Aktie,ADSK,0,Yahoo,ADSK,,2026-09-04,217.9,232.08,232.14,216.2,11.0807,35.3,237.5062,246.5601,0,0,0,1,1,271.72,0.0,9,4.9,,,,,,,,,216.2,2026-09-04,0,2.06,241.33,2026-08-17,1,0.74,242.86,2026-08-13,1,1.04,2026-08-27,5,5.01,2.06,rot,0,1,-12.03,-4.79,1,0,0
AEP,AEP,Aktie,AEP,0,Yahoo,AEP,,2026-09-04,124.5,124.18,125.5,124.0,2.085,46.54,127.1439,125.7625,0,1,1,0,0,140.58,3.89,13,4.8,2,2026-08-10,120.06,2,2026-08-10,136.57,7.23,26,121.5,2026-08-31,1,1.17,121.64,2026-08-27,1,0.7,120.06,2026-08-24,1,1.01,,,,,,0,0,1.25,-2.16,0,0,0
AMAT,AMAT,Aktie,AMAT,0,Yahoo,AMAT,,2026-09-04,454.71,452.5,460.2,443.36,18.1014,39.68,503.2846,421.8094,0,1,1,0,0,739.67,0.23,11,5.0,4,2026-07-07,426.13,3,2026-08-14,739.67,17.32,46,426.13,2026-09-03,1,0.82,473.67,2026-08-24,1,1.16,497.1,2026-08-14,1,1.73,2026-08-25,7,3.66,0.82,gruen,0,0,2.91,-5.37,0,0,0
AMD,AMD,Aktie,AMD,0,Yahoo,AMD,,2026-09-04,477.57,462.0,478.83,458.0,18.4786,49.67,479.6608,373.4602,0,1,1,0,0,584.73,0.75,16,4.0,2,2026-07-17,424.03,2,2026-09-01,574.2,7.24,37,440.5,2026-09-03,1,0.81,452.3,2026-09-01,1,0.74,451.0,2026-08-24,1,0.63,2026-08-26,6,2.74,1.1,gruen,0,0,3.91,-6.47,0,0,0
AMGN,AMGN,Aktie,AMGN,0,Yahoo,AMGN,,2026-09-04,437.23,437.03,441.85,435.0,9.2886,61.89,403.9464,360.6177,0,0,0,0,0,447.03,1.63,11,5.6,1,2026-08-31,426.0,1,2026-08-31,447.03,1.3,8,435.0,2026-09-04,0,0.73,426.0,2026-08-31,1,0.91,410.4,2026-08-17,1,1.06,,,,,,0,1,-0.2,-2.91,0,0,0
