ticker,sequenzen,tiefs_median_tiefster,tiefs_median,tiefs_median_p75,tiefs_median_p90,tiefs_median_p95,tiefs_median_hoechster,tiefs_max,korrektur_tage_tiefster,korrektur_tage,korrektur_tage_p75,korrektur_tage_p90,korrektur_tage_p95,korrektur_tage_hoechster,korrektur_atr_tiefster,korrektur_atr,korrektur_atr_p75,korrektur_atr_p90,korrektur_atr_p95,korrektur_atr_hoechster,anstieg_tage_tiefster,anstieg_tage,anstieg_tage_p75,anstieg_tage_p90,anstieg_tage_p95,anstieg_tage_hoechster,anstieg_atr_tiefster,anstieg_atr,anstieg_atr_p75,anstieg_atr_p90,anstieg_atr_p95,anstieg_atr_hoechster,weit_tage_tiefster,weit_tage,weit_tage_p75,weit_tage_p90,weit_tage_p95,weit_tage_hoechster,weit_atr_tiefster,weit_atr,weit_atr_p75,weit_atr_p90,weit_atr_p95,weit_atr_hoechster,tiefs_letzte,vk_rsi_tiefster,vk_rsi_median,vk_rsi_hoechster,vk_rsi_p75,vk_rsi_faelle,kauf_rsi_tiefster,kauf_rsi_median,kauf_rsi_hoechster,kauf_rsi_p25,kauf_rsi_faelle,puffer_haelt_pct,puffer_p75,puffer_p90,puffer_p95,korr_je_tief,korr_tiefen
AAPL,132,1.0,1.0,2.0,3.0,4.0,5.0,5,1.0,2.0,7.0,15.9,27.9,53.0,0.63,1.98,3.42,6.29,6.71,10.28,1.0,4.0,6.0,7.9,9.0,15.0,0.81,2.99,4.01,4.88,5.28,8.98,1.0,26.0,130.0,1387.4,1572.8,1633.0,0.81,7.1,22.14,64.97,101.69,159.18,2 1 1 1 1,29.49,57.66,84.53,66.92,277,0.0,49.69,79.52,40.9,278,53.79,1.05,2.54,3.34,1:132:6.29:6.71:10.28;2:36:7.84:8.71:10.28;3:21:8.54:9.24:10.28;4:8:9.55:9.91:10.28;5:2:6.56:6.57:6.59,2:0.69 1:1.63 1:1.40 1:2.92 1:0.70 1:2.02 1:2.99 1:1.44 1:0.84 1:1.99 1:1.66 1:1.55 1:0.92 1:3.42 1:3.67 5:6.59 1:1.69 1:1.93 1:2.08 1:0.67 1:1.39 1:0.78 1:2.43 1:1.17 1:2.24 2:4.26 1:1.59 1:0.95 1:1.77 2:6.58 4:4.32 1:1.26 1:0.69 1:2.54 1:0.77 1:1.91 1:1.98 1:3.42 4:6.87 3:4.32 1:0.87 1:0.81 1:1.81 1:2.93 1:2.67 2:6.29 1:0.71 1:1.02 1:0.98 1:2.42 2:2.94 1:3.26 2:2.98 1:1.02 4:6.51 3:3.82 2:3.63 3:5.62 3:4.38 1:2.06 1:0.89 1:1.50 1:1.43 1:1.01 1:1.20 3:6.40 3:6.36 1:1.82 3:7.41 1:1.27 1:1.59 3:3.97 1:2.50 1:1.80 2:2.30 1:1.94 1:2.15 1:1.43 1:2.29 1:2.54 1:1.61 2:2.84 3:8.23 1:1.76 2:6.13 1:4.98 1:0.79 1:0.75 3:2.03 1:1.57 3:6.55 4:10.28 1:4.35 1:1.57 1:0.63 1:1.90 1:1.52 1:2.78 1:1.51 2:6.12 1:0.68 1:0.92 3:3.84 3:2.46 2:4.29 1:1.42 1:2.01 2:7.45 1:3.26 4:8.54 1:2.38 1:3.23 1:1.23 1:0.94 1:3.01 1:1.83 2:2.19 4:9.24 1:1.78 5:6.28 1:2.66 1:0.96 1:1.46 1:1.82 1:1.89 1:1.34 1:1.76 2:5.48 1:1.01 1:1.46 1:1.98 1:4.51
ABBV,125,1.0,1.0,1.0,3.0,3.8,7.0,7,1.0,2.0,6.0,17.0,26.8,73.0,0.56,1.83,3.12,5.9,7.56,11.94,1.0,3.0,5.0,6.6,7.8,16.0,1.0,2.39,3.16,4.29,5.59,11.41,1.0,19.0,74.0,1096.6,1464.8,1634.0,1.05,4.95,11.57,64.49,80.3,146.85,1 1 1 1 1,27.76,58.97,87.17,67.23,291,22.87,51.74,84.25,42.56,291,51.37,0.92,2.14,3.12,1:125:5.90:7.56:11.94;2:31:9.67:11.06:11.94;3:16:11.06:11.70:11.94;4:7:11.75:11.84:11.94;5:3:11.87:11.91:11.94;6:2:11.91:11.92:11.94;7:1:11.94:11.94:11.94,2:0.56 1:1.71 1:1.91 1:1.63 1:2.87 3:6.77 5:6.42 1:1.24 1:1.36 1:1.65 1:1.79 1:1.41 2:1.72 1:2.93 1:1.80 1:0.71 7:11.94 1:2.24 1:1.34 1:0.95 1:1.36 1:1.06 2:3.18 1:1.40 1:4.49 1:0.81 1:1.37 1:1.40 1:1.76 1:3.88 1:1.14 1:2.66 1:1.17 2:3.83 1:2.04 1:1.15 1:6.62 1:2.12 1:1.61 2:2.01 1:3.89 1:1.81 1:1.81 1:2.08 1:1.68 1:1.48 1:1.60 1:1.02 1:1.70 3:10.51 1:1.07 4:7.71 1:1.59 1:3.22 1:1.00 1:1.17 1:2.91 1:1.22 1:1.76 1:1.30 1:1.10 3:2.98 3:8.45 1:1.86 1:0.85 1:3.33 1:1.15 1:1.03 1:0.79 1:1.96 6:11.62 3:3.34 1:1.67 2:1.64 1:1.04 1:4.38 1:1.30 3:5.78 1:1.21 2:1.89 1:0.58 1:1.35 1:1.12 1:2.00 1:1.36 1:1.93 1:1.56 1:1.39 4:9.67 1:1.83 1:1.09 1:1.83 1:3.13 1:1.50 1:2.29 1:1.28 3:3.13 2:2.26 1:3.49 2:9.27 1:1.16 1:2.17 3:6.93 1:0.85 2:1.90 1:1.92 1:1.93 1:2.05 4:6.68 4:3.71 1:3.12 2:4.72 1:1.91 1:3.91 2:2.35 3:5.98 2:4.92 2:2.81 1:1.37 2:2.05 1:2.80 1:1.32 1:2.89 1:1.41 1:3.68
ABNB,111,1.0,1.0,2.0,3.0,4.0,6.0,6,0.0,3.0,7.0,21.0,33.5,72.0,0.0,1.96,3.55,5.99,7.91,12.1,1.0,3.0,5.0,7.0,9.0,18.0,0.65,2.3,2.91,4.66,5.38,9.27,1.0,12.0,30.0,98.0,201.0,915.0,0.87,3.92,8.65,13.87,17.82,29.94,2 1 2 1 1,22.62,54.27,81.47,61.56,242,0.0,46.98,75.0,39.91,242,43.39,1.1,2.34,3.36,1:111:5.99:7.91:12.10;2:38:8.46:10.35:12.10;3:13:10.80:11.40:12.10;4:7:11.40:11.75:12.10;5:2:11.73:11.91:12.10;6:1:12.10:12.10:12.10,1:0.00 1:2.00 1:2.38 2:3.35 1:1.96 1:3.42 3:6.00 4:6.30 1:0.77 2:1.78 1:1.14 2:1.88 2:5.10 1:1.48 1:2.43 1:2.08 1:2.42 1:1.86 2:2.88 1:1.37 2:2.25 1:3.39 2:5.31 3:5.78 1:1.25 1:1.38 2:5.99 1:1.00 1:0.93 5:8.44 1:0.69 2:4.63 1:1.72 1:2.72 1:1.58 1:1.71 1:1.25 2:3.94 1:1.73 6:12.10 1:1.49 1:1.66 1:1.75 1:3.17 2:4.71 2:3.88 1:2.03 1:3.84 1:5.16 1:1.07 1:1.50 1:1.89 1:1.78 1:0.94 1:1.30 1:0.86 2:7.55 1:1.22 4:8.50 1:2.00 2:1.45 1:0.93 1:1.54 1:5.25 1:2.78 1:3.00 1:2.42 1:1.39 2:1.64 3:3.63 4:7.15 1:1.47 1:1.97 1:1.19 1:1.27 1:1.53 3:8.27 1:0.82 1:2.97 1:1.20 1:2.18 1:1.62 3:4.83 4:4.30 1:1.68 4:10.94 1:1.49 1:1.43 1:0.86 2:3.47 2:4.66 1:1.52 1:1.33 3:10.25 1:5.85 1:1.19 2:2.26 1:1.68 2:6.53 1:1.82 2:2.76 1:2.94 2:2.58 2:3.26 2:2.47 1:1.34 2:1.95 1:3.64 2:1.85 1:1.49 1:1.01
ABT,118,1.0,1.0,2.0,3.0,4.0,9.0,9,1.0,3.0,9.0,22.0,30.6,86.0,0.77,2.09,3.88,5.88,7.36,20.22,1.0,3.0,5.0,6.0,9.0,12.0,1.16,2.38,3.2,4.42,5.25,7.41,1.0,19.0,52.75,297.5,359.45,1243.0,1.16,4.58,9.57,18.4,22.05,26.95,1 1 1 1 3,12.65,55.41,78.65,63.61,283,0.0,48.68,76.48,38.89,283,50.18,1.05,2.18,4.36,1:118:5.88:7.36:20.22;2:44:7.77:11.82:20.22;3:23:11.62:13.60:20.22;4:7:16.32:18.27:20.22;5:3:18.92:19.57:20.22;6:3:18.92:19.57:20.22;7:2:19.44:19.83:20.22;8:1:20.22:20.22:20.22;9:1:20.22:20.22:20.22,3:1.73 1:2.22 1:1.14 1:2.66 1:2.13 3:4.18 4:5.84 2:4.03 1:1.74 4:3.22 2:2.74 1:1.68 2:3.28 1:1.02 1:1.42 1:1.17 1:1.46 2:1.97 3:5.19 1:1.65 3:3.21 3:4.76 1:1.98 1:1.16 1:1.87 1:2.08 1:0.77 2:4.96 4:5.52 2:5.49 1:1.68 1:1.03 1:2.06 1:2.22 1:1.38 1:1.01 1:1.04 1:1.49 1:1.55 1:1.81 1:1.38 1:1.29 3:7.34 1:1.20 2:2.47 1:3.93 1:1.16 1:1.94 1:2.14 3:7.90 3:5.30 1:2.28 2:3.10 3:5.98 1:1.53 2:5.40 1:1.15 2:2.53 1:1.21 1:1.75 3:6.13 1:1.85 1:2.41 1:3.24 2:2.16 3:8.51 1:1.81 1:2.54 4:7.46 7:12.40 2:2.89 1:2.44 1:1.19 1:1.00 1:1.32 1:1.03 1:1.25 1:1.47 1:3.58 1:1.23 1:1.45 6:13.73 3:4.42 1:3.74 1:1.33 1:2.05 1:0.95 1:1.77 1:1.38 2:4.07 2:3.96 2:2.88 1:1.31 2:4.99 1:1.49 1:1.67 1:1.78 1:0.97 3:6.28 1:1.47 2:2.82 1:2.09 1:2.37 3:6.17 2:3.21 1:1.61 3:5.82 2:4.52 2:3.28 9:20.22 2:2.07 1:2.64 1:1.95 1:4.07 1:1.02 1:2.31 1:1.18 3:6.59
ACN,131,1.0,1.0,2.0,3.0,4.0,8.0,8,1.0,3.0,7.0,14.0,31.5,93.0,0.64,1.98,3.66,5.43,9.03,17.72,1.0,3.0,4.5,8.0,9.0,22.0,0.73,2.34,3.3,4.6,6.28,7.87,1.0,12.0,60.0,197.0,1079.0,1225.0,0.73,4.31,9.83,25.98,31.1,40.0,1 1 1 1 2,0.0,56.17,79.35,65.4,309,10.71,47.89,77.54,39.15,308,45.28,1.41,2.98,4.02,1:131:5.43:9.03:17.72;2:41:10.08:11.61:17.72;3:22:11.61:14.56:17.72;4:11:14.72:16.22:17.72;5:6:16.22:16.97:17.72;6:4:16.82:17.27:17.72;7:1:14.72:14.72:14.72;8:1:14.72:14.72:14.72,3:1.04 1:1.11 1:0.64 1:1.72 1:1.95 1:1.07 1:2.18 2:3.49 2:2.48 2:1.63 4:7.17 1:3.49 3:1.45 1:1.54 1:0.71 1:2.39 1:0.76 1:0.99 1:1.06 2:2.78 1:1.21 1:1.58 1:0.90 2:1.41 1:1.92 3:5.93 1:1.99 1:0.95 2:2.35 5:5.43 1:1.00 2:2.31 1:2.94 1:1.77 1:0.95 1:0.64 1:1.39 1:1.63 1:3.65 1:3.80 1:1.57 1:1.38 1:2.44 1:1.39 1:1.40 1:1.87 1:1.05 1:1.27 4:4.97 1:1.14 1:0.90 1:1.07 1:1.56 1:1.77 2:3.92 1:1.96 1:2.96 5:11.61 1:2.59 6:7.67 3:4.76 1:1.65 3:4.62 1:1.00 1:1.10 1:0.90 1:0.74 6:9.44 1:4.18 1:3.89 1:1.60 1:1.48 4:9.75 1:1.93 2:3.74 1:3.67 1:1.48 1:2.91 1:4.48 1:1.18 2:3.75 3:4.43 2:4.61 1:1.09 1:1.08 1:1.16 1:0.80 1:1.20 1:1.19 1:2.79 1:3.81 4:2.75 1:2.69 1:1.05 1:2.08 6:17.72 1:4.22 1:1.82 1:3.87 1:0.91 1:1.53 1:3.59 1:2.10 1:1.60 3:5.54 1:1.28 2:3.60 2:3.37 2:3.90 1:2.44 1:1.04 2:2.24 3:11.61 8:14.72 1:1.72 1:3.09 3:2.59 1:1.98 1:2.26 2:3.90 3:10.08 4:6.11 2:3.79 1:1.86 3:8.63 2:2.18 1:0.82 1:2.06 1:0.96 1:2.96 2:2.46
ADBE,117,1.0,1.0,2.0,3.0,4.0,7.0,7,0.0,2.0,6.0,19.4,28.2,123.0,0.0,2.07,3.6,6.9,9.05,16.63,1.0,4.0,6.0,8.0,10.0,14.0,0.63,2.44,3.45,4.68,5.77,8.13,1.0,13.0,45.0,176.8,356.4,425.0,0.63,4.55,10.12,19.75,26.37,32.9,1 1 1 1 1,12.43,54.82,82.05,63.29,282,7.11,46.05,80.02,37.16,282,50.0,1.27,2.7,3.97,1:117:6.90:9.05:16.63;2:31:11.74:13.49:16.63;3:19:12.98:14.57:16.63;4:10:14.57:15.60:16.63;5:3:13.82:14.08:14.35;6:3:13.82:14.08:14.35;7:2:14.08:14.21:14.35,1:0.00 1:0.60 1:3.15 1:0.94 1:0.67 1:1.25 1:2.41 1:2.07 1:1.63 1:1.30 1:1.37 1:2.91 1:1.47 3:6.08 1:3.21 1:1.42 1:1.09 1:2.03 1:2.52 1:1.91 1:2.55 1:3.98 2:4.13 3:6.91 1:0.95 3:4.87 1:1.13 1:2.24 1:2.08 1:1.05 1:1.37 1:0.87 1:1.34 1:2.05 1:1.46 1:1.46 1:1.13 3:8.36 1:0.93 1:2.07 1:2.68 6:9.69 4:6.90 1:2.72 4:4.95 2:2.83 1:1.75 1:0.97 2:5.89 1:2.04 1:2.20 1:2.65 1:1.11 1:1.22 2:7.54 1:1.39 1:8.89 3:7.09 1:0.80 4:5.81 1:1.66 1:1.88 1:1.82 1:2.93 1:0.91 2:2.25 2:3.60 1:1.75 1:1.45 3:5.35 2:4.36 1:1.26 1:1.38 1:0.78 1:1.00 1:2.73 2:5.87 1:2.28 1:1.71 7:14.35 1:1.87 2:2.74 2:4.85 1:1.78 1:0.85 3:5.37 1:1.19 1:2.15 4:10.20 1:1.64 1:1.53 1:3.58 3:12.64 1:1.64 4:16.63 1:2.12 1:3.83 4:4.89 1:1.28 2:6.02 7:11.74 4:5.52 1:1.00 1:2.61 1:1.17 1:2.43 1:3.11 2:3.18 3:8.04 1:1.01 1:1.93 1:1.54 1:2.94 1:2.07 1:1.62 1:1.92 1:1.35
ADI,137,1.0,1.0,2.0,3.0,3.2,6.0,6,1.0,4.0,9.0,16.0,20.2,46.0,0.6,2.32,3.88,5.19,6.11,6.82,1.0,3.0,5.0,8.0,8.0,19.0,0.9,2.48,3.41,4.45,5.22,9.0,1.0,15.0,110.0,312.2,1418.8,1572.0,0.9,3.99,10.59,40.42,78.16,136.34,4 1 3 1 1,15.12,55.14,81.86,62.19,308,9.17,48.59,77.57,41.84,309,43.0,1.05,2.21,2.98,1:137:5.19:6.11:6.82;2:52:6.15:6.41:6.82;3:26:6.44:6.74:6.82;4:7:6.73:6.74:6.74;5:3:6.74:6.74:6.74;6:1:6.73:6.73:6.73,2:0.78 2:3.27 1:1.38 1:3.06 1:2.83 1:0.81 1:1.48 1:1.30 1:2.47 2:2.11 1:5.28 3:6.15 1:0.99 1:1.60 2:3.09 1:1.26 2:2.92 2:4.42 1:1.05 1:1.62 1:1.79 2:3.42 3:2.53 1:1.94 2:3.63 2:2.50 1:2.13 1:1.72 1:1.36 1:1.82 1:4.25 1:2.20 3:4.24 3:2.73 3:4.07 1:0.60 1:1.41 1:2.24 2:4.65 1:1.70 3:3.69 2:2.75 1:2.14 1:4.37 1:3.20 1:1.57 6:6.73 2:3.02 3:3.94 1:1.34 2:3.35 1:3.11 1:1.63 4:4.96 1:2.90 1:1.16 1:1.97 2:3.88 2:4.37 3:3.92 1:4.07 1:1.59 1:1.78 1:2.17 3:4.51 1:2.32 1:0.92 1:1.51 3:3.75 1:1.21 1:2.29 1:2.62 2:6.14 1:5.65 1:2.40 1:2.57 1:2.23 5:6.74 3:3.53 3:5.89 1:0.95 1:1.00 1:1.29 2:1.82 2:5.12 2:4.49 1:2.78 1:1.16 2:2.58 1:2.31 1:1.90 1:4.44 1:0.83 1:0.73 3:3.58 1:1.27 2:5.92 2:3.18 2:1.74 1:1.93 3:5.45 3:4.52 3:4.92 3:6.82 2:6.10 1:3.19 1:1.91 1:1.19 4:5.94 1:0.92 1:1.69 1:0.83 2:3.57 4:4.51 3:3.42 1:2.37 1:2.30 1:1.15 1:2.06 1:1.61 1:2.18 1:1.75 1:1.48 1:1.63 1:1.51 5:6.15 1:2.82 2:1.38 1:2.29 1:1.40 1:3.95 1:3.16 4:6.16 1:1.21 3:4.17 1:1.03 1:1.80
ADP,119,1.0,1.0,2.0,4.0,4.0,6.0,6,0.0,3.0,7.0,27.2,32.0,68.0,0.0,2.04,3.48,6.21,7.12,11.29,1.0,4.0,5.0,7.0,10.0,17.0,0.8,2.6,3.61,5.32,5.62,7.87,1.0,17.0,79.0,572.8,1070.8,1312.0,0.9,4.97,12.59,30.74,51.32,65.72,1 1 1 1 1,9.19,55.37,80.57,63.41,290,4.8,48.04,76.9,39.55,290,49.31,1.23,2.62,3.87,1:119:6.21:7.12:11.29;2:40:7.67:10.87:11.29;3:21:10.87:10.93:11.29;4:14:10.91:11.05:11.29;5:3:10.45:10.87:11.29;6:1:11.29:11.29:11.29,1:0.00 1:0.94 2:2.62 1:2.72 3:3.18 2:1.22 1:2.07 1:1.05 2:3.95 1:1.22 4:7.44 2:1.26 2:1.43 1:1.40 1:0.77 1:3.37 2:4.75 1:1.03 3:5.83 1:1.75 2:2.17 1:1.76 1:1.58 1:1.44 1:1.77 4:5.70 1:1.71 1:0.99 1:2.10 1:2.04 1:1.60 1:2.09 1:3.67 1:1.34 1:1.29 1:2.74 1:1.07 1:1.17 1:2.93 1:1.86 4:6.60 1:1.99 1:1.00 1:1.20 1:1.35 1:1.24 2:3.86 1:2.83 4:10.93 1:1.38 1:1.18 1:1.38 5:6.24 3:4.96 1:2.64 1:1.22 1:1.00 5:7.08 1:1.56 1:3.85 1:2.06 1:2.49 1:1.34 1:1.08 1:1.73 1:2.24 3:7.51 1:1.08 3:6.82 2:6.10 4:4.64 1:0.96 2:2.69 1:0.77 4:9.12 1:0.66 2:1.69 1:1.26 1:3.55 1:2.40 1:2.40 1:1.37 1:0.99 3:5.11 2:3.03 1:3.41 4:5.71 1:1.76 2:2.49 1:1.32 1:2.52 1:1.92 1:2.37 1:1.21 2:2.74 1:3.41 4:5.08 1:1.84 1:1.43 1:1.16 2:6.78 1:1.13 2:1.39 2:6.57 4:5.36 4:10.87 1:1.38 4:4.17 6:11.29 1:2.03 3:6.20 2:2.05 1:2.00 2:3.72 1:2.06 1:1.27 1:3.05 1:2.68 1:0.91
ADS.DE,107,1.0,1.0,3.0,4.0,4.0,7.0,7,1.0,4.0,14.0,26.4,33.7,95.0,0.66,2.63,4.63,6.7,7.33,13.5,1.0,3.0,5.0,7.0,8.0,12.0,0.83,2.49,3.27,4.72,5.67,9.21,1.0,10.0,34.5,235.2,348.9,580.0,0.93,3.96,7.31,13.94,20.58,36.32,1 2 1 1 1,17.36,54.52,96.86,62.95,300,13.26,46.93,85.95,37.18,299,40.8,1.29,2.75,3.86,1:107:6.70:7.33:13.50;2:43:7.59:10.71:13.50;3:30:9.03:11.67:13.50;4:15:11.73:12.64:13.50;5:5:13.01:13.26:13.50;6:2:10.57:10.75:10.92;7:1:7.40:7.40:7.40,3:0.81 1:3.43 1:1.93 6:10.92 1:4.64 4:3.17 1:1.43 1:2.51 2:2.39 2:2.81 3:4.63 2:5.22 1:1.13 1:2.78 3:3.70 2:4.88 1:0.84 3:3.63 2:5.50 3:5.16 1:1.08 1:1.68 3:3.75 1:1.63 1:1.94 1:3.42 4:6.97 3:6.77 1:1.75 1:1.64 2:7.17 2:3.45 3:4.28 1:1.86 3:8.82 7:7.40 1:0.90 4:6.63 1:1.11 4:7.64 5:12.27 3:3.13 1:2.73 1:0.83 1:1.08 1:1.90 4:5.22 1:1.38 1:1.66 1:2.66 1:0.66 1:0.66 4:3.41 3:5.46 1:0.69 1:1.02 1:2.26 2:3.39 1:2.11 1:2.81 1:1.48 4:6.66 1:1.44 2:3.28 1:1.06 1:0.93 1:2.27 5:6.76 1:2.12 1:0.92 1:2.19 1:2.59 1:2.69 1:1.21 1:2.78 4:4.84 1:1.88 1:2.91 2:6.23 4:5.65 2:3.10 1:1.07 1:1.74 3:2.74 1:0.92 1:2.63 1:2.93 3:4.26 4:5.99 1:5.37 3:7.13 1:1.68 5:13.50 1:2.16 1:1.53 3:5.58 1:1.14 1:1.16 2:6.29 1:3.15 1:2.18 1:2.23 1:0.84 2:2.12 1:2.20 1:1.09 1:1.52
ADSK,107,1.0,1.0,2.0,3.4,5.0,6.0,6,0.0,3.0,7.0,28.6,43.5,79.0,0.0,2.12,3.82,6.47,7.85,16.83,1.0,4.0,6.0,8.0,9.7,14.0,0.92,2.6,3.91,5.33,5.48,9.03,1.0,13.0,68.0,341.4,577.9,808.0,0.92,5.31,10.61,20.36,24.21,29.58,2 2 1 1 1,13.52,54.78,82.31,63.78,270,8.09,45.97,72.86,39.32,270,44.24,1.39,2.51,3.5,1:107:6.47:7.85:16.83;2:35:9.05:12.75:16.83;3:15:13.97:15.97:16.83;4:11:11.54:13.57:15.60;5:8:12.75:14.18:15.60;6:2:15.19:15.40:15.60,1:0.00 1:3.42 1:0.98 1:2.60 2:1.73 1:1.16 1:1.07 1:2.27 1:2.21 1:1.41 5:6.57 2:2.11 1:1.14 1:1.39 1:1.05 2:2.39 1:0.96 1:1.52 1:2.43 1:0.97 2:2.45 1:1.26 1:3.11 1:2.20 2:4.05 2:2.73 1:1.79 1:4.39 1:3.13 1:1.88 1:1.19 1:1.56 1:0.84 2:6.10 1:1.54 2:2.13 2:7.76 2:3.15 1:1.20 1:2.64 1:2.11 6:15.60 1:0.81 1:1.60 5:4.88 3:5.45 2:3.42 1:1.62 1:1.46 4:7.76 1:3.33 2:3.84 1:1.25 4:7.88 1:1.27 1:0.72 1:1.57 1:2.03 5:8.79 1:1.10 2:1.62 1:1.33 1:2.46 1:2.12 2:4.84 1:1.55 3:5.33 5:5.82 1:0.88 1:3.79 1:1.44 1:1.37 1:3.99 1:1.26 1:1.38 1:1.64 2:3.78 3:16.83 1:2.69 1:1.23 1:1.52 2:3.23 1:4.41 1:1.28 1:4.24 1:1.88 2:2.62 1:2.98 3:6.98 5:9.23 1:0.92 1:1.22 1:1.88 1:1.02 1:5.27 2:1.99 5:6.40 6:11.54 4:4.20 1:3.34 1:1.00 1:2.58 2:3.92 2:6.72 1:2.19 1:1.53 1:2.04
