ticker,datum,position,serie_laenge,typisch,tief,einstieg,atr,abstand_atr,rsi,rsi_rel,benoetigt_atr,benoetigt_ganz_atr,anstieg_atr,anstieg_pivot_atr,typischer_anstieg_atr,ziel_atr,resthistorie
AAPL,2019-10-03,1,1,1.0,51.6106,54.4606,0.9663,2.949,36.17,-17.24,0.0,0.342,299.919,0.725,1.122,1.01,1729
AAPL,2019-10-08,1,1,1.0,53.8177,55.1995,1.083,1.276,41.6,-11.81,0.0,2.343,266.92,1.781,1.122,1.01,1725
AAPL,2019-10-16,1,1,1.0,55.9457,56.4447,1.0859,0.46,52.92,-0.49,0.0,4.296,265.057,3.197,1.122,1.01,1720
AAPL,2019-10-31,1,1,1.0,56.9197,61.3723,0.9836,4.527,64.4,10.99,0.0,5.733,287.616,0.578,1.122,1.01,1709
AAPL,2019-11-06,1,1,1.0,61.2643,62.4252,1.029,1.128,70.91,17.49,0.0,9.702,273.9,2.004,1.122,1.01,1705
AAPL,2019-11-20,1,1,1.0,62.6586,64.0951,0.8327,1.725,66.64,13.22,1.188,13.664,336.462,0.543,1.122,1.01,1693
AAPL,2019-12-03,1,1,1.0,61.6696,62.981,0.9329,1.406,51.83,-1.59,0.0,11.136,301.514,2.388,1.122,1.01,1687
AAPL,2019-12-09,1,1,1.0,63.7438,65.1539,1.0445,1.35,59.09,5.67,3.76,11.932,267.232,2.564,1.122,1.01,1682
AAPL,2019-12-20,1,1,1.0,67.0283,68.3373,1.0543,1.242,69.5,16.08,14.937,14.937,261.73,2.276,1.122,1.01,1674
AAPL,2019-12-30,1,1,1.0,68.6309,70.6594,1.0306,1.968,79.2,25.78,16.836,16.836,265.501,1.623,1.122,1.01,1669
AAPL,2020-01-06,1,1,1.0,70.4428,71.7999,1.133,1.198,78.92,25.51,16.913,16.913,240.489,4.073,1.122,1.01,1665
AAPL,2020-01-15,1,1,1.0,74.4853,75.8544,1.4073,0.973,74.45,21.03,16.489,16.489,190.732,0.812,1.122,1.01,1658
AAPL,2020-01-23,1,1,1.0,75.9531,76.5932,1.2064,0.531,76.31,22.89,20.452,20.452,221.886,1.903,1.122,1.01,1653
AAPL,2020-01-27,1,1,1.0,73.3616,76.444,1.343,2.295,58.56,5.14,16.441,16.441,199.422,1.82,1.122,1.01,1651
AAPL,2020-02-03,1,1,1.0,72.7215,76.7231,1.7375,2.303,52.14,-1.28,12.34,12.34,153.988,0.882,1.122,1.01,1646
AAPL,2020-02-18,1,5,1.0,75.8825,78.0557,1.8703,1.162,54.53,1.11,13.154,13.154,142.343,0.133,1.122,1.01,1636
AAPL,2020-02-28,2,5,1.0,61.8353,72.0716,2.6378,3.881,28.67,-24.74,4.001,4.001,103.192,0.475,1.122,1.01,1628
AAPL,2020-03-12,3,5,1.0,59.8165,67.0451,4.5469,1.59,33.89,-19.52,1.877,1.877,60.971,-1.333,1.122,1.01,1619
AAPL,2020-03-18,4,5,1.0,57.1923,59.0398,5.1209,0.361,39.21,-14.21,1.154,1.154,55.7,0.834,1.122,1.01,1615
AAPL,2020-03-23,5,5,1.0,51.2806,59.5463,4.8172,1.716,34.31,-19.11,0.0,0.0,59.106,0.782,1.122,1.01,1612
AAPL,2020-04-02,1,1,1.0,57.1392,58.227,3.9127,0.278,43.59,-9.83,0.0,0.0,73.107,2.887,1.122,1.01,1604
AAPL,2020-04-21,1,1,1.0,64.0205,66.5941,2.4266,1.061,49.74,-3.67,0.0,0.0,114.431,4.419,1.122,1.01,1592
AAPL,2020-05-15,1,1,1.0,72.6053,76.1726,2.0778,1.717,62.24,8.83,0.0,0.0,129.033,0.69,1.122,1.01,1574
AAPL,2020-05-22,1,1,1.0,76.2669,76.6006,1.7956,0.186,66.05,12.63,0.304,0.304,149.073,1.276,1.122,1.01,1569
AAPL,2020-05-27,1,1,1.0,75.7203,76.9683,1.7934,0.696,64.62,11.21,0.0,0.0,149.046,1.072,1.122,1.01,1567
AAPL,2020-06-04,1,1,1.0,77.5801,80.1727,1.4364,1.805,65.09,11.67,0.0,0.0,183.862,3.918,1.122,1.01,1561
AAPL,2020-06-15,1,1,1.0,80.4339,85.15,2.0839,2.263,65.96,12.55,0.0,0.0,124.347,0.385,1.122,1.01,1554
AAPL,2020-06-19,1,1,1.0,83.474,86.7921,2.2032,1.506,67.41,13.99,0.0,0.0,116.865,1.483,1.122,1.01,1550
AAPL,2020-06-29,1,1,1.0,84.9565,88.2263,2.576,1.269,64.19,10.77,0.0,0.0,99.396,3.288,1.122,1.01,1544
AAPL,2020-07-14,1,2,1.0,90.8165,94.5385,2.2112,1.683,73.97,20.56,2.07,2.07,112.942,0.667,1.122,1.01,1534
AAPL,2020-07-24,2,2,1.0,86.2383,91.7186,2.4935,2.198,50.07,-3.34,0.0,0.0,101.287,7.605,1.122,1.01,1526
AAPL,2020-08-11,1,1,1.0,105.7402,109.5223,3.6196,1.045,65.99,12.57,1.608,1.608,64.856,0.812,1.122,1.01,1514
AAPL,2020-08-14,1,1,1.0,109.5562,111.0704,3.4493,0.439,71.75,18.33,2.794,2.794,67.608,3.983,1.122,1.01,1511
AAPL,2020-08-25,1,1,1.0,119.2548,122.6178,3.2502,1.035,78.26,24.85,5.949,5.949,68.198,3.416,1.122,1.01,1504
AAPL,2020-09-11,1,2,1.0,106.6052,111.7998,6.217,0.836,44.22,-9.19,1.076,1.076,37.393,0.541,1.122,1.01,1492
AAPL,2020-09-21,2,2,1.0,99.9181,108.3593,6.6981,1.26,43.85,-9.56,0.0,0.0,35.221,0.855,1.122,1.01,1486
AAPL,2020-10-15,1,4,1.0,114.5036,115.3468,3.4245,0.246,56.82,3.41,3.065,3.065,66.849,-0.492,1.122,1.01,1468
AAPL,2020-10-26,2,4,1.0,109.3963,113.0015,3.4051,1.059,47.58,-5.84,1.582,1.582,67.918,0.094,1.122,1.01,1461
AAPL,2020-10-28,3,4,1.0,107.6712,111.761,3.6848,1.11,41.61,-11.81,0.994,0.994,63.1,1.131,1.122,1.01,1459
AAPL,2020-11-02,4,4,1.0,104.0079,107.0316,3.7305,0.811,40.26,-13.16,0.0,0.0,63.595,2.385,1.122,1.01,1456
AAPL,2020-11-10,1,1,1.0,110.7985,116.0021,4.1113,1.266,51.33,-2.09,0.364,0.364,55.522,0.246,1.122,1.01,1450
