ticker,position,faelle,serien,anteil_serien,rsi_min,rsi_p25,rsi_median,rsi_p75,rsi_max
AAPL,1,128,128,100.0,30.33,50.91,59.05,66.0,79.11
AAPL,2,34,128,26.6,22.22,34.79,42.7,51.64,65.14
AAPL,3,21,128,16.4,25.85,33.25,37.29,42.49,61.09
AAPL,4,8,128,6.2,17.91,28.75,33.73,38.87,40.26
AAPL,5,2,128,1.6,34.31,34.62,34.94,35.25,35.56
ABBV,1,120,120,100.0,31.95,53.88,62.53,68.58,83.63
ABBV,2,30,120,25.0,25.53,36.45,45.89,54.74,68.91
ABBV,3,16,120,13.3,27.28,29.91,33.45,39.22,53.3
ABBV,4,7,120,5.8,29.86,32.0,36.05,40.31,44.17
ABBV,5,3,120,2.5,22.87,24.76,26.65,27.73,28.81
ABBV,6,2,120,1.7,23.11,25.95,28.78,31.62,34.45
ABBV,7,1,120,0.8,31.22,31.22,31.22,31.22,31.22
ABNB,1,104,104,100.0,25.34,45.56,53.8,58.19,75.0
ABNB,2,36,104,34.6,20.37,32.91,42.77,48.66,58.52
ABNB,3,13,104,12.5,20.89,33.31,35.1,37.58,45.35
ABNB,4,7,104,6.7,26.42,29.75,31.7,34.83,43.78
ABNB,5,2,104,1.9,31.34,31.82,32.3,32.79,33.27
ABNB,6,1,104,1.0,31.14,31.14,31.14,31.14,31.14
ABT,1,111,111,100.0,29.23,48.9,54.72,63.41,76.48
ABT,2,42,111,37.8,23.53,37.09,41.73,48.35,62.31
ABT,3,22,111,19.8,19.01,33.11,36.75,44.05,57.65
ABT,4,7,111,6.3,31.62,31.7,36.24,37.84,52.75
ABT,5,3,111,2.7,22.14,26.3,30.47,31.31,32.16
ABT,6,3,111,2.7,28.73,30.05,31.37,32.32,33.27
ABT,7,2,111,1.8,25.01,25.73,26.45,27.17,27.89
ABT,8,1,111,0.9,24.13,24.13,24.13,24.13,24.13
ABT,9,1,111,0.9,21.28,21.28,21.28,21.28,21.28
ACN,1,124,124,100.0,18.45,47.67,59.37,66.49,77.54
ACN,2,38,124,30.6,20.0,37.23,43.82,49.6,62.56
ACN,3,21,124,16.9,19.62,28.83,35.25,38.41,55.83
ACN,4,11,124,8.9,26.57,29.19,34.38,38.26,50.94
ACN,5,6,124,4.8,20.46,22.23,28.46,32.19,36.58
ACN,6,4,124,3.2,22.52,27.71,29.55,31.07,35.28
ACN,7,1,124,0.8,35.76,35.76,35.76,35.76,35.76
ACN,8,1,124,0.8,32.38,32.38,32.38,32.38,32.38
ADBE,1,106,106,100.0,19.15,46.28,54.44,64.46,80.35
ADBE,2,31,106,29.2,27.56,34.03,39.41,45.31,60.63
ADBE,3,20,106,18.9,20.5,27.59,30.08,35.61,43.01
ADBE,4,10,106,9.4,29.84,31.15,33.15,33.92,42.41
ADBE,5,3,106,2.8,26.22,28.84,31.45,35.62,39.78
ADBE,6,3,106,2.8,28.38,28.84,29.31,36.55,43.78
ADBE,7,2,106,1.9,31.15,31.6,32.05,32.49,32.94
ADI,1,131,131,100.0,31.99,45.64,52.33,59.78,77.57
ADI,2,49,131,37.4,27.43,38.5,43.23,52.32,64.85
ADI,3,25,131,19.1,24.67,34.02,38.72,44.13,58.09
ADI,4,6,131,4.6,30.04,32.64,33.14,34.52,40.58
ADI,5,3,131,2.3,35.5,36.09,36.69,38.55,40.42
ADI,6,1,131,0.8,39.11,39.11,39.11,39.11,39.11
ADP,1,112,112,100.0,22.93,48.04,54.41,61.93,76.9
ADP,2,39,112,34.8,28.9,37.8,43.53,51.42,71.24
ADP,3,21,112,18.8,16.9,34.71,36.78,40.61,51.42
ADP,4,14,112,12.5,20.59,31.09,36.41,37.58,45.08
ADP,5,3,112,2.7,13.99,23.92,33.85,37.71,41.57
ADP,6,1,112,0.9,20.61,20.61,20.61,20.61,20.61
ADS.DE,1,103,103,100.0,20.66,46.81,53.53,61.66,73.06
ADS.DE,2,44,103,42.7,23.72,34.24,42.49,50.83,61.18
ADS.DE,3,28,103,27.2,15.65,31.52,35.8,43.78,55.46
ADS.DE,4,14,103,13.6,22.87,27.99,31.41,39.9,49.7
ADS.DE,5,5,103,4.9,19.0,20.76,27.83,29.26,44.21
ADS.DE,6,2,103,1.9,13.24,19.34,25.44,31.54,37.64
ADS.DE,7,1,103,1.0,38.64,38.64,38.64,38.64,38.64
ADSK,1,103,103,100.0,24.13,45.57,55.9,62.79,73.64
ADSK,2,34,103,33.0,18.56,39.33,42.14,48.65,69.55
ADSK,3,15,103,14.6,24.13,33.53,36.2,37.42,41.0
ADSK,4,11,103,10.7,21.78,33.22,37.54,42.06,45.1
ADSK,5,8,103,7.8,28.29,30.71,35.51,38.57,42.96
ADSK,6,2,103,1.9,29.5,29.95,30.41,30.86,31.31
AEP,1,105,105,100.0,20.24,47.6,57.45,63.47,76.85
AEP,2,33,105,31.4,20.5,32.01,40.6,51.14,69.97
AEP,3,17,105,16.2,27.86,33.32,38.98,46.24,57.11
AEP,4,5,105,4.8,30.71,31.48,39.34,39.67,46.07
AEP,5,3,105,2.9,32.43,32.84,33.26,37.13,41.0
AEP,6,2,105,1.9,21.27,25.31,29.35,33.4,37.44
AEP,7,1,105,1.0,35.16,35.16,35.16,35.16,35.16
AIR.DE,1,110,110,100.0,29.47,48.95,55.94,63.68,78.14
AIR.DE,2,38,110,34.5,25.04,38.34,44.44,49.89,67.96
AIR.DE,3,22,110,20.0,17.17,31.97,41.2,46.93,56.17
AIR.DE,4,10,110,9.1,15.48,35.2,36.69,38.39,42.85
AIR.DE,5,4,110,3.6,14.16,17.2,24.55,31.14,31.86
AIR.DE,6,3,110,2.7,10.18,21.0,31.82,32.53,33.25
AIR.DE,7,1,110,0.9,34.53,34.53,34.53,34.53,34.53
ALV.DE,1,115,115,100.0,20.36,48.34,55.55,64.1,82.23
ALV.DE,2,41,115,35.7,16.43,33.9,39.96,50.96,61.13
ALV.DE,3,15,115,13.0,12.3,28.95,32.99,40.35,47.2
ALV.DE,4,5,115,4.3,25.29,29.24,31.6,32.57,41.42
ALV.DE,5,3,115,2.6,22.0,22.76,23.51,27.99,32.48
ALV.DE,6,1,115,0.9,30.82,30.82,30.82,30.82,30.82
AMAT,1,140,140,100.0,31.8,48.69,54.86,61.91,76.73
AMAT,2,52,140,37.1,29.51,38.51,45.41,51.65,63.48
AMAT,3,16,140,11.4,30.57,33.07,35.09,37.51,47.52
AMAT,4,8,140,5.7,29.78,31.77,32.48,36.22,40.43
AMAT,5,4,140,2.9,30.8,32.05,32.85,35.48,42.19
AMAT,6,1,140,0.7,32.69,32.69,32.69,32.69,32.69
AMD,1,113,113,100.0,28.6,45.86,55.92,65.74,77.23
AMD,2,41,113,36.3,26.26,39.93,45.96,51.95,65.29
AMD,3,22,113,19.5,25.26,35.15,38.23,40.65,51.15
AMD,4,12,113,10.6,27.93,34.22,37.3,40.16,45.4
AMD,5,3,113,2.7,28.91,30.72,32.52,35.72,38.92
AMD,6,3,113,2.7,31.85,32.99,34.13,34.84,35.55
AMD,7,1,113,0.9,23.01,23.01,23.01,23.01,23.01
AMGN,1,99,99,100.0,25.97,46.84,57.08,64.52,79.98
AMGN,2,38,99,38.4,24.52,36.75,43.69,52.25,69.63
AMGN,3,15,99,15.2,25.54,33.54,36.07,40.66,58.42
AMGN,4,11,99,11.1,28.15,32.13,36.11,37.83,50.23
AMGN,5,6,99,6.1,24.59,28.61,29.48,34.39,37.74
AMGN,6,3,99,3.0,27.74,31.12,34.49,35.25,36.01
AMGN,7,1,99,1.0,24.71,24.71,24.71,24.71,24.71
AMT,1,94,94,100.0,20.08,45.09,55.16,61.58,72.32
AMT,2,42,94,44.7,20.16,34.06,42.84,49.51,56.22
AMT,3,28,94,29.8,20.55,30.3,35.15,40.21,51.51
AMT,4,14,94,14.9,24.62,31.59,35.56,39.65,41.86
AMT,5,3,94,3.2,33.36,33.6,33.84,33.87,33.89
AMZN,1,110,110,100.0,25.12,49.69,56.94,62.03,76.55
AMZN,2,39,110,35.5,28.79,40.13,47.49,52.99,66.93
AMZN,3,15,110,13.6,28.63,35.18,40.57,45.19,56.67
AMZN,4,9,110,8.2,26.68,29.59,31.52,36.75,42.16
AMZN,5,5,110,4.5,24.26,32.1,36.13,37.87,40.1
AMZN,6,2,110,1.8,30.07,30.88,31.69,32.5,33.31
AMZN,7,1,110,0.9,23.39,23.39,23.39,23.39,23.39
AMZN,8,1,110,0.9,34.67,34.67,34.67,34.67,34.67
AMZN,9,1,110,0.9,34.39,34.39,34.39,34.39,34.39
AMZN,10,1,110,0.9,33.24,33.24,33.24,33.24,33.24
APP,1,96,96,100.0,30.39,46.95,56.17,64.59,87.77
