ticker,n,vol_rel_schwelle
AAPL,515,1.042
ABBV,571,1.048
ABNB,490,1.027
ABT,502,1.069
ACN,602,1.097
ADBE,518,1.136
ADI,514,1.103
ADP,527,1.083
ADS.DE,570,1.051
ADSK,546,1.036
AEP,561,1.065
AIR.DE,568,1.132
ALV.DE,544,1.056
AMAT,595,1.104
AMD,616,1.005
AMGN,440,1.075
AMT,523,1.059
AMZN,572,1.047
APP,416,1.09
ARM,205,0.999
ASML,638,1.095
AXON,510,1.037
AXP,554,1.068
AZN,670,1.089
BA,493,1.096
BAC,598,1.081
BAS.DE,532,1.052
BAYN.DE,585,1.023
BEI.DE,521,1.037
BIIB,539,1.055
BKNG,538,1.097
BKR,529,1.084
BLK,581,1.09
BMW.DE,502,1.067
BMY,485,1.068
BNR.DE,565,1.075
BNY,586,1.051
BRK-B,537,1.054
BTC-USD,542,1.083
BZ=F,467,1.155
C,572,1.052
CAT,522,1.051
CBK.DE,574,1.011
CC=F,512,1.535
CCEP,575,1.111
CDNS,579,1.073
CDW,477,1.093
CEG,330,1.09
CHTR,507,1.067
CL,598,1.086
CL=F,439,1.188
CMCSA,507,1.068
COF,562,1.1
CON.DE,610,1.071
COP,500,1.054
COST,496,1.024
CPRT,516,1.04
CRM,491,1.058
CRWD,545,1.035
CSCO,549,1.064
CSGP,474,1.07
CSX,540,1.084
CTAS,524,1.098
CTSH,523,1.13
CVS,604,1.066
CVX,546,1.071
DASH,459,0.971
DB1.DE,489,1.074
DBK.DE,492,1.048
DDOG,563,1.052
DE,511,1.067
DHL.DE,512,1.062
DHR,628,1.103
DIS,531,1.031
DTE.DE,576,1.1
DTG.DE,400,1.014
DUK,558,1.105
DXCM,448,1.107
EMR,540,1.042
ENR.DE,444,1.074
EOAN.DE,497,1.088
EXC,460,1.079
FANG,549,1.079
FAST,545,1.098
FDX,528,1.038
FRE.DE,503,1.08
FTNT,502,1.071
GC=F,488,0.346
GD,484,1.115
GE,534,1.065
GEHC,252,1.04
GEV,149,1.079
GFS,311,1.101
GILD,537,1.081
GM,599,1.04
GOOG,573,1.061
GOOGL,599,1.056
GS,520,1.055
HD,580,1.048
HEI.DE,574,1.101
HEN3.DE,466,1.063
HG=F,575,0.807
HNR1.DE,535,1.078
HON,585,1.077
IBM,511,1.035
IDXX,543,1.054
IFX.DE,623,1.045
ILMN,565,1.043
INTC,535,1.091
INTU,531,1.066
ISRG,547,1.056
JNJ,497,1.057
JPM,510,1.06
KDP,549,1.064
KHC,558,1.041
KLAC,599,1.12
KO,483,1.05
LIN,573,1.111
LLY,413,1.049
LMT,514,1.04
LOW,609,1.081
LRCX,593,1.077
LULU,554,1.05
MA,586,1.107
MAR,485,1.087
MBG.DE,552,1.066
MCD,529,1.107
MCHP,529,1.088
MDB,516,1.018
MDLZ,529,1.059
MDT,567,1.064
MELI,566,1.062
META,593,1.052
MMM,608,1.048
MNST,507,1.079
MO,518,1.111
MRK,491,1.035
MRK.DE,614,1.085
MRNA,499,1.004
MRVL,549,1.084
MS,599,1.066
MSFT,584,1.094
MSTR,528,1.052
MTX.DE,555,1.066
MU,594,1.078
MUV2.DE,509,1.044
NEE,556,1.051
NFLX,519,1.03
NG=F,582,1.16
NKE,583,1.069
NOW,612,1.074
NVDA,533,1.039
NXPI,549,1.089
ODFL,492,1.082
ON,560,1.097
ORCL,528,1.087
ORLY,473,1.091
P911.DE,294,1.069
PA=F,652,0.215
PAH3.DE,534,1.029
PANW,504,1.056
PAYX,534,1.108
PCAR,494,1.048
PDD,622,1.0
PEP,575,1.093
PFE,514,1.045
PG,586,1.071
PL=F,778,0.165
PLTR,480,1.025
PM,610,1.097
PYPL,625,1.073
QCOM,590,1.079
QIA.DE,490,1.045
REGN,527,1.044
RHM.DE,503,1.033
ROP,557,1.077
ROST,523,1.067
RTX,514,1.13
RWE.DE,469,1.069
SAP.DE,586,1.075
SB=F,473,1.083
SBUX,577,1.034
SCHW,520,1.031
SHL.DE,545,1.05
SHW,487,1.11
SI=F,582,0.297
SIE.DE,577,1.052
SNPS,556,1.072
SO,515,1.067
SPG,528,1.051
SPGI,562,1.071
SRT3.DE,510,1.04
SY1.DE,549,1.067
T,593,1.088
TEAM,596,1.067
TMO,591,1.094
TMUS,476,1.091
TRV,495,1.07
TSLA,510,1.036
TTD,600,1.033
TTWO,548,1.055
TXN,554,1.106
UBER,589,1.024
UNH,543,1.022
UNP,503,1.126
UPS,560,1.047
USB,550,1.077
V,555,1.078
VNA.DE,541,1.083
VOW3.DE,525,1.065
VRSK,532,1.089
VRTX,493,1.029
VZ,456,1.137
WBD,484,1.124
WDAY,480,1.079
WFC,574,1.036
WMT,500,1.076
XEL,460,1.086
XOM,574,1.06
ZAL.DE,549,1.046
ZS,535,1.035
ZW=F,537,1.454
