datum,vix,vdax,fg,vdax_quelle
2011-01-03,,,68.00,gemessen:^GDAXI
2011-01-04,,,68.00,gemessen:^GDAXI
2011-01-05,,,67.00,gemessen:^GDAXI
2011-01-06,,,64.00,gemessen:^GDAXI
2011-01-07,,,63.00,gemessen:^GDAXI
2011-01-10,,,58.00,gemessen:^GDAXI
2011-01-11,,,58.00,gemessen:^GDAXI
2011-01-12,,,58.00,gemessen:^GDAXI
2011-01-13,,,58.00,gemessen:^GDAXI
2011-01-14,,,60.00,gemessen:^GDAXI
2011-01-18,,,56.00,gemessen:^GDAXI
2011-01-19,,,55.00,gemessen:^GDAXI
2011-01-20,,,54.00,gemessen:^GDAXI
2011-01-21,,,47.00,gemessen:^GDAXI
2011-01-24,,,45.00,gemessen:^GDAXI
2011-01-25,,,43.00,gemessen:^GDAXI
2011-01-26,,,43.00,gemessen:^GDAXI
2011-01-27,,,43.00,gemessen:^GDAXI
2011-01-28,,,43.00,gemessen:^GDAXI
2011-01-31,,,41.00,gemessen:^GDAXI
2011-02-01,,,41.00,gemessen:^GDAXI
2011-02-02,,,46.00,gemessen:^GDAXI
2011-02-03,,,47.00,gemessen:^GDAXI
2011-02-04,,,49.00,gemessen:^GDAXI
2011-02-07,,,56.00,gemessen:^GDAXI
2011-02-08,,,56.00,gemessen:^GDAXI
2011-02-09,,,56.00,gemessen:^GDAXI
2011-02-10,,,56.00,gemessen:^GDAXI
2011-02-11,,,56.00,gemessen:^GDAXI
2011-02-14,,,61.00,gemessen:^GDAXI
2011-02-15,,,61.00,gemessen:^GDAXI
2011-02-16,,,61.00,gemessen:^GDAXI
2011-02-17,,,61.00,gemessen:^GDAXI
2011-02-18,,,56.00,gemessen:^GDAXI
2011-02-22,,,42.00,gemessen:^GDAXI
2011-02-23,,,42.00,gemessen:^GDAXI
2011-02-24,,,42.00,gemessen:^GDAXI
2011-02-25,,,42.00,gemessen:^GDAXI
2011-02-28,,,43.00,gemessen:^GDAXI
2011-03-01,,,43.00,gemessen:^GDAXI
2011-03-02,,,42.00,gemessen:^GDAXI
2011-03-03,,,41.00,gemessen:^GDAXI
2011-03-04,,,39.00,gemessen:^GDAXI
2011-03-07,,,35.00,gemessen:^GDAXI
2011-03-08,,,27.00,gemessen:^GDAXI
2011-03-09,,,26.00,gemessen:^GDAXI
2011-03-10,,,26.00,gemessen:^GDAXI
2011-03-11,,,26.00,gemessen:^GDAXI
2011-03-14,,,13.00,gemessen:^GDAXI
2011-03-15,,,13.00,gemessen:^GDAXI
2011-03-16,,,11.00,gemessen:^GDAXI
2011-03-17,,,9.00,gemessen:^GDAXI
2011-03-18,,,9.00,gemessen:^GDAXI
2011-03-21,,,14.00,gemessen:^GDAXI
2011-03-22,,,15.00,gemessen:^GDAXI
2011-03-23,,,16.00,gemessen:^GDAXI
2011-03-24,,,16.00,gemessen:^GDAXI
2011-03-25,,,19.00,gemessen:^GDAXI
2011-03-28,,,23.00,gemessen:^GDAXI
2011-03-29,,,23.00,gemessen:^GDAXI
2011-03-30,,,24.00,gemessen:^GDAXI
2011-03-31,,,24.00,gemessen:^GDAXI
2011-04-01,,,27.00,gemessen:^GDAXI
2011-04-04,,,31.00,gemessen:^GDAXI
2011-04-05,,,35.00,gemessen:^GDAXI
2011-04-06,,,37.00,gemessen:^GDAXI
2011-04-07,,,37.00,gemessen:^GDAXI
2011-04-08,,,37.00,gemessen:^GDAXI
2011-04-11,,,34.00,gemessen:^GDAXI
2011-04-12,,,33.00,gemessen:^GDAXI
2011-04-13,,,33.00,gemessen:^GDAXI
2011-04-14,,,30.00,gemessen:^GDAXI
2011-04-15,,,28.00,gemessen:^GDAXI
2011-04-18,,,24.00,gemessen:^GDAXI
2011-04-19,,,24.00,gemessen:^GDAXI
2011-04-20,,,25.00,gemessen:^GDAXI
2011-04-21,,,30.00,gemessen:^GDAXI
2011-04-25,,,35.00,gemessen:^GDAXI
2011-04-26,,,36.00,gemessen:^GDAXI
2011-04-27,,,37.00,gemessen:^GDAXI
2011-04-28,,,37.00,gemessen:^GDAXI
2011-04-29,,,41.00,gemessen:^GDAXI
2011-05-02,,,36.00,gemessen:^GDAXI
2011-05-03,,,31.00,gemessen:^GDAXI
2011-05-04,,,30.00,gemessen:^GDAXI
2011-05-05,,,29.00,gemessen:^GDAXI
2011-05-06,,,27.00,gemessen:^GDAXI
