ticker,datum,stunden_erfasst,reihen_lage,reihen_abweichung,tages_offen,tages_hoch,tages_tief,tages_schluss,atr,tief_marke,tief_datum,tief_bestaetigt,tief_urteil,tief_stunden_drunter,tief_abstand_atr,tief_tiefster_punkt_atr,hoch_marke,hoch_datum,hoch_urteil,hoch_stunden_drueber,hoch_abstand_atr,stand_gehalten
AAPL,2026-09-11,7,ok,0.0001,327.63,336.22,326.3,332.23,7.845,309.9,2026-09-09,1,unberuehrt,0,2.846,2.091,330.81,2026-09-03,gebrochen,7,0.181,0
ABNB,2026-09-11,7,ok,0.0,170.03,170.43,167.65,170.19,4.9924,165.83,2026-09-10,1,unberuehrt,0,0.873,0.365,187.36,2026-09-03,unberuehrt,0,-3.439,0
ADBE,2026-09-11,7,ok,0.0,242.075,255.3,241.522,252.23,10.4543,241.51,2026-09-11,0,unberuehrt,0,1.025,0.001,292.88,2026-09-03,unberuehrt,0,-3.888,0
ADI,2026-09-11,7,ok,0.0005,365.335,380.36,365.335,378.98,9.8614,356.12,2026-09-10,1,unberuehrt,0,2.318,0.934,366.97,2026-09-09,gebrochen,7,1.218,0
ADP,2026-09-11,6,ok,0.0012,267.35,267.955,264.93,267.945,4.9614,265.0,2026-09-11,0,angetestet,0,0.594,-0.014,268.73,2026-09-10,unberuehrt,0,-0.158,0
ADS.DE,2026-09-11,9,ok,0.0018,142.95,143.6,141.2,142.45,3.7143,139.35,2026-09-10,0,unberuehrt,0,0.835,0.498,150.0,2026-09-04,unberuehrt,0,-2.033,0
ADSK,2026-09-11,7,ok,0.0002,209.3,213.81,209.04,212.35,10.2664,206.33,2026-09-09,1,unberuehrt,0,0.586,0.264,271.72,2026-08-27,unberuehrt,0,-5.783,0
AEP,2026-09-11,7,ok,0.0001,124.5,124.9999,122.92,123.34,1.8536,122.92,2026-09-11,0,angetestet,0,0.227,-0.0,126.34,2026-09-08,unberuehrt,0,-1.618,0
AIR.DE,2026-09-11,9,ok,0.0144,197.66,199.5,197.52,198.68,4.2629,194.58,2026-09-09,1,unberuehrt,0,0.962,0.69,202.05,2026-09-04,unberuehrt,0,-0.791,0
ALV.DE,2026-09-11,9,ok,0.0046,442.4,444.5,440.6,441.5,6.0929,434.0,2026-09-09,1,unberuehrt,0,1.231,1.083,454.6,2026-09-03,unberuehrt,0,-2.15,0
AMAT,2026-09-11,7,ok,0.0003,461.19,464.57,452.7,456.62,15.4193,450.56,2026-09-10,1,unberuehrt,0,0.393,0.139,474.04,2026-09-09,unberuehrt,0,-1.13,0
AMD,2026-09-11,7,ok,0.0003,511.185,521.06,501.35,516.28,19.0393,501.35,2026-09-11,0,unberuehrt,0,0.784,0.0,526.79,2026-09-09,unberuehrt,0,-0.552,0
AMGN,2026-09-11,7,ok,0.0001,386.99,386.99,377.22,377.33,10.9964,377.22,2026-09-11,0,unberuehrt,0,0.01,0.0,445.82,2026-09-03,unberuehrt,0,-6.228,0
AMZN,2026-09-11,7,ok,0.0,254.045,257.59,253.14,256.79,5.6293,249.58,2026-09-10,1,unberuehrt,0,1.281,0.632,261.12,2026-09-04,unberuehrt,0,-0.769,0
ARM,2026-09-11,7,ok,0.0008,256.955,267.69,253.06,265.0,13.0236,251.29,2026-09-10,1,unberuehrt,0,1.053,0.136,274.8,2026-09-09,unberuehrt,0,-0.752,0
ASML,2026-09-11,9,ok,0.0026,1463.0,1497.2,1463.0,1478.0,45.5,1447.4,2026-09-10,0,unberuehrt,0,0.673,0.343,1540.0,2026-09-08,unberuehrt,0,-1.363,0
AVGO,2026-09-11,7,ok,0.0005,365.24,366.78,361.64,361.8,10.3886,357.75,2026-09-10,1,unberuehrt,0,0.39,0.374,372.7,2026-09-08,unberuehrt,0,-1.049,0
AXP,2026-09-11,7,ok,0.0,324.97,326.26,322.21,324.68,5.2064,318.35,2026-09-10,1,unberuehrt,0,1.216,0.741,335.0,2026-09-03,unberuehrt,0,-1.982,0
AZN,2026-09-11,7,ok,0.0,161.43,161.51,158.13,160.17,3.3943,156.74,2026-09-09,1,unberuehrt,0,1.011,0.41,165.74,2026-09-03,unberuehrt,0,-1.641,0
BA,2026-09-11,7,ok,0.0,207.56,211.62,207.22,210.44,4.1871,204.67,2026-09-10,1,unberuehrt,0,1.378,0.609,215.29,2026-09-08,unberuehrt,0,-1.158,0
BAS.DE,2026-09-11,9,ok,0.0287,53.4,53.45,51.21,51.81,1.0579,52.26,2026-09-10,0,gebrochen,9,-0.425,-0.993,53.98,2026-09-03,unberuehrt,0,-2.051,0
BAYN.DE,2026-09-11,9,ok,0.0158,49.0,49.1,47.74,47.93,0.995,48.32,2026-09-10,0,gebrochen,2,-0.392,-0.583,50.16,2026-09-03,unberuehrt,0,-2.241,0
BEI.DE,2026-09-11,9,ok,0.0022,73.34,74.3,73.24,73.5,1.6386,73.06,2026-09-10,0,unberuehrt,0,0.269,0.11,81.4,2026-08-28,unberuehrt,0,-4.821,0
