ticker,klasse_atr,faelle,verlust_atr_median,verlust_pct_median,hoeher_nach_5_pct,schluss_5_median_pct,tiefer_5_median_atr,tiefer_5_p90_atr,hoch_5_median_atr,hoeher_nach_10_pct,schluss_10_median_pct,tiefer_10_median_atr,tiefer_10_p90_atr,hoch_10_median_atr,hoeher_nach_20_pct,schluss_20_median_pct,tiefer_20_median_atr,tiefer_20_p90_atr,hoch_20_median_atr,hoeher_nach_60_pct,schluss_60_median_pct,tiefer_60_median_atr,tiefer_60_p90_atr,hoch_60_median_atr
AAPL,0.25,188,0.37,0.76,54.8,0.35,0.93,2.9,1.14,61.2,1.35,1.36,4.09,1.72,67.0,2.45,1.59,4.96,3.17,63.8,5.0,2.65,8.08,5.38
AAPL,0.5,126,0.61,1.36,59.5,1.03,0.83,2.58,1.06,58.7,1.55,1.17,3.94,1.61,61.9,2.9,1.62,5.19,2.37,68.3,7.84,2.53,7.2,4.84
AAPL,0.75,86,0.85,1.89,55.8,1.06,0.81,2.71,1.13,65.1,2.2,1.02,3.7,1.9,66.3,3.44,1.79,5.22,3.06,61.6,3.8,2.63,8.68,5.16
AAPL,1.0,58,1.12,2.72,56.9,0.39,1.04,2.65,1.08,56.9,1.37,1.59,4.16,1.59,58.6,2.38,1.65,6.44,2.11,60.3,4.7,2.72,8.95,4.55
AAPL,1.25,27,1.4,2.91,51.9,1.42,0.95,2.3,1.33,55.6,0.47,1.42,3.35,1.68,44.4,-0.33,1.79,5.81,2.15,70.4,12.25,2.3,8.16,4.78
AAPL,1.5,11,1.61,3.23,54.5,1.37,1.21,1.75,1.94,72.7,5.2,1.21,2.26,3.32,72.7,6.57,1.41,3.97,3.4,90.9,11.79,1.61,4.73,5.42
AAPL,1.75,11,1.84,4.09,63.6,0.21,1.47,2.95,0.74,45.5,-1.04,1.63,2.95,1.98,36.4,-4.07,1.82,8.19,1.98,81.8,6.87,3.87,10.71,4.91
AAPL,2.0,5,2.08,4.8,80.0,3.64,1.2,2.76,1.68,60.0,2.54,1.2,3.14,2.68,40.0,-3.23,3.55,6.5,2.68,40.0,-8.23,4.28,12.09,2.68
AAPL,2.25,2,2.34,5.79,0.0,-3.81,2.13,2.33,0.35,0.0,-6.6,2.56,3.09,0.55,0.0,-3.59,2.88,3.68,2.16,0.0,-4.43,4.86,5.65,2.35
AAPL,2.5,1,2.69,4.8,0.0,-2.18,1.52,1.52,0.33,0.0,-3.99,2.87,2.87,0.33,100.0,4.25,2.87,2.87,2.4,0.0,-6.3,4.71,4.71,2.41
AAPL,3.0,1,3.18,9.25,0.0,-6.28,5.22,5.22,-0.4,0.0,-3.06,5.22,5.22,1.5,100.0,1.06,5.22,5.22,1.75,100.0,2.41,5.22,5.22,1.75
ABBV,0.25,211,0.36,0.72,56.9,0.58,0.83,2.54,1.09,63.5,1.06,1.01,3.52,1.71,60.2,1.97,1.6,4.79,2.49,65.9,5.0,2.66,8.89,5.7
ABBV,0.5,147,0.62,1.2,59.2,0.52,0.8,3.29,1.09,57.1,1.16,1.1,4.18,1.61,60.5,1.43,1.83,5.17,2.32,65.3,4.03,2.81,8.21,5.23
ABBV,0.75,58,0.89,1.71,65.5,1.66,0.78,2.67,1.39,70.7,2.17,0.9,3.32,1.92,65.5,4.14,1.55,5.42,3.39,65.5,6.8,2.37,9.64,7.12
ABBV,1.0,30,1.11,2.25,56.7,0.25,0.98,1.72,1.04,63.3,1.72,1.22,3.14,1.88,63.3,3.26,1.61,4.7,2.93,70.0,7.79,2.9,7.23,6.13
ABBV,1.25,24,1.37,2.49,41.7,-0.7,1.0,3.68,0.77,66.7,1.06,1.5,5.72,1.9,75.0,2.76,1.63,8.0,2.75,62.5,3.03,3.7,9.95,4.69
ABBV,1.5,9,1.56,3.74,66.7,0.45,1.0,1.39,1.22,44.4,-1.23,1.52,4.28,1.34,55.6,0.1,1.82,5.31,1.7,66.7,5.21,1.89,6.14,2.3
ABBV,1.75,5,1.82,4.17,20.0,-3.29,1.57,2.68,0.29,40.0,-0.63,1.62,4.15,0.29,60.0,0.49,2.05,5.28,1.44,80.0,0.79,2.67,5.49,2.85
ABBV,2.0,5,2.15,4.58,40.0,-0.06,0.42,1.99,1.3,60.0,0.71,1.94,2.12,1.4,60.0,3.31,2.02,3.39,1.92,80.0,14.5,2.19,5.97,5.23
ABBV,2.25,4,2.36,5.38,50.0,-0.05,0.63,2.87,1.22,50.0,0.49,1.16,2.97,2.05,100.0,3.71,1.16,2.97,2.36,100.0,10.45,1.16,2.97,5.01
ABBV,2.5,1,2.62,4.45,100.0,0.51,1.64,1.64,0.76,100.0,6.57,1.64,1.64,5.48,100.0,3.24,1.64,1.64,5.48,100.0,1.91,1.65,1.65,5.48
ABBV,3.0,2,3.12,6.18,0.0,-2.34,1.04,1.7,0.94,0.0,-2.37,2.2,2.28,0.94,0.0,-3.62,2.68,2.85,0.94,100.0,3.73,3.35,4.06,2.82
ABBV,4.0,1,4.23,7.99,0.0,-1.01,0.82,0.82,2.01,0.0,-1.53,1.22,1.22,2.01,0.0,-6.89,3.47,3.47,2.01,0.0,-3.81,5.86,5.86,2.01
ABBV,4.25,1,4.38,12.57,0.0,-4.67,1.7,1.7,0.38,100.0,1.51,1.86,1.86,1.01,100.0,0.71,1.86,1.86,1.71,100.0,10.15,1.86,1.86,3.82
ABNB,0.25,196,0.36,1.22,52.0,0.48,0.95,2.73,1.11,44.9,-0.71,1.34,3.56,1.54,53.1,0.41,1.81,5.06,1.86,52.6,0.91,3.58,8.32,3.7
ABNB,0.5,129,0.62,2.32,53.5,0.33,0.9,2.55,1.11,52.7,0.5,1.46,3.41,1.41,54.3,0.98,1.97,4.51,2.08,55.8,2.49,3.5,6.22,3.73
ABNB,0.75,70,0.84,3.08,54.3,0.39,0.86,2.5,1.05,58.6,2.84,1.2,3.38,1.66,55.7,2.13,1.64,4.89,2.49,54.3,2.93,2.7,8.12,4.29
ABNB,1.0,41,1.11,3.95,46.3,-1.06,1.14,2.94,0.6,56.1,1.04,1.72,4.51,1.22,53.7,0.73,1.95,4.96,1.84,41.5,-2.56,3.6,7.07,2.95
ABNB,1.25,17,1.36,5.57,52.9,0.24,0.97,3.41,1.38,52.9,0.78,1.38,3.57,2.0,52.9,0.67,1.57,3.91,2.06,70.6,3.84,3.71,4.71,4.67
ABNB,1.5,8,1.53,5.51,50.0,-1.29,1.14,2.5,0.9,25.0,-3.26,1.62,3.08,0.96,37.5,-2.57,2.76,4.27,1.08,37.5,-2.43,4.21,7.27,2.59
ABNB,1.75,6,1.86,5.5,66.7,1.55,0.89,3.22,1.36,50.0,-0.23,1.87,4.86,1.86,66.7,5.55,2.06,9.02,2.38,33.3,-6.5,3.2,9.18,4.32
ABNB,2.0,5,2.18,6.87,80.0,0.76,0.62,1.46,1.15,40.0,-0.77,1.42,1.49,1.27,40.0,-0.27,1.49,4.46,1.33,60.0,7.26,3.4,5.17,3.47
