nr,basiswert,ticker,datum,art,stueck,kurs_schein_eur,gebuehr_eur,betrag_eur,gewinn_eur,kurs_basiswert
1,Oracle,ORCL,2026-07-21,Kauf,25,1.03,1,26.75,,124.75
2,Microsoft,MSFT,2026-07-22,Kauf,20,4.85,1,98,,391.51
3,Oracle,ORCL,2026-07-27,Kauf,16,0.73,1,12.68,,121.24
4,Microsoft,MSFT,2026-08-03,Verkauf,10,11.82,1,117.2,68.2,472.9
5,NVIDIA,NVDA,2026-08-03,Kauf,49,2.37,1,117.13,,208.25
6,Meta Platforms,META,2026-08-10,Kauf,20,6.42,1,129.4,,593.82
7,Microsoft,MSFT,2026-08-10,Verkauf,5,14.85,1,73.25,48.75,508.28
8,NVIDIA,NVDA,2026-08-10,Verkauf,24,3.95,1,93.8,36.43,226.7
9,Oracle,ORCL,2026-08-10,Verkauf,21,3.44,1,71.24,48.77,152.89
10,Rheinmetall,RHM.DE,2026-08-11,Kauf,15,1.02,1,16.3,,1162.21
11,Gold,XAUUSD=X,2026-08-14,Kauf,20,14.33,1,287.6,,4367.33
12,Rheinmetall,RHM.DE,2026-08-17,Verkauf,15,1.64,1,23.6,7.3,1224.21
13,Gold,XAUUSD=X,2026-08-20,Verkauf,10,25.97,1,258.7,114.9,4503.25
14,Gold,XAUUSD=X,2026-08-20,Verkauf,10,24.75,1,246.5,102.7,4489.01
15,Meta Platforms,META,2026-08-20,Kauf,20,2.65,1,54,,549.79
16,NVIDIA,NVDA,2026-08-20,Kauf,15,3.61,1,55.15,,222.73
17,ASML,ASML,2026-08-20,Kauf,20,6.33,1,127.6,,1513.29
18,Take-Two,TTWO,2026-08-20,Kauf,100,0.92,1,93,,239.56
19,Applied Materials,AMAT,2026-08-20,Kauf,25,5.32,1,134,,496.4
20,Micron,MU,2026-08-20,Kauf,20,8.92,1,179.4,,963.96
21,Gold II,XAUUSD=X,2026-08-21,Kauf,45,3.35,1,151.75,,4562.89
22,ASML,ASML,2026-08-21,Verkauf,20,5.81,1,115.2,-12.4,1508
23,NVIDIA,NVDA,2026-08-21,Verkauf,40,3.63,1,144.2,29.29,216.85
24,Applied Materials,AMAT,2026-08-21,Verkauf,25,4.74,1,117.5,-16.5,496.21
25,Microsoft II,MSFT,2026-08-21,Kauf,60,0.86,1,52.6,,481.25
26,Take-Two,TTWO,2026-08-21,Verkauf,40,1.45,1,57,19.8,245.75
27,Micron,MU,2026-08-21,Verkauf,10,9.32,1,92.2,2.5,968.63
28,Oracle,ORCL,2026-08-21,Kauf,10,3.1,1,32,,147.84
29,Oracle,ORCL,2026-08-21,Kauf,30,3.09,1,93.7,,148.8
30,Gold II,XAUUSD=X,2026-08-21,Verkauf,45,3.8,1,170,18.25,4608
