ticker,zeitraum,band,klasse,n,ew_atr
AAPL,bis2022,weit,0-10,64,-0.148
AAPL,bis2022,weit,40-100,75,-2.06
AAPL,bis2022,weit,25-40,12,-1.223
AAPL,bis2022,weit,unter Einstieg,59,-1.559
AAPL,bis2022,mittel,0-10,57,0.387
AAPL,bis2022,mittel,40-100,131,1.302
AAPL,bis2022,mittel,unter Einstieg,153,1.377
AAPL,bis2022,mittel,10-25,53,0.604
AAPL,bis2022,mittel,25-40,43,1.278
AAPL,bis2022,weit,10-25,20,-0.338
AAPL,bis2022,sehr weit,40-100,7,1.852
AAPL,bis2022,sehr weit,10-25,9,0.843
AAPL,bis2022,sehr weit,25-40,4,1.285
AAPL,bis2022,sehr weit,0-10,24,-0.203
AAPL,ab2023,mittel,10-25,55,0.74
AAPL,ab2023,mittel,0-10,39,1.052
AAPL,ab2023,weit,25-40,30,2.201
AAPL,ab2023,weit,0-10,45,0.792
AAPL,ab2023,sehr weit,10-25,37,1.255
AAPL,ab2023,sehr weit,0-10,69,0.339
AAPL,ab2023,mittel,40-100,124,1.976
AAPL,ab2023,weit,40-100,105,2.328
AAPL,ab2023,sehr weit,25-40,27,1.705
AAPL,ab2023,sehr weit,40-100,34,3.28
AAPL,ab2023,mittel,unter Einstieg,212,3.432
AAPL,ab2023,mittel,25-40,58,1.598
AAPL,ab2023,weit,10-25,46,1.314
AAPL,ab2023,weit,unter Einstieg,53,4.07
AAPL,ab2023,sehr weit,unter Einstieg,9,5.553
ABBV,bis2022,mittel,25-40,27,0.842
ABBV,bis2022,mittel,unter Einstieg,101,1.01
ABBV,bis2022,weit,10-25,31,0.847
ABBV,bis2022,sehr weit,10-25,39,0.955
ABBV,bis2022,sehr weit,0-10,41,0.488
ABBV,bis2022,mittel,10-25,39,1.412
ABBV,bis2022,mittel,0-10,11,-0.154
ABBV,bis2022,weit,40-100,53,1.234
ABBV,bis2022,weit,0-10,15,-0.716
ABBV,bis2022,weit,unter Einstieg,13,1.517
ABBV,bis2022,mittel,40-100,97,1.893
ABBV,bis2022,weit,25-40,24,1.142
ABBV,bis2022,sehr weit,25-40,43,0.557
ABBV,bis2022,sehr weit,40-100,102,1.273
ABBV,bis2022,sehr weit,unter Einstieg,49,0.821
ABBV,ab2023,mittel,unter Einstieg,84,1.401
ABBV,ab2023,mittel,40-100,67,1.683
ABBV,ab2023,mittel,0-10,21,0.724
ABBV,ab2023,mittel,25-40,24,0.778
ABBV,ab2023,mittel,10-25,29,0.637
ABBV,ab2023,weit,0-10,34,1.213
ABBV,ab2023,weit,10-25,35,0.613
ABBV,ab2023,weit,40-100,87,1.823
ABBV,ab2023,weit,25-40,27,1.257
