ticker,merkmal,ziel,n_mit_bis2022,n_ohne_bis2022,diff_bis2022,n_mit_ab2023,n_ohne_ab2023,diff_ab2023
AAPL,rot,ganz_weg,439,647,3.0,508,732,7.2
AAPL,rot,halb_weg,439,647,11.9,508,732,13.9
AAPL,rot_vol,ganz_weg,206,880,8.1,186,1054,6.9
AAPL,rot_vol,halb_weg,206,880,21.7,186,1054,13.5
AAPL,alarm187,ganz_weg,411,675,-0.8,420,820,1.7
AAPL,alarm187,halb_weg,411,675,6.1,420,820,1.3
AAPL,hoch_heute,ganz_weg,641,445,-7.8,741,499,-8.5
AAPL,hoch_heute,halb_weg,641,445,-15.3,741,499,-16.1
AAPL,rsi_hoch,ganz_weg,239,847,-3.8,428,812,-10.3
AAPL,rsi_hoch,halb_weg,239,847,-13.5,428,812,-21.7
AAPL,ema_weit,ganz_weg,167,919,2.4,312,928,-8.3
AAPL,ema_weit,halb_weg,167,919,-5.9,312,928,-20.2
AAPL,schnell,ganz_weg,105,981,4.3,170,1070,13.1
AAPL,schnell,halb_weg,105,981,6.1,170,1070,24.6
AAPL,boden2,ganz_weg,489,597,-3.3,404,836,0.4
AAPL,boden2,halb_weg,489,597,-3.0,404,836,-5.8
ABBV,rot,ganz_weg,473,528,3.7,643,857,12.0
ABBV,rot,halb_weg,473,528,9.8,643,857,26.0
ABBV,rot_vol,ganz_weg,161,840,11.7,203,1297,7.9
ABBV,rot_vol,halb_weg,161,840,12.4,203,1297,13.8
ABBV,alarm187,ganz_weg,356,645,-8.7,496,1004,-5.0
ABBV,alarm187,halb_weg,356,645,-9.5,496,1004,0.4
ABBV,hoch_heute,ganz_weg,526,475,-6.4,870,630,-10.3
ABBV,hoch_heute,halb_weg,526,475,-11.2,870,630,-17.2
ABBV,rsi_hoch,ganz_weg,590,411,-17.1,802,698,-14.6
ABBV,rsi_hoch,halb_weg,590,411,-24.4,802,698,-36.9
ABBV,ema_weit,ganz_weg,325,676,-11.3,560,940,-9.5
ABBV,ema_weit,halb_weg,325,676,-26.9,560,940,-29.3
