ticker,typ_anstieg,n_0-0.1,ganz_0-0.1,n_0.1-0.25,ganz_0.1-0.25,n_0.25-0.4,ganz_0.25-0.4,n_0.4-1,ganz_0.4-1
AAPL,2.002,1290,2.2,695,8.6,244,20.1,97,47.4
ABBV,1.592,1198,2.3,802,8.1,251,18.7,250,47.2
ABNB,1.661,466,4.3,478,15.3,244,29.1,153,41.8
ABT,1.648,1142,3.5,609,13.5,314,22.9,265,49.8
ACN,1.65,925,11.1,544,20.0,211,28.9,180,61.7
ADBE,1.758,897,5.7,534,24.9,143,39.2,150,60.7
ADI,1.834,852,6.7,448,11.4,163,37.4,145,63.4
ADP,1.392,1082,4.9,688,9.9,260,20.0,292,54.1
ADS.DE,2.069,812,5.2,587,15.7,228,21.9,164,51.2
ADSK,1.578,1129,5.0,588,15.3,221,32.1,252,69.4
AEP,1.644,1026,3.3,867,11.3,346,24.9,194,46.4
AIR.DE,1.662,852,4.6,576,20.7,198,33.3,199,78.9
ALV.DE,1.634,1516,2.2,569,13.0,177,33.3,173,60.7
AMAT,2.033,883,3.6,480,12.3,176,31.8,166,56.6
AMD,2.222,955,3.1,613,14.7,244,24.6,151,66.2
AMGN,1.666,792,2.9,659,14.7,326,23.6,256,50.0
AMT,1.764,818,7.0,545,18.2,260,38.8,227,56.8
AMZN,2.03,763,4.8,442,15.6,186,30.1,132,43.2
ANET,2.246,1223,3.1,594,10.6,143,25.9,133,57.9
APH,1.791,1169,2.9,487,12.7,159,25.8,131,54.2
APP,2.141,680,3.5,296,4.1,122,13.9,97,44.3
ARM,3.702,223,7.6,178,10.7,62,24.2,20,30.0
ASML,2.022,892,3.6,593,10.8,160,22.5,157,77.7
AVGO,2.25,1041,2.4,469,6.6,131,18.3,100,52.0
AXON,2.141,707,4.0,399,14.0,148,19.6,125,60.8
AXP,2.002,853,7.6,593,11.5,235,35.3,110,42.7
AZN,1.791,1159,6.9,635,10.7,239,22.6,218,50.5
BABA,1.597,998,7.4,776,18.8,414,34.3,388,69.1
