ticker,wochentag,faelle,schluss_ueber_eroeffnung_pct,erst_runter_pct,mittlere_tagesrendite_pct
AAPL,Montag,329,58.4,54.7,0.322
AAPL,Dienstag,364,53.8,54.4,0.068
AAPL,Mittwoch,360,55.6,53.1,0.117
AAPL,Donnerstag,354,51.4,46.0,0.005
AAPL,Freitag,352,52.8,51.4,0.125
ABBV,Montag,329,53.5,52.9,0.1
ABBV,Dienstag,364,48.9,50.0,-0.022
ABBV,Mittwoch,360,53.1,51.4,0.084
ABBV,Donnerstag,354,53.7,51.1,0.133
ABBV,Freitag,352,51.4,48.3,0.048
ABNB,Montag,270,55.6,51.1,-0.0
ABNB,Dienstag,301,48.5,48.8,0.054
ABNB,Mittwoch,299,49.8,54.2,0.18
ABNB,Donnerstag,293,50.5,49.5,0.019
ABNB,Freitag,291,51.9,51.2,0.217
ABT,Montag,329,50.5,50.5,0.028
ABT,Dienstag,364,44.8,47.0,-0.151
ABT,Mittwoch,360,50.0,52.5,0.053
ABT,Donnerstag,354,54.5,49.2,0.138
ABT,Freitag,352,52.6,51.7,0.035
ACN,Montag,329,56.5,54.4,0.182
ACN,Dienstag,364,54.4,56.3,0.044
ACN,Mittwoch,360,52.2,54.2,0.024
ACN,Donnerstag,354,50.0,50.3,0.071
ACN,Freitag,352,53.4,48.6,0.002
ADBE,Montag,329,55.6,51.7,0.225
ADBE,Dienstag,364,51.9,52.5,-0.076
ADBE,Mittwoch,360,48.1,46.9,-0.095
ADBE,Donnerstag,354,54.2,48.9,0.061
ADBE,Freitag,352,52.6,51.1,0.039
ADI,Montag,329,55.0,51.4,0.112
ADI,Dienstag,364,49.7,50.3,0.042
ADI,Mittwoch,360,50.0,50.0,0.091
ADI,Donnerstag,354,52.0,47.2,-0.056
ADI,Freitag,352,50.3,47.4,-0.006
ADP,Montag,329,54.7,54.4,0.168
ADP,Dienstag,364,50.0,47.8,-0.068
ADP,Mittwoch,360,51.1,49.2,0.008
ADP,Donnerstag,354,52.0,51.1,0.065
ADP,Freitag,352,54.5,47.4,0.066
ADS.DE,Montag,352,50.0,54.0,0.069
ADS.DE,Dienstag,360,45.0,43.1,-0.168
ADS.DE,Mittwoch,359,52.1,51.3,0.055
ADS.DE,Donnerstag,358,46.6,48.0,0.014
ADS.DE,Freitag,352,50.9,49.4,0.068
ADSK,Montag,329,58.4,55.9,0.286
ADSK,Dienstag,364,51.6,50.3,-0.073
ADSK,Mittwoch,360,49.2,50.3,-0.001
ADSK,Donnerstag,354,51.7,52.8,0.036
ADSK,Freitag,352,50.3,47.4,-0.005
AEP,Montag,329,52.6,49.8,-0.017
AEP,Dienstag,364,48.6,48.1,-0.077
AEP,Mittwoch,360,49.2,47.5,-0.027
AEP,Donnerstag,354,52.3,52.0,0.037
AEP,Freitag,352,52.8,50.9,0.049
AIR.DE,Montag,352,53.1,51.1,0.101
AIR.DE,Dienstag,360,49.4,47.2,-0.112
AIR.DE,Mittwoch,359,47.4,49.0,0.016
AIR.DE,Donnerstag,358,47.8,44.4,-0.051
AIR.DE,Freitag,352,48.6,45.2,-0.085
ALV.DE,Montag,352,56.2,52.6,0.076
ALV.DE,Dienstag,360,53.3,52.8,0.051
ALV.DE,Mittwoch,359,46.8,44.8,-0.013
ALV.DE,Donnerstag,358,52.0,47.2,-0.03
ALV.DE,Freitag,352,49.4,48.3,-0.056
AMAT,Montag,329,59.3,55.3,0.415
AMAT,Dienstag,364,48.4,44.5,-0.099
AMAT,Mittwoch,360,50.8,52.5,0.134
AMAT,Donnerstag,354,50.6,48.6,-0.051
AMAT,Freitag,352,45.7,50.0,-0.062
AMD,Montag,329,58.4,53.8,0.465
AMD,Dienstag,364,49.2,48.9,-0.01
AMD,Mittwoch,360,49.4,46.9,0.021
AMD,Donnerstag,354,47.2,45.8,-0.057
AMD,Freitag,352,47.7,48.6,-0.019
AMGN,Montag,329,48.0,46.8,0.052
AMGN,Dienstag,364,48.6,46.4,0.012
AMGN,Mittwoch,360,47.8,48.9,0.09
AMGN,Donnerstag,354,48.0,47.5,-0.027
AMGN,Freitag,352,53.1,49.1,0.104
AMT,Montag,329,50.2,48.3,-0.131
AMT,Dienstag,364,51.6,49.7,-0.025
AMT,Mittwoch,360,46.1,50.3,-0.096
AMT,Donnerstag,354,51.4,51.1,0.155
AMT,Freitag,352,55.4,49.7,0.1
AMZN,Montag,329,55.0,52.0,0.179
AMZN,Dienstag,364,51.9,50.8,0.002
AMZN,Mittwoch,360,47.2,49.2,-0.031
AMZN,Donnerstag,354,49.2,47.7,-0.067
AMZN,Freitag,352,48.0,44.0,-0.052
ANET,Montag,329,54.4,56.2,0.242
ANET,Dienstag,364,50.0,49.7,0.062
ANET,Mittwoch,360,50.8,48.9,0.08
